; Candidate 5833
; ADRP+ADD at VM 0xfffffff008807570 (fileoff 0x1803570): page=0x1fe9e2000 add_imm=0xe80

0xfffffff0088074f0: b5080034  cbz	w21, #0xfffffff008807604
0xfffffff0088074f4: c82640b9  ldr	w8, [x22, #0x24]
0xfffffff0088074f8: e8ff03a9  stp	x8, xzr, [sp, #0x38]
0xfffffff0088074fc: 8850fff0  adrp	x8, #0xfffffff00721a000
0xfffffff008807500: 08411791  add	x8, x8, #0x5d0
0xfffffff008807504: a93c8052  mov	w9, #0x1e5
0xfffffff008807508: e8d302a9  stp	x8, x20, [sp, #0x28]
0xfffffff00880750c: 8850fff0  adrp	x8, #0xfffffff00721a000
0xfffffff008807510: 08291691  add	x8, x8, #0x58a
0xfffffff008807514: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008807518: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00880751c: 880e8052  mov	w8, #0x74
0xfffffff008807520: 8050fff0  adrp	x0, #0xfffffff00721a000
0xfffffff008807524: 00781691  add	x0, x0, #0x59e
0xfffffff008807528: f32300a9  stp	x19, x8, [sp]
0xfffffff00880752c: cdbfd697  bl	#0xfffffff007db7460
0xfffffff008807530: 4d000014  b	#0xfffffff008807664
0xfffffff008807534: 1eb30294  bl	#0xfffffff0088b41ac
0xfffffff008807538: f50300aa  mov	x21, x0
0xfffffff00880753c: 80008052  mov	w0, #4
0xfffffff008807540: c4d00194  bl	#0xfffffff00887b850
0xfffffff008807544: e80313aa  mov	x8, x19
0xfffffff008807548: f42303a9  stp	x20, x8, [sp, #0x30]
0xfffffff00880754c: 4850ffb0  adrp	x8, #0xfffffff007210000
0xfffffff008807550: 08b92791  add	x8, x8, #0x9ee
0xfffffff008807554: 293c8052  mov	w9, #0x1e1
0xfffffff008807558: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00880755c: 8850fff0  adrp	x8, #0xfffffff00721a000
0xfffffff008807560: 08291691  add	x8, x8, #0x58a
0xfffffff008807564: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008807568: 880e8052  mov	w8, #0x74
0xfffffff00880756c: f52300a9  stp	x21, x8, [sp]
0xfffffff008807570: 004fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008807574: 00003a91  add	x0, x0, #0xe80
0xfffffff008807578: 0190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00880757c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008807580: e351ffd0  adrp	x3, #0xfffffff007245000
0xfffffff008807584: 63ec1191  add	x3, x3, #0x47b
0xfffffff008807588: 02008052  mov	w2, #0
0xfffffff00880758c: e9aeec97  bl	#0xfffffff008333130
0xfffffff008807590: 36000014  b	#0xfffffff008807668
0xfffffff008807594: f30300aa  mov	x19, x0
0xfffffff008807598: 800e8052  mov	w0, #0x74
0xfffffff00880759c: 81008052  mov	w1, #4
0xfffffff0088075a0: 8cd00194  bl	#0xfffffff00887b7d0
0xfffffff0088075a4: 20060034  cbz	w0, #0xfffffff008807668
0xfffffff0088075a8: b7060091  add	x23, x21, #1
0xfffffff0088075ac: 800e8052  mov	w0, #0x74
0xfffffff0088075b0: 9ad00194  bl	#0xfffffff00887b818
0xfffffff0088075b4: f60300aa  mov	x22, x0
0xfffffff0088075b8: fdb20294  bl	#0xfffffff0088b41ac
0xfffffff0088075bc: f50300aa  mov	x21, x0
0xfffffff0088075c0: 80008052  mov	w0, #4
0xfffffff0088075c4: a3d00194  bl	#0xfffffff00887b850
0xfffffff0088075c8: f6050034  cbz	w22, #0xfffffff008807684
0xfffffff0088075cc: e80313aa  mov	x8, x19
0xfffffff0088075d0: f7a303a9  stp	x23, x8, [sp, #0x38]
0xfffffff0088075d4: 4850ffb0  adrp	x8, #0xfffffff007210000
0xfffffff0088075d8: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088075dc: 693d8052  mov	w9, #0x1eb
0xfffffff0088075e0: e8d302a9  stp	x8, x20, [sp, #0x28]
0xfffffff0088075e4: 8850fff0  adrp	x8, #0xfffffff00721a000
0xfffffff0088075e8: 08291691  add	x8, x8, #0x58a
0xfffffff0088075ec: e8a701a9  stp	x8, x9, [sp, #0x18]
