; Candidate 650
; ADRP+ADD at VM 0xfffffff007fcd1e8 (fileoff 0xfc91e8): page=0x1ff9af000 add_imm=0xd70

0xfffffff007fcd168: 0a0000f9  str	x10, [x0]
0xfffffff007fcd16c: 080c00f9  str	x8, [x0, #0x18]
0xfffffff007fcd170: 683e42b9  ldr	w8, [x19, #0x23c]
0xfffffff007fcd174: 081000f9  str	x8, [x0, #0x20]
0xfffffff007fcd178: 480f0190  adrp	x8, #0xfffffff00a1b5000
0xfffffff007fcd17c: 08954eb9  ldr	w8, [x8, #0xe94]
0xfffffff007fcd180: 1f010071  cmp	w8, #0
0xfffffff007fcd184: 08088052  mov	w8, #0x40
0xfffffff007fcd188: 08159f9a  csinc	x8, x8, xzr, ne
0xfffffff007fcd18c: 8a038052  mov	w10, #0x1c
0xfffffff007fcd190: 0a01a072  movk	w10, #8, lsl #16
0xfffffff007fcd194: 29010aaa  orr	x9, x9, x10
0xfffffff007fcd198: 090000f9  str	x9, [x0]
0xfffffff007fcd19c: 084c00f9  str	x8, [x0, #0x98]
0xfffffff007fcd1a0: 3886ffb0  adrp	x24, #0xfffffff007092000
0xfffffff007fcd1a4: 185f0891  add	x24, x24, #0x217
0xfffffff007fcd1a8: f85f00a9  stp	x24, x23, [sp]
0xfffffff007fcd1ac: c284ffd0  adrp	x2, #0xfffffff007067000
0xfffffff007fcd1b0: 42081d91  add	x2, x2, #0x742
0xfffffff007fcd1b4: e0430991  add	x0, sp, #0x250
0xfffffff007fcd1b8: 01088052  mov	w1, #0x40
0xfffffff007fcd1bc: e8b60894  bl	#0xfffffff0081fad5c
0xfffffff007fcd1c0: 400f0190  adrp	x0, #0xfffffff00a1b5000
0xfffffff007fcd1c4: 00000e91  add	x0, x0, #0x380
0xfffffff007fcd1c8: e1430891  add	x1, sp, #0x210
0xfffffff007fcd1cc: e2430991  add	x2, sp, #0x250
0xfffffff007fcd1d0: 030080d2  mov	x3, #0
0xfffffff007fcd1d4: 04008052  mov	w4, #0
0xfffffff007fcd1d8: e50316aa  mov	x5, x22
0xfffffff007fcd1dc: e60315aa  mov	x6, x21
0xfffffff007fcd1e0: 0a210b94  bl	#0xfffffff008295608
0xfffffff007fcd1e4: f70300aa  mov	x23, x0
0xfffffff007fcd1e8: 60cdfff0  adrp	x0, #0xfffffff00797c000
0xfffffff007fcd1ec: 00c03591  add	x0, x0, #0xd70
0xfffffff007fcd1f0: e10316aa  mov	x1, x22
0xfffffff007fcd1f4: 86f2f897  bl	#0xfffffff007e09c0c
0xfffffff007fcd1f8: 285342b9  ldr	w8, [x25, #0x250]
0xfffffff007fcd1fc: 08060035  cbnz	w8, #0xfffffff007fcd2bc
0xfffffff007fcd200: 17060034  cbz	w23, #0xfffffff007fcd2c0
0xfffffff007fcd204: e80317aa  mov	x8, x23
0xfffffff007fcd208: f8a300a9  stp	x24, x8, [sp, #8]
0xfffffff007fcd20c: c884ffd0  adrp	x8, #0xfffffff007067000
0xfffffff007fcd210: 08711c91  add	x8, x8, #0x71c
0xfffffff007fcd214: e80300f9  str	x8, [sp]
0xfffffff007fcd218: e081fff0  adrp	x0, #0xfffffff00700c000
0xfffffff007fcd21c: 00000091  add	x0, x0, #0
0xfffffff007fcd220: 611201b0  adrp	x1, #0xfffffff00a21a000
0xfffffff007fcd224: 21502f91  add	x1, x1, #0xbd4
0xfffffff007fcd228: 0387fff0  adrp	x3, #0xfffffff0070b0000
0xfffffff007fcd22c: 63180991  add	x3, x3, #0x246
0xfffffff007fcd230: 02028052  mov	w2, #0x10
0xfffffff007fcd234: bf970d94  bl	#0xfffffff008333130
0xfffffff007fcd238: 48000014  b	#0xfffffff007fcd358
0xfffffff007fcd23c: 285342b9  ldr	w8, [x25, #0x250]
0xfffffff007fcd240: 280c0035  cbnz	w8, #0xfffffff007fcd3c4
0xfffffff007fcd244: d7008052  mov	w23, #6
0xfffffff007fcd248: 2886ffb0  adrp	x8, #0xfffffff007092000
0xfffffff007fcd24c: 085d0891  add	x8, x8, #0x217
0xfffffff007fcd250: c984ffd0  adrp	x9, #0xfffffff007067000
0xfffffff007fcd254: 29711c91  add	x9, x9, #0x71c
0xfffffff007fcd258: e8df00a9  stp	x8, x23, [sp, #8]
0xfffffff007fcd25c: e90300f9  str	x9, [sp]
0xfffffff007fcd260: e081fff0  adrp	x0, #0xfffffff00700c000
0xfffffff007fcd264: 00000091  add	x0, x0, #0
