; Candidate 11346
; ADRP+ADD at VM 0xfffffff008ef44d8 (fileoff 0x1ef04d8): page=0x1fe516000 add_imm=0xdc0

0xfffffff008ef4458: 0061ffb0  adrp	x0, #0xfffffff007b15000
0xfffffff008ef445c: 00002691  add	x0, x0, #0x980
0xfffffff008ef4460: 2588d197  bl	#0xfffffff0083564f4
0xfffffff008ef4464: 28008052  mov	w8, #1
0xfffffff008ef4468: 1f7c01a9  stp	xzr, xzr, [x0, #0x10]
0xfffffff008ef446c: 1061ff90  adrp	x16, #0xfffffff007b14000
0xfffffff008ef4470: 10a22991  add	x16, x16, #0xa68
0xfffffff008ef4474: 10420091  add	x16, x16, #0x10
0xfffffff008ef4478: f10300aa  mov	x17, x0
0xfffffff008ef447c: 31f3f1f2  movk	x17, #0x8f99, lsl #48
0xfffffff008ef4480: 300ac1da  pacda	x16, x17
0xfffffff008ef4484: 102000a9  stp	x16, x8, [x0]
0xfffffff008ef4488: e80f40f9  ldr	x8, [sp, #0x18]
0xfffffff008ef448c: 081000f9  str	x8, [x0, #0x20]
0xfffffff008ef4490: e82340b9  ldr	w8, [sp, #0x20]
0xfffffff008ef4494: 082800b9  str	w8, [x0, #0x28]
0xfffffff008ef4498: 9f7e00a9  stp	xzr, xzr, [x20]
0xfffffff008ef449c: 9f0201a9  stp	xzr, x0, [x20, #0x10]
0xfffffff008ef44a0: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff008ef44a4: e960ffb0  adrp	x9, #0xfffffff007b11000
0xfffffff008ef44a8: 294143f9  ldr	x9, [x9, #0x680]
0xfffffff008ef44ac: 290140f9  ldr	x9, [x9]
0xfffffff008ef44b0: 3f0108eb  cmp	x9, x8
0xfffffff008ef44b4: e1010054  b.ne	#0xfffffff008ef44f0
0xfffffff008ef44b8: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008ef44bc: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008ef44c0: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008ef44c4: ff830191  add	sp, sp, #0x60
0xfffffff008ef44c8: ff0f5fd6  retab	
0xfffffff008ef44cc: a028ffd0  adrp	x0, #0xfffffff00740a000
0xfffffff008ef44d0: 00c03d91  add	x0, x0, #0xf70
0xfffffff008ef44d4: 90f4ff97  bl	#0xfffffff008ef1714
0xfffffff008ef44d8: a028ffd0  adrp	x0, #0xfffffff00740a000
0xfffffff008ef44dc: 00003791  add	x0, x0, #0xdc0
0xfffffff008ef44e0: 8df4ff97  bl	#0xfffffff008ef1714
0xfffffff008ef44e4: 8028ff90  adrp	x0, #0xfffffff007404000
0xfffffff008ef44e8: 00000891  add	x0, x0, #0x200
0xfffffff008ef44ec: 8af4ff97  bl	#0xfffffff008ef1714
0xfffffff008ef44f0: 57a6b997  bl	#0xfffffff007d5de4c
0xfffffff008ef44f4: a028ffd0  adrp	x0, #0xfffffff00740a000
0xfffffff008ef44f8: 006c2f91  add	x0, x0, #0xbdb
0xfffffff008ef44fc: 86f4ff97  bl	#0xfffffff008ef1714
0xfffffff008ef4500: 7f2303d5  pacibsp	
0xfffffff008ef4504: ff0303d1  sub	sp, sp, #0xc0
0xfffffff008ef4508: f65709a9  stp	x22, x21, [sp, #0x90]
0xfffffff008ef450c: f44f0aa9  stp	x20, x19, [sp, #0xa0]
0xfffffff008ef4510: fd7b0ba9  stp	x29, x30, [sp, #0xb0]
0xfffffff008ef4514: fdc30291  add	x29, sp, #0xb0
0xfffffff008ef4518: f30308aa  mov	x19, x8
0xfffffff008ef451c: 480040b9  ldr	w8, [x2]
0xfffffff008ef4520: 1f050071  cmp	w8, #1
0xfffffff008ef4524: a1070054  b.ne	#0xfffffff008ef4618
0xfffffff008ef4528: f40302aa  mov	x20, x2
0xfffffff008ef452c: f50301aa  mov	x21, x1
0xfffffff008ef4530: e8c30091  add	x8, sp, #0x30
0xfffffff008ef4534: ff2303a9  stp	xzr, x8, [sp, #0x30]
0xfffffff008ef4538: c928ff90  adrp	x9, #0xfffffff00740c000
0xfffffff008ef453c: 204147fd  ldr	d0, [x9, #0xe80]
0xfffffff008ef4540: e02300fd  str	d0, [sp, #0x40]
0xfffffff008ef4544: 29008052  mov	w9, #1
0xfffffff008ef4548: e9230139  strb	w9, [sp, #0x48]
0xfffffff008ef454c: e9230091  add	x9, sp, #8
0xfffffff008ef4550: f060ffb0  adrp	x16, #0xfffffff007b11000
0xfffffff008ef4554: 100243f9  ldr	x16, [x16, #0x600]
