; Candidate 6208
; ADRP+ADD at VM 0xfffffff00881a554 (fileoff 0x1816554): page=0x1fe9cf000 add_imm=0xe80

0xfffffff00881a4d4: e9388152  mov	w9, #0x9c7
0xfffffff00881a4d8: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00881a4dc: 2850ffb0  adrp	x8, #0xfffffff00721f000
0xfffffff00881a4e0: 08911491  add	x8, x8, #0x524
0xfffffff00881a4e4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00881a4e8: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00881a4ec: 880e8052  mov	w8, #0x74
0xfffffff00881a4f0: 2050ffb0  adrp	x0, #0xfffffff00721f000
0xfffffff00881a4f4: 00d41491  add	x0, x0, #0x535
0xfffffff00881a4f8: 88020014  b	#0xfffffff00881af18
0xfffffff00881a4fc: 2c670294  bl	#0xfffffff0088b41ac
0xfffffff00881a500: f90300aa  mov	x25, x0
0xfffffff00881a504: 80008052  mov	w0, #4
0xfffffff00881a508: d2840194  bl	#0xfffffff00887b850
0xfffffff00881a50c: e80318aa  mov	x8, x24
0xfffffff00881a510: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff00881a514: f7a305a9  stp	x23, x8, [sp, #0x58]
0xfffffff00881a518: e80316aa  mov	x8, x22
0xfffffff00881a51c: e8d704a9  stp	x8, x21, [sp, #0x48]
0xfffffff00881a520: e9d303a9  stp	x9, x20, [sp, #0x38]
0xfffffff00881a524: a84fffd0  adrp	x8, #0xfffffff007210000
0xfffffff00881a528: 08b92791  add	x8, x8, #0x9ee
0xfffffff00881a52c: 89378152  mov	w9, #0x9bc
0xfffffff00881a530: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00881a534: 2850ffb0  adrp	x8, #0xfffffff00721f000
0xfffffff00881a538: 08911491  add	x8, x8, #0x524
0xfffffff00881a53c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00881a540: 880e8052  mov	w8, #0x74
0xfffffff00881a544: 6351fff0  adrp	x3, #0xfffffff007249000
0xfffffff00881a548: 63201091  add	x3, x3, #0x408
0xfffffff00881a54c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00881a550: f90300f9  str	x25, [sp]
0xfffffff00881a554: 604efff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00881a558: 00003a91  add	x0, x0, #0xe80
0xfffffff00881a55c: 618fffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00881a560: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881a564: 02008052  mov	w2, #0
0xfffffff00881a568: f262ec97  bl	#0xfffffff008333130
0xfffffff00881a56c: d4feff17  b	#0xfffffff00881a0bc
0xfffffff00881a570: f94700f9  str	x25, [sp, #0x88]
0xfffffff00881a574: 68ca4391  add	x8, x19, #0xf2, lsl #12
0xfffffff00881a578: 19a10491  add	x25, x8, #0x128
0xfffffff00881a57c: 383f40b9  ldr	w24, [x25, #0x3c]
0xfffffff00881a580: 68ca4391  add	x8, x19, #0xf2, lsl #12
0xfffffff00881a584: 1c410091  add	x28, x8, #0x10
0xfffffff00881a588: e0031caa  mov	x0, x28
0xfffffff00881a58c: e10318aa  mov	x1, x24
0xfffffff00881a590: 02008052  mov	w2, #0
0xfffffff00881a594: a1bb0094  bl	#0xfffffff008849418
0xfffffff00881a598: fb0300aa  mov	x27, x0
0xfffffff00881a59c: 68ca4391  add	x8, x19, #0xf2, lsl #12
0xfffffff00881a5a0: 00410191  add	x0, x8, #0x50
0xfffffff00881a5a4: e10318aa  mov	x1, x24
0xfffffff00881a5a8: 02008052  mov	w2, #0
0xfffffff00881a5ac: 9bbb0094  bl	#0xfffffff008849418
0xfffffff00881a5b0: 1b001b0b  add	w27, w0, w27
0xfffffff00881a5b4: 68ca4391  add	x8, x19, #0xf2, lsl #12
0xfffffff00881a5b8: 00410291  add	x0, x8, #0x90
0xfffffff00881a5bc: e10318aa  mov	x1, x24
0xfffffff00881a5c0: 02008052  mov	w2, #0
0xfffffff00881a5c4: 95bb0094  bl	#0xfffffff008849418
0xfffffff00881a5c8: 7803002b  adds	w24, w27, w0
0xfffffff00881a5cc: 60070054  b.eq	#0xfffffff00881a6b8
0xfffffff00881a5d0: 800e8052  mov	w0, #0x74
