; Candidate 86
; ADRP+ADD at VM 0xfffffff007dfc564 (fileoff 0xdf8564): page=0x23cf000 add_imm=0xd48

0xfffffff007dfc4e4: 4afa2736  tbz	w10, #4, #0xfffffff007dfc42c
0xfffffff007dfc4e8: 205180b9  ldrsw	x0, [x9, #0x50]
0xfffffff007dfc4ec: 00faff34  cbz	w0, #0xfffffff007dfc42c
0xfffffff007dfc4f0: 680240f9  ldr	x8, [x19]
0xfffffff007dfc4f4: 08017cb2  orr	x8, x8, #0x10
0xfffffff007dfc4f8: 26ffff17  b	#0xfffffff007dfc190
0xfffffff007dfc4fc: 000080d2  mov	x0, #0
0xfffffff007dfc500: 680240f9  ldr	x8, [x19]
0xfffffff007dfc504: 08017bb2  orr	x8, x8, #0x20
0xfffffff007dfc508: 22ffff17  b	#0xfffffff007dfc190
0xfffffff007dfc50c: 6892ffd0  adrp	x8, #0xfffffff00704a000
0xfffffff007dfc510: 08210591  add	x8, x8, #0x148
0xfffffff007dfc514: 091b8052  mov	w9, #0xd8
0xfffffff007dfc518: e82700a9  stp	x8, x9, [sp]
0xfffffff007dfc51c: 6092ffd0  adrp	x0, #0xfffffff00704a000
0xfffffff007dfc520: 00e40991  add	x0, x0, #0x279
0xfffffff007dfc524: fa5f1a94  bl	#0xfffffff00849450c
0xfffffff007dfc528: f9ffff17  b	#0xfffffff007dfc50c
0xfffffff007dfc52c: 7f2303d5  pacibsp	
0xfffffff007dfc530: ffc300d1  sub	sp, sp, #0x30
0xfffffff007dfc534: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff007dfc538: fd830091  add	x29, sp, #0x20
0xfffffff007dfc53c: e8d6ff90  adrp	x8, #0xfffffff0078d8000
0xfffffff007dfc540: 005543f9  ldr	x0, [x8, #0x6a8]
0xfffffff007dfc544: e1d6ff90  adrp	x1, #0xfffffff0078d8000
0xfffffff007dfc548: 21801a91  add	x1, x1, #0x6a0
0xfffffff007dfc54c: 02058052  mov	w2, #0x28
0xfffffff007dfc550: ba7dfe97  bl	#0xfffffff007d9bc38
0xfffffff007dfc554: 08040091  add	x8, x0, #1
0xfffffff007dfc558: 1f0500f1  cmp	x8, #1
0xfffffff007dfc55c: 89010054  b.ls	#0xfffffff007dfc58c
0xfffffff007dfc560: e20300aa  mov	x2, x0
0xfffffff007dfc564: 601e01f0  adrp	x0, #0xfffffff00a1cb000
0xfffffff007dfc568: 00203591  add	x0, x0, #0xd48
0xfffffff007dfc56c: c13f8152  mov	w1, #0x9fe
0xfffffff007dfc570: e3070132  mov	w3, #-0x7fffffff
0xfffffff007dfc574: 04008052  mov	w4, #0
0xfffffff007dfc578: 7675fe97  bl	#0xfffffff007d99b50
0xfffffff007dfc57c: 60010035  cbnz	w0, #0xfffffff007dfc5a8
0xfffffff007dfc580: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff007dfc584: ffc30091  add	sp, sp, #0x30
0xfffffff007dfc588: ff0f5fd6  retab	
0xfffffff007dfc58c: 6892ffd0  adrp	x8, #0xfffffff00704a000
0xfffffff007dfc590: 08450c91  add	x8, x8, #0x311
0xfffffff007dfc594: c90b8052  mov	w9, #0x5e
0xfffffff007dfc598: e82700a9  stp	x8, x9, [sp]
0xfffffff007dfc59c: 6092ffd0  adrp	x0, #0xfffffff00704a000
0xfffffff007dfc5a0: 00600b91  add	x0, x0, #0x2d8
0xfffffff007dfc5a4: da5f1a94  bl	#0xfffffff00849450c
0xfffffff007dfc5a8: c80d8052  mov	w8, #0x6e
0xfffffff007dfc5ac: 6992ffd0  adrp	x9, #0xfffffff00704a000
0xfffffff007dfc5b0: 29450c91  add	x9, x9, #0x311
0xfffffff007dfc5b4: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff007dfc5b8: e00300f9  str	x0, [sp]
0xfffffff007dfc5bc: 6092ffd0  adrp	x0, #0xfffffff00704a000
0xfffffff007dfc5c0: 00780c91  add	x0, x0, #0x31e
0xfffffff007dfc5c4: d25f1a94  bl	#0xfffffff00849450c
0xfffffff007dfc5c8: 7f2303d5  pacibsp	
0xfffffff007dfc5cc: f85fbca9  stp	x24, x23, [sp, #-0x40]!
0xfffffff007dfc5d0: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff007dfc5d4: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff007dfc5d8: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff007dfc5dc: fdc30091  add	x29, sp, #0x30
0xfffffff007dfc5e0: e8d6ff90  adrp	x8, #0xfffffff0078d8000
