; Candidate 10636
; ADRP+ADD at VM 0xfffffff008de04b8 (fileoff 0x1ddc4b8): page=0x1fe5e4000 add_imm=0xd54

0xfffffff008de0438: ff1600b1  cmn	x23, #5
0xfffffff008de043c: e383979a  csel	x3, xzr, x23, hi
0xfffffff008de0440: e10318aa  mov	x1, x24
0xfffffff008de0444: e20317aa  mov	x2, x23
0xfffffff008de0448: 02fec297  bl	#0xfffffff007e9fc50
0xfffffff008de044c: e00316aa  mov	x0, x22
0xfffffff008de0450: 41038052  mov	w1, #0x1a
0xfffffff008de0454: 02008052  mov	w2, #0
0xfffffff008de0458: e3031baa  mov	x3, x27
0xfffffff008de045c: e4031aaa  mov	x4, x26
0xfffffff008de0460: e50314aa  mov	x5, x20
0xfffffff008de0464: e60313aa  mov	x6, x19
0xfffffff008de0468: 519081d2  mov	x17, #0xc82
0xfffffff008de046c: b10a3fd7  blraa	x21, x17
0xfffffff008de0470: f30300aa  mov	x19, x0
0xfffffff008de0474: 9f030091  mov	sp, x28
0xfffffff008de0478: 1f000071  cmp	w0, #0
0xfffffff008de047c: c8088052  mov	w8, #0x46
0xfffffff008de0480: 49018052  mov	w9, #0xa
0xfffffff008de0484: 2801881a  csel	w8, w9, w8, eq
0xfffffff008de0488: 1a2fffb0  adrp	x26, #0xfffffff0073c1000
0xfffffff008de048c: 5a3b2191  add	x26, x26, #0x84e
0xfffffff008de0490: 1b2fffb0  adrp	x27, #0xfffffff0073c1000
0xfffffff008de0494: 7b9f0c91  add	x27, x27, #0x327
0xfffffff008de0498: fca800f0  adrp	x28, #0xfffffff00a2ff000
0xfffffff008de049c: 9c432c91  add	x28, x28, #0xb10
0xfffffff008de04a0: 89034039  ldrb	w9, [x28]
0xfffffff008de04a4: 1f01096b  cmp	w8, w9
0xfffffff008de04a8: 03010054  b.lo	#0xfffffff008de04c8
0xfffffff008de04ac: 687e4093  sxtw	x8, w19
0xfffffff008de04b0: fb6bbea9  stp	x27, x26, [sp, #-0x20]!
0xfffffff008de04b4: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008de04b8: 202fff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de04bc: 00503591  add	x0, x0, #0xd54
0xfffffff008de04c0: d8dad597  bl	#0xfffffff008357020
0xfffffff008de04c4: ff830091  add	sp, sp, #0x20
0xfffffff008de04c8: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff008de04cc: 8968ff90  adrp	x9, #0xfffffff007af0000
0xfffffff008de04d0: 296946f9  ldr	x9, [x9, #0xcd0]
0xfffffff008de04d4: 290140f9  ldr	x9, [x9]
0xfffffff008de04d8: 3f0108eb  cmp	x9, x8
0xfffffff008de04dc: c1040054  b.ne	#0xfffffff008de0574
0xfffffff008de04e0: e00313aa  mov	x0, x19
0xfffffff008de04e4: bf4301d1  sub	sp, x29, #0x50
0xfffffff008de04e8: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008de04ec: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008de04f0: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008de04f4: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff008de04f8: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff008de04fc: fc6fc6a8  ldp	x28, x27, [sp], #0x60
0xfffffff008de0500: ff0f5fd6  retab	
0xfffffff008de0504: ffc300d1  sub	sp, sp, #0x30
0xfffffff008de0508: 282c8052  mov	w8, #0x161
0xfffffff008de050c: 092fffb0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de0510: 29490d91  add	x9, x9, #0x352
0xfffffff008de0514: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de0518: 282fff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008de051c: 08493991  add	x8, x8, #0xe52
0xfffffff008de0520: 0a2fffb0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de0524: 4ab51491  add	x10, x10, #0x52d
0xfffffff008de0528: 0a000014  b	#0xfffffff008de0550
0xfffffff008de052c: ffc300d1  sub	sp, sp, #0x30
0xfffffff008de0530: 482c8052  mov	w8, #0x162
0xfffffff008de0534: 092fffb0  adrp	x9, #0xfffffff0073c1000
