; Candidate 5988
; ADRP+ADD at VM 0xfffffff00880db30 (fileoff 0x1809b30): page=0x1fe9dc000 add_imm=0xe80

0xfffffff00880dab0: 54050034  cbz	w20, #0xfffffff00880db58
0xfffffff00880dab4: 28334e39  ldrb	w8, [x25, #0x38c]
0xfffffff00880dab8: f82303a9  stp	x24, x8, [sp, #0x30]
0xfffffff00880dabc: 6850ffd0  adrp	x8, #0xfffffff00721b000
0xfffffff00880dac0: 08493691  add	x8, x8, #0xd92
0xfffffff00880dac4: 69148052  mov	w9, #0xa3
0xfffffff00880dac8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00880dacc: 6850ffd0  adrp	x8, #0xfffffff00721b000
0xfffffff00880dad0: 08e13391  add	x8, x8, #0xcf8
0xfffffff00880dad4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00880dad8: c80e8052  mov	w8, #0x76
0xfffffff00880dadc: 6050ffd0  adrp	x0, #0xfffffff00721b000
0xfffffff00880dae0: 00d83491  add	x0, x0, #0xd36
0xfffffff00880dae4: f32300a9  stp	x19, x8, [sp]
0xfffffff00880dae8: 5ea6d697  bl	#0xfffffff007db7460
0xfffffff00880daec: 00008052  mov	w0, #0
0xfffffff00880daf0: 32000014  b	#0xfffffff00880dbb8
0xfffffff00880daf4: ae990294  bl	#0xfffffff0088b41ac
0xfffffff00880daf8: f60300aa  mov	x22, x0
0xfffffff00880dafc: 80008052  mov	w0, #4
0xfffffff00880db00: 54b70194  bl	#0xfffffff00887b850
0xfffffff00880db04: f4cf03a9  stp	x20, x19, [sp, #0x38]
0xfffffff00880db08: 6850ffd0  adrp	x8, #0xfffffff00721b000
0xfffffff00880db0c: 08453491  add	x8, x8, #0xd11
0xfffffff00880db10: e9108052  mov	w9, #0x87
0xfffffff00880db14: e8d702a9  stp	x8, x21, [sp, #0x28]
0xfffffff00880db18: 6850ffd0  adrp	x8, #0xfffffff00721b000
0xfffffff00880db1c: 08e13391  add	x8, x8, #0xcf8
0xfffffff00880db20: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00880db24: c80e8052  mov	w8, #0x76
0xfffffff00880db28: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00880db2c: f60300f9  str	x22, [sp]
0xfffffff00880db30: e04eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00880db34: 00003a91  add	x0, x0, #0xe80
0xfffffff00880db38: c18ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff00880db3c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00880db40: c351ffb0  adrp	x3, #0xfffffff007246000
0xfffffff00880db44: 63443b91  add	x3, x3, #0xed1
0xfffffff00880db48: 02008052  mov	w2, #0
0xfffffff00880db4c: 7995ec97  bl	#0xfffffff008333130
0xfffffff00880db50: 00008052  mov	w0, #0
0xfffffff00880db54: 19000014  b	#0xfffffff00880dbb8
0xfffffff00880db58: 95990294  bl	#0xfffffff0088b41ac
0xfffffff00880db5c: f30300aa  mov	x19, x0
0xfffffff00880db60: 80008052  mov	w0, #4
0xfffffff00880db64: 3bb70194  bl	#0xfffffff00887b850
0xfffffff00880db68: 28334e39  ldrb	w8, [x25, #0x38c]
0xfffffff00880db6c: f82303a9  stp	x24, x8, [sp, #0x30]
0xfffffff00880db70: 6850ffd0  adrp	x8, #0xfffffff00721b000
0xfffffff00880db74: 08493691  add	x8, x8, #0xd92
0xfffffff00880db78: 69148052  mov	w9, #0xa3
0xfffffff00880db7c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00880db80: 6850ffd0  adrp	x8, #0xfffffff00721b000
0xfffffff00880db84: 08e13391  add	x8, x8, #0xcf8
0xfffffff00880db88: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00880db8c: c80e8052  mov	w8, #0x76
0xfffffff00880db90: f32300a9  stp	x19, x8, [sp]
0xfffffff00880db94: e04eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00880db98: 00003a91  add	x0, x0, #0xe80
0xfffffff00880db9c: c18ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff00880dba0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00880dba4: c351ffb0  adrp	x3, #0xfffffff007246000
0xfffffff00880dba8: 63183c91  add	x3, x3, #0xf06
0xfffffff00880dbac: 02008052  mov	w2, #0
