; Candidate 10122
; ADRP+ADD at VM 0xfffffff008ca9fc4 (fileoff 0x1ca5fc4): page=0x1fe6ad000 add_imm=0xced

0xfffffff008ca9f44: 88070054  b.hi	#0xfffffff008caa034
0xfffffff008ca9f48: f003142a  mov	w16, w20
0xfffffff008ca9f4c: 1f1200f1  cmp	x16, #4
0xfffffff008ca9f50: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff008ca9f54: 110000b0  adrp	x17, #0xfffffff008caa000
0xfffffff008ca9f58: 31e20a91  add	x17, x17, #0x2b8
0xfffffff008ca9f5c: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff008ca9f60: 11000010  adr	x17, #0xfffffff008ca9f60
0xfffffff008ca9f64: 3002108b  add	x16, x17, x16
0xfffffff008ca9f68: 00021fd6  br	x16
0xfffffff008ca9f6c: 9f2403d5  bti	j
0xfffffff008ca9f70: 682e4fb9  ldr	w8, [x19, #0xf2c]
0xfffffff008ca9f74: 1f090071  cmp	w8, #2
0xfffffff008ca9f78: 810f0054  b.ne	#0xfffffff008caa168
0xfffffff008ca9f7c: 68324fb9  ldr	w8, [x19, #0xf30]
0xfffffff008ca9f80: 1f090071  cmp	w8, #2
0xfffffff008ca9f84: 210f0054  b.ne	#0xfffffff008caa168
0xfffffff008ca9f88: 68f27d39  ldrb	w8, [x19, #0xf7c]
0xfffffff008ca9f8c: 88173036  tbz	w8, #6, #0xfffffff008caa27c
0xfffffff008ca9f90: 6035ffb0  adrp	x0, #0xfffffff007356000
0xfffffff008ca9f94: 00802d91  add	x0, x0, #0xb60
0xfffffff008ca9f98: b6000014  b	#0xfffffff008caa270
0xfffffff008ca9f9c: 602647f9  ldr	x0, [x19, #0xe48]
0xfffffff008ca9fa0: e00200b4  cbz	x0, #0xfffffff008ca9ffc
0xfffffff008ca9fa4: 2135fff0  adrp	x1, #0xfffffff007350000
0xfffffff008ca9fa8: 21c41391  add	x1, x1, #0x4f1
0xfffffff008ca9fac: 316be797  bl	#0xfffffff008684c70
0xfffffff008ca9fb0: 604e07f9  str	x0, [x19, #0xe98]
0xfffffff008ca9fb4: e0faffb5  cbnz	x0, #0xfffffff008ca9f10
0xfffffff008ca9fb8: 6035ffb0  adrp	x0, #0xfffffff007356000
0xfffffff008ca9fbc: 00842691  add	x0, x0, #0x9a1
0xfffffff008ca9fc0: 11000014  b	#0xfffffff008caa004
0xfffffff008ca9fc4: 6035ffb0  adrp	x0, #0xfffffff007356000
0xfffffff008ca9fc8: 00b43391  add	x0, x0, #0xced
0xfffffff008ca9fcc: f50308aa  mov	x21, x8
0xfffffff008ca9fd0: 0d000014  b	#0xfffffff008caa004
0xfffffff008ca9fd4: 602647f9  ldr	x0, [x19, #0xe48]
0xfffffff008ca9fd8: 200100b4  cbz	x0, #0xfffffff008ca9ffc
0xfffffff008ca9fdc: 2135fff0  adrp	x1, #0xfffffff007350000
0xfffffff008ca9fe0: 21b01691  add	x1, x1, #0x5ac
0xfffffff008ca9fe4: 236be797  bl	#0xfffffff008684c70
0xfffffff008ca9fe8: 605207f9  str	x0, [x19, #0xea0]
0xfffffff008ca9fec: 60f9ffb5  cbnz	x0, #0xfffffff008ca9f18
0xfffffff008ca9ff0: 6035ffb0  adrp	x0, #0xfffffff007356000
0xfffffff008ca9ff4: 00142991  add	x0, x0, #0xa45
0xfffffff008ca9ff8: 03000014  b	#0xfffffff008caa004
0xfffffff008ca9ffc: 6035ffb0  adrp	x0, #0xfffffff007356000
0xfffffff008caa000: 00c82791  add	x0, x0, #0x9f2
0xfffffff008caa004: 68a27c39  ldrb	w8, [x19, #0xf28]
0xfffffff008caa008: e80300f9  str	x8, [sp]
0xfffffff008caa00c: 05b4da97  bl	#0xfffffff008357020
0xfffffff008caa010: e00313aa  mov	x0, x19
0xfffffff008caa014: 21008052  mov	w1, #1
0xfffffff008caa018: f8f42a94  bl	#0xfffffff0097673f8
0xfffffff008caa01c: e00315aa  mov	x0, x21
0xfffffff008caa020: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008caa024: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008caa028: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff008caa02c: ff030191  add	sp, sp, #0x40
0xfffffff008caa030: ff0f5fd6  retab	
0xfffffff008caa034: 6035ff90  adrp	x0, #0xfffffff007356000
0xfffffff008caa038: 00743291  add	x0, x0, #0xc9d
0xfffffff008caa03c: e4ffff17  b	#0xfffffff008ca9fcc
0xfffffff008caa040: 9f2403d5  bti	j
