; Candidate 16693
; ADRP+ADD at VM 0xfffffff009f2fadc (fileoff 0x2f2badc): page=0x1fde09000 add_imm=0xd18

0xfffffff009f2fa5c: 9f0a4071  cmp	w20, #2, lsl #12
0xfffffff009f2fa60: e9000054  b.ls	#0xfffffff009f2fa7c
0xfffffff009f2fa64: 887e0d53  lsr	w8, w20, #0xd
0xfffffff009f2fa68: 5a0bc81a  udiv	w26, w26, w8
0xfffffff009f2fa6c: 5f032071  cmp	w26, #0x800
0xfffffff009f2fa70: 62000054  b.hs	#0xfffffff009f2fa7c
0xfffffff009f2fa74: 15408052  mov	w21, #0x200
0xfffffff009f2fa78: 0c000014  b	#0xfffffff009f2faa8
0xfffffff009f2fa7c: 487f0253  lsr	w8, w26, #2
0xfffffff009f2fa80: 09050051  sub	w9, w8, #1
0xfffffff009f2fa84: 3f095a6a  tst	w9, w26, lsr #2
0xfffffff009f2fa88: e0000054  b.eq	#0xfffffff009f2faa4
0xfffffff009f2fa8c: 09408052  mov	w9, #0x200
0xfffffff009f2fa90: f50309aa  mov	x21, x9
0xfffffff009f2fa94: 29791f53  lsl	w9, w9, #1
0xfffffff009f2fa98: bf02086b  cmp	w21, w8
0xfffffff009f2fa9c: a3ffff54  b.lo	#0xfffffff009f2fa90
0xfffffff009f2faa0: 02000014  b	#0xfffffff009f2faa8
0xfffffff009f2faa4: f50308aa  mov	x21, x8
0xfffffff009f2faa8: 098b42f9  ldr	x9, [x24, #0x510]
0xfffffff009f2faac: f5eb01a9  stp	x21, x26, [sp, #0x18]
0xfffffff009f2fab0: 79c9feb0  adrp	x25, #0xfffffff00785c000
0xfffffff009f2fab4: 39570e91  add	x25, x25, #0x395
0xfffffff009f2fab8: 48a28052  mov	w8, #0x512
0xfffffff009f2fabc: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff009f2fac0: f90300f9  str	x25, [sp]
0xfffffff009f2fac4: 60c9feb0  adrp	x0, #0xfffffff00785c000
0xfffffff009f2fac8: 00c41291  add	x0, x0, #0x4b1
0xfffffff009f2facc: 5d3ffd97  bl	#0xfffffff009e7f840
0xfffffff009f2fad0: 9d110094  bl	#0xfffffff009f34144
0xfffffff009f2fad4: fc0300aa  mov	x28, x0
0xfffffff009f2fad8: 802f0035  cbnz	w0, #0xfffffff009f300c8
0xfffffff009f2fadc: 40f0feb0  adrp	x0, #0xfffffff007d38000
0xfffffff009f2fae0: 00603491  add	x0, x0, #0xd18
0xfffffff009f2fae4: 849a9097  bl	#0xfffffff0083564f4
0xfffffff009f2fae8: e01700b4  cbz	x0, #0xfffffff009f2fde4
0xfffffff009f2faec: f90300aa  mov	x25, x0
0xfffffff009f2faf0: f66300b9  str	w22, [sp, #0x60]
0xfffffff009f2faf4: f43700f9  str	x20, [sp, #0x68]
0xfffffff009f2faf8: 292500b0  adrp	x9, #0xfffffff00a3d4000
0xfffffff009f2fafc: 29212a91  add	x9, x9, #0xa88
0xfffffff009f2fb00: 08a28052  mov	w8, #0x510
0xfffffff009f2fb04: 280128f8  ldadd	x8, x8, [x9]
0xfffffff009f2fb08: 01008052  mov	w1, #0
0xfffffff009f2fb0c: 02a28052  mov	w2, #0x510
0xfffffff009f2fb10: 2c747897  bl	#0xfffffff007d4cbc0
0xfffffff009f2fb14: 362500b0  adrp	x22, #0xfffffff00a3d4000
0xfffffff009f2fb18: c1ce44f9  ldr	x1, [x22, #0x998]
0xfffffff009f2fb1c: 342500b0  adrp	x20, #0xfffffff00a3d4000
0xfffffff009f2fb20: 82c644f9  ldr	x2, [x20, #0x988]
0xfffffff009f2fb24: e00319aa  mov	x0, x25
0xfffffff009f2fb28: 5ff57997  bl	#0xfffffff007dad0a4
0xfffffff009f2fb2c: 3cc30391  add	x28, x25, #0xf0
0xfffffff009f2fb30: c1ce44f9  ldr	x1, [x22, #0x998]
0xfffffff009f2fb34: 82c644f9  ldr	x2, [x20, #0x988]
0xfffffff009f2fb38: e0031caa  mov	x0, x28
0xfffffff009f2fb3c: 5af57997  bl	#0xfffffff007dad0a4
0xfffffff009f2fb40: 36c30591  add	x22, x25, #0x170
0xfffffff009f2fb44: 292500b0  adrp	x9, #0xfffffff00a3d4000
0xfffffff009f2fb48: 21c944f9  ldr	x1, [x9, #0x990]
0xfffffff009f2fb4c: 82c644f9  ldr	x2, [x20, #0x988]
0xfffffff009f2fb50: e00316aa  mov	x0, x22
0xfffffff009f2fb54: 7cef7997  bl	#0xfffffff007dab944
0xfffffff009f2fb58: e80315aa  mov	x8, x21
