; Candidate 8297
; ADRP+ADD at VM 0xfffffff0088a1b10 (fileoff 0x189db10): page=0x1fe948000 add_imm=0xe80

0xfffffff0088a1a90: c94242b9  ldr	w9, [x22, #0x240]
0xfffffff0088a1a94: 96010014  b	#0xfffffff0088a20ec
0xfffffff0088a1a98: c5490094  bl	#0xfffffff0088b41ac
0xfffffff0088a1a9c: f70300aa  mov	x23, x0
0xfffffff0088a1aa0: 00018052  mov	w0, #8
0xfffffff0088a1aa4: 6b67ff97  bl	#0xfffffff00887b850
0xfffffff0088a1aa8: c81240f9  ldr	x8, [x22, #0x20]
0xfffffff0088a1aac: 690240b9  ldr	w9, [x19]
0xfffffff0088a1ab0: ca2e4229  ldp	w10, w11, [x22, #0x10]
0xfffffff0088a1ab4: cc1a40b9  ldr	w12, [x22, #0x18]
0xfffffff0088a1ab8: cd2e40b9  ldr	w13, [x22, #0x2c]
0xfffffff0088a1abc: ce3a40b9  ldr	w14, [x22, #0x38]
0xfffffff0088a1ac0: cfc240b9  ldr	w15, [x22, #0xc0]
0xfffffff0088a1ac4: d0b241b9  ldr	w16, [x22, #0x1b0]
0xfffffff0088a1ac8: d1fa41b9  ldr	w17, [x22, #0x1f8]
0xfffffff0088a1acc: f04708a9  stp	x16, x17, [sp, #0x80]
0xfffffff0088a1ad0: ee3f07a9  stp	x14, x15, [sp, #0x70]
0xfffffff0088a1ad4: ec3706a9  stp	x12, x13, [sp, #0x60]
0xfffffff0088a1ad8: e82f05a9  stp	x8, x11, [sp, #0x50]
0xfffffff0088a1adc: f62b04a9  stp	x22, x10, [sp, #0x40]
0xfffffff0088a1ae0: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff0088a1ae4: 08b18052  mov	w8, #0x588
0xfffffff0088a1ae8: 894cff90  adrp	x9, #0xfffffff007231000
0xfffffff0088a1aec: 29b51b91  add	x9, x9, #0x6ed
0xfffffff0088a1af0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088a1af4: 884cff90  adrp	x8, #0xfffffff007231000
0xfffffff0088a1af8: 08e93191  add	x8, x8, #0xc7a
0xfffffff0088a1afc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a1b00: a80f8052  mov	w8, #0x7d
0xfffffff0088a1b04: 034eff90  adrp	x3, #0xfffffff007261000
0xfffffff0088a1b08: 63a82391  add	x3, x3, #0x8ea
0xfffffff0088a1b0c: f72300a9  stp	x23, x8, [sp]
0xfffffff0088a1b10: 404aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a1b14: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a1b18: 218bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088a1b1c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a1b20: 02008052  mov	w2, #0
0xfffffff0088a1b24: 8345ea97  bl	#0xfffffff008333130
0xfffffff0088a1b28: c83a40b9  ldr	w8, [x22, #0x38]
0xfffffff0088a1b2c: 1f050071  cmp	w8, #1
0xfffffff0088a1b30: 2b130054  b.lt	#0xfffffff0088a1d94
0xfffffff0088a1b34: 170080d2  mov	x23, #0
0xfffffff0088a1b38: 1a008092  mov	x26, #-1
0xfffffff0088a1b3c: 18008012  mov	w24, #-1
0xfffffff0088a1b40: c816178b  add	x8, x22, x23, lsl #5
0xfffffff0088a1b44: 095540b9  ldr	w9, [x8, #0x54]
0xfffffff0088a1b48: e9110034  cbz	w9, #0xfffffff0088a1d84
0xfffffff0088a1b4c: 19010191  add	x25, x8, #0x40
0xfffffff0088a1b50: 210340f9  ldr	x1, [x25]
0xfffffff0088a1b54: e00313aa  mov	x0, x19
0xfffffff0088a1b58: edecff97  bl	#0xfffffff00889cf0c
0xfffffff0088a1b5c: 400300b4  cbz	x0, #0xfffffff0088a1bc4
0xfffffff0088a1b60: 0b0080d2  mov	x11, #0
0xfffffff0088a1b64: 09008052  mov	w9, #0
0xfffffff0088a1b68: c81240f9  ldr	x8, [x22, #0x20]
0xfffffff0088a1b6c: 0ae00691  add	x10, x0, #0x1b8
0xfffffff0088a1b70: 4c110b8b  add	x12, x10, x11, lsl #4
0xfffffff0088a1b74: 6b050091  add	x11, x11, #1
0xfffffff0088a1b78: 8d0140f9  ldr	x13, [x12]
0xfffffff0088a1b7c: bf0108eb  cmp	x13, x8
0xfffffff0088a1b80: c0000054  b.eq	#0xfffffff0088a1b98
0xfffffff0088a1b84: 6b050091  add	x11, x11, #1
0xfffffff0088a1b88: 8c410091  add	x12, x12, #0x10
0xfffffff0088a1b8c: 7f1500f1  cmp	x11, #5
