; Candidate 16634
; ADRP+ADD at VM 0xfffffff009f09da8 (fileoff 0x2f05da8): page=0x1fd94a000 add_imm=0xec3

0xfffffff009f09d28: e21f00f9  str	x2, [sp, #0x38]
0xfffffff009f09d2c: 08018052  mov	w8, #8
0xfffffff009f09d30: e8230529  stp	w8, w8, [sp, #0x28]
0xfffffff009f09d34: ff0700f9  str	xzr, [sp, #8]
0xfffffff009f09d38: ff0300b9  str	wzr, [sp]
0xfffffff009f09d3c: e2e30091  add	x2, sp, #0x38
0xfffffff009f09d40: e3a30091  add	x3, sp, #0x28
0xfffffff009f09d44: e5c30091  add	x5, sp, #0x30
0xfffffff009f09d48: e6b30091  add	x6, sp, #0x2c
0xfffffff009f09d4c: e00317aa  mov	x0, x23
0xfffffff009f09d50: 010080d2  mov	x1, #0
0xfffffff009f09d54: 04018052  mov	w4, #8
0xfffffff009f09d58: 27008052  mov	w7, #1
0xfffffff009f09d5c: 1e6d0094  bl	#0xfffffff009f251d4
0xfffffff009f09d60: 1f781e72  tst	w0, #0xfffffffd
0xfffffff009f09d64: e1030054  b.ne	#0xfffffff009f09de0
0xfffffff009f09d68: 1f080071  cmp	w0, #2
0xfffffff009f09d6c: 60040054  b.eq	#0xfffffff009f09df8
0xfffffff009f09d70: e92343a9  ldp	x9, x8, [sp, #0x30]
0xfffffff009f09d74: 2a01088b  add	x10, x9, x8
0xfffffff009f09d78: 5f0115eb  cmp	x10, x21
0xfffffff009f09d7c: e9030054  b.ls	#0xfffffff009f09df8
0xfffffff009f09d80: c902158b  add	x9, x22, x21
0xfffffff009f09d84: 30000014  b	#0xfffffff009f09e44
0xfffffff009f09d88: 093e8452  mov	w9, #0x21f0
0xfffffff009f09d8c: 0900098b  add	x9, x0, x9
0xfffffff009f09d90: e1a301a9  stp	x1, x8, [sp, #0x18]
0xfffffff009f09d94: c8cf8252  mov	w8, #0x167e
0xfffffff009f09d98: 4acafed0  adrp	x10, #0xfffffff007853000
0xfffffff009f09d9c: 4ad13b91  add	x10, x10, #0xef4
0xfffffff009f09da0: ea2300a9  stp	x10, x8, [sp]
0xfffffff009f09da4: e90b00f9  str	x9, [sp, #0x10]
0xfffffff009f09da8: 40cafed0  adrp	x0, #0xfffffff007853000
0xfffffff009f09dac: 000c3b91  add	x0, x0, #0xec3
0xfffffff009f09db0: 0a000014  b	#0xfffffff009f09dd8
0xfffffff009f09db4: 083e8452  mov	w8, #0x21f0
0xfffffff009f09db8: 0800088b  add	x8, x0, x8
0xfffffff009f09dbc: 89d08252  mov	w9, #0x1684
0xfffffff009f09dc0: 4acafed0  adrp	x10, #0xfffffff007853000
0xfffffff009f09dc4: 4ad13b91  add	x10, x10, #0xef4
0xfffffff009f09dc8: ea2700a9  stp	x10, x9, [sp]
0xfffffff009f09dcc: e80701a9  stp	x8, x1, [sp, #0x10]
0xfffffff009f09dd0: 40cafed0  adrp	x0, #0xfffffff007853000
0xfffffff009f09dd4: 00543c91  add	x0, x0, #0xf15
0xfffffff009f09dd8: bbd6fd97  bl	#0xfffffff009e7f8c4
0xfffffff009f09ddc: c0028052  mov	w0, #0x16
0xfffffff009f09de0: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff009f09de4: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff009f09de8: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff009f09dec: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff009f09df0: ff030291  add	sp, sp, #0x80
0xfffffff009f09df4: ff0f5fd6  retab	
0xfffffff009f09df8: f51f00f9  str	x21, [sp, #0x38]
0xfffffff009f09dfc: ff0700f9  str	xzr, [sp, #8]
0xfffffff009f09e00: ff0300b9  str	wzr, [sp]
0xfffffff009f09e04: e2e30091  add	x2, sp, #0x38
0xfffffff009f09e08: e3a30091  add	x3, sp, #0x28
0xfffffff009f09e0c: e5c30091  add	x5, sp, #0x30
0xfffffff009f09e10: e6b30091  add	x6, sp, #0x2c
0xfffffff009f09e14: e00317aa  mov	x0, x23
0xfffffff009f09e18: 010080d2  mov	x1, #0
0xfffffff009f09e1c: 04018052  mov	w4, #8
0xfffffff009f09e20: 87008052  mov	w7, #4
0xfffffff009f09e24: ec6c0094  bl	#0xfffffff009f251d4
