; Candidate 13389
; ADRP+ADD at VM 0xfffffff0092c95cc (fileoff 0x22c55cc): page=0x1fe215000 add_imm=0xe7d

0xfffffff0092c954c: b510ffb0  adrp	x21, #0xfffffff0074de000
0xfffffff0092c9550: b5d23991  add	x21, x21, #0xe74
0xfffffff0092c9554: e00314aa  mov	x0, x20
0xfffffff0092c9558: e10315aa  mov	x1, x21
0xfffffff0092c955c: f10309aa  mov	x17, x9
0xfffffff0092c9560: b1f4e6f2  movk	x17, #0x37a5, lsl #48
0xfffffff0092c9564: 11093fd7  blraa	x8, x17
0xfffffff0092c9568: e20300aa  mov	x2, x0
0xfffffff0092c956c: 700240f9  ldr	x16, [x19]
0xfffffff0092c9570: f10313aa  mov	x17, x19
0xfffffff0092c9574: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092c9578: 301ac1da  autda	x16, x17
0xfffffff0092c957c: 088e4cf8  ldr	x8, [x16, #0xc8]!
0xfffffff0092c9580: e90310aa  mov	x9, x16
0xfffffff0092c9584: e00313aa  mov	x0, x19
0xfffffff0092c9588: e10315aa  mov	x1, x21
0xfffffff0092c958c: f10309aa  mov	x17, x9
0xfffffff0092c9590: 71eafff2  movk	x17, #0xff53, lsl #48
0xfffffff0092c9594: 11093fd7  blraa	x8, x17
0xfffffff0092c9598: 0847fff0  adrp	x8, #0xfffffff007bac000
0xfffffff0092c959c: 08812c91  add	x8, x8, #0xb20
0xfffffff0092c95a0: 09010b91  add	x9, x8, #0x2c0
0xfffffff0092c95a4: 086141f9  ldr	x8, [x8, #0x2c0]
0xfffffff0092c95a8: e00313aa  mov	x0, x19
0xfffffff0092c95ac: e10314aa  mov	x1, x20
0xfffffff0092c95b0: f10309aa  mov	x17, x9
0xfffffff0092c95b4: 118de7f2  movk	x17, #0x3c68, lsl #48
0xfffffff0092c95b8: 11093fd7  blraa	x8, x17
0xfffffff0092c95bc: f40300aa  mov	x20, x0
0xfffffff0092c95c0: 40010034  cbz	w0, #0xfffffff0092c95e8
0xfffffff0092c95c4: e82e8252  mov	w8, #0x1177
0xfffffff0092c95c8: 7302088b  add	x19, x19, x8
0xfffffff0092c95cc: a010ffb0  adrp	x0, #0xfffffff0074de000
0xfffffff0092c95d0: 00f43991  add	x0, x0, #0xe7d
0xfffffff0092c95d4: e10313aa  mov	x1, x19
0xfffffff0092c95d8: 22008052  mov	w2, #1
0xfffffff0092c95dc: 778ec697  bl	#0xfffffff00846cfb8
0xfffffff0092c95e0: 40000035  cbnz	w0, #0xfffffff0092c95e8
0xfffffff0092c95e4: 7f020039  strb	wzr, [x19]
0xfffffff0092c95e8: e00314aa  mov	x0, x20
0xfffffff0092c95ec: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0092c95f0: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0092c95f4: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff0092c95f8: ff0f5fd6  retab	
0xfffffff0092c95fc: 5f2403d5  bti	c
0xfffffff0092c9600: 20008052  mov	w0, #1
0xfffffff0092c9604: c0035fd6  ret	
0xfffffff0092c9608: 7f2303d5  pacibsp	
0xfffffff0092c960c: ff4301d1  sub	sp, sp, #0x50
0xfffffff0092c9610: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff0092c9614: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff0092c9618: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0092c961c: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0092c9620: fd030191  add	x29, sp, #0x40
0xfffffff0092c9624: f40303aa  mov	x20, x3
0xfffffff0092c9628: f60302aa  mov	x22, x2
0xfffffff0092c962c: f50301aa  mov	x21, x1
0xfffffff0092c9630: f70300aa  mov	x23, x0
0xfffffff0092c9634: 0847fff0  adrp	x8, #0xfffffff007bac000
0xfffffff0092c9638: 08812c91  add	x8, x8, #0xb20
0xfffffff0092c963c: 09612391  add	x9, x8, #0x8d8
0xfffffff0092c9640: 086d44f9  ldr	x8, [x8, #0x8d8]
0xfffffff0092c9644: f10309aa  mov	x17, x9
0xfffffff0092c9648: f186f7f2  movk	x17, #0xbc37, lsl #48
