; Candidate 12631
; ADRP+ADD at VM 0xfffffff0090d2270 (fileoff 0x20ce270): page=0x1fea80000 add_imm=0xea0

0xfffffff0090d21f0: 18028012  mov	w24, #-0x11
0xfffffff0090d21f4: edffff17  b	#0xfffffff0090d21a8
0xfffffff0090d21f8: 152fb297  bl	#0xfffffff007d5de4c
0xfffffff0090d21fc: 5f2403d5  bti	c
0xfffffff0090d2200: 3d49c817  b	#0xfffffff0082e46f4
0xfffffff0090d2204: 5f2403d5  bti	c
0xfffffff0090d2208: 5899cb17  b	#0xfffffff0083b8768
0xfffffff0090d220c: 7f2303d5  pacibsp	
0xfffffff0090d2210: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0090d2214: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0090d2218: fd430091  add	x29, sp, #0x10
0xfffffff0090d221c: f30300aa  mov	x19, x0
0xfffffff0090d2220: 5299cb97  bl	#0xfffffff0083b8768
0xfffffff0090d2224: 0054ff90  adrp	x0, #0xfffffff007b52000
0xfffffff0090d2228: 00803a91  add	x0, x0, #0xea0
0xfffffff0090d222c: e10313aa  mov	x1, x19
0xfffffff0090d2230: 02058052  mov	w2, #0x28
0xfffffff0090d2234: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0090d2238: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0090d223c: ff2303d5  autibsp	
0xfffffff0090d2240: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0090d2244: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0090d224c
0xfffffff0090d2248: 208e38d4  brk	#0xc471
0xfffffff0090d224c: 1455c817  b	#0xfffffff0082e769c
0xfffffff0090d2250: 5f2403d5  bti	c
0xfffffff0090d2254: 009200d0  adrp	x0, #0xfffffff00a314000
0xfffffff0090d2258: 00e01491  add	x0, x0, #0x538
0xfffffff0090d225c: c0035fd6  ret	
0xfffffff0090d2260: 7f2303d5  pacibsp	
0xfffffff0090d2264: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0090d2268: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0090d226c: fd430091  add	x29, sp, #0x10
0xfffffff0090d2270: 0054ff90  adrp	x0, #0xfffffff007b52000
0xfffffff0090d2274: 00803a91  add	x0, x0, #0xea0
0xfffffff0090d2278: 01058052  mov	w1, #0x28
0xfffffff0090d227c: ef54c897  bl	#0xfffffff0082e7638
0xfffffff0090d2280: f30300aa  mov	x19, x0
0xfffffff0090d2284: 149200d0  adrp	x20, #0xfffffff00a314000
0xfffffff0090d2288: 94e21491  add	x20, x20, #0x538
0xfffffff0090d228c: e10314aa  mov	x1, x20
0xfffffff0090d2290: 2099cb97  bl	#0xfffffff0083b8710
0xfffffff0090d2294: f053ffb0  adrp	x16, #0xfffffff007b4f000
0xfffffff0090d2298: 10c22591  add	x16, x16, #0x970
0xfffffff0090d229c: 10420091  add	x16, x16, #0x10
0xfffffff0090d22a0: f10300aa  mov	x17, x0
0xfffffff0090d22a4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0090d22a8: 300ac1da  pacda	x16, x17
0xfffffff0090d22ac: 100000f9  str	x16, [x0]
0xfffffff0090d22b0: e00314aa  mov	x0, x20
0xfffffff0090d22b4: a04bc897  bl	#0xfffffff0082e5134
0xfffffff0090d22b8: e00313aa  mov	x0, x19
0xfffffff0090d22bc: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0090d22c0: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0090d22c4: ff0f5fd6  retab	
0xfffffff0090d22c8: 5f2403d5  bti	c
0xfffffff0090d22cc: 0a49c817  b	#0xfffffff0082e46f4
0xfffffff0090d22d0: 5f2403d5  bti	c
0xfffffff0090d22d4: 1bc7ca17  b	#0xfffffff008383f40
0xfffffff0090d22d8: 7f2303d5  pacibsp	
0xfffffff0090d22dc: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0090d22e0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0090d22e4: fd430091  add	x29, sp, #0x10
0xfffffff0090d22e8: f30300aa  mov	x19, x0
0xfffffff0090d22ec: 15c7ca97  bl	#0xfffffff008383f40
