; Candidate 7280
; ADRP+ADD at VM 0xfffffff0088647f4 (fileoff 0x18607f4): page=0x1fe985000 add_imm=0xe80

0xfffffff008864774: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008864778: 680c8052  mov	w8, #0x63
0xfffffff00886477c: 834fffd0  adrp	x3, #0xfffffff007256000
0xfffffff008864780: 63b82491  add	x3, x3, #0x92e
0xfffffff008864784: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008864788: f50300f9  str	x21, [sp]
0xfffffff00886478c: 204cffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008864790: 00003a91  add	x0, x0, #0xe80
0xfffffff008864794: 218dff90  adrp	x1, #0xfffffff007a08000
0xfffffff008864798: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00886479c: 02008052  mov	w2, #0
0xfffffff0088647a0: 643aeb97  bl	#0xfffffff008333130
0xfffffff0088647a4: 07feff17  b	#0xfffffff008863fc0
0xfffffff0088647a8: 813e0194  bl	#0xfffffff0088b41ac
0xfffffff0088647ac: f40300aa  mov	x20, x0
0xfffffff0088647b0: e0008052  mov	w0, #7
0xfffffff0088647b4: 275c0094  bl	#0xfffffff00887b850
0xfffffff0088647b8: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff0088647bc: fb7305a9  stp	x27, x28, [sp, #0x50]
0xfffffff0088647c0: f86b04a9  stp	x24, x26, [sp, #0x40]
0xfffffff0088647c4: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0088647c8: 08688052  mov	w8, #0x340
0xfffffff0088647cc: 294eff90  adrp	x9, #0xfffffff007228000
0xfffffff0088647d0: 29813091  add	x9, x9, #0xc20
0xfffffff0088647d4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088647d8: 084efff0  adrp	x8, #0xfffffff007227000
0xfffffff0088647dc: 08811191  add	x8, x8, #0x460
0xfffffff0088647e0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088647e4: 680c8052  mov	w8, #0x63
0xfffffff0088647e8: 834fffd0  adrp	x3, #0xfffffff007256000
0xfffffff0088647ec: 63042691  add	x3, x3, #0x981
0xfffffff0088647f0: f42300a9  stp	x20, x8, [sp]
0xfffffff0088647f4: 204cffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088647f8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088647fc: 218dff90  adrp	x1, #0xfffffff007a08000
0xfffffff008864800: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008864804: 02008052  mov	w2, #0
0xfffffff008864808: 4a3aeb97  bl	#0xfffffff008333130
0xfffffff00886480c: 08070051  sub	w8, w24, #1
0xfffffff008864810: 1f210071  cmp	w8, #8
0xfffffff008864814: 62060054  b.hs	#0xfffffff0088648e0
0xfffffff008864818: 7f030071  cmp	w27, #0
0xfffffff00886481c: 2d0a0054  b.le	#0xfffffff008864960
0xfffffff008864820: fbf308a9  stp	x27, x28, [sp, #0x88]
0xfffffff008864824: f83f00f9  str	x24, [sp, #0x78]
0xfffffff008864828: 601a40f9  ldr	x0, [x19, #0x30]
0xfffffff00886482c: 221cff97  bl	#0xfffffff00882b8b4
0xfffffff008864830: 1f000171  cmp	w0, #0x40
0xfffffff008864834: fa4300f9  str	x26, [sp, #0x80]
0xfffffff008864838: c10c0054  b.ne	#0xfffffff0088649d0
0xfffffff00886483c: bf7f37a9  stp	xzr, xzr, [x29, #-0x90]
0xfffffff008864840: bfc316b8  stur	wzr, [x29, #-0x94]
0xfffffff008864844: 5f030471  cmp	w26, #0x100
0xfffffff008864848: e1140054  b.ne	#0xfffffff008864ae4
0xfffffff00886484c: 606240f9  ldr	x0, [x19, #0xc0]
0xfffffff008864850: a12302d1  sub	x1, x29, #0x88
0xfffffff008864854: a25302d1  sub	x2, x29, #0x94
0xfffffff008864858: 38510094  bl	#0xfffffff008878d38
0xfffffff00886485c: 20230034  cbz	w0, #0xfffffff008864cc0
0xfffffff008864860: f40300aa  mov	x20, x0
0xfffffff008864864: 600c8052  mov	w0, #0x63
0xfffffff008864868: 81008052  mov	w1, #4
0xfffffff00886486c: d95b0094  bl	#0xfffffff00887b7d0
0xfffffff008864870: 602e0034  cbz	w0, #0xfffffff008864e3c
