; Candidate 6215
; ADRP+ADD at VM 0xfffffff00881ae88 (fileoff 0x1816e88): page=0x1fe9cf000 add_imm=0xe80

0xfffffff00881ae08: 49448152  mov	w9, #0xa22
0xfffffff00881ae0c: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00881ae10: 2850ffb0  adrp	x8, #0xfffffff00721f000
0xfffffff00881ae14: 08911491  add	x8, x8, #0x524
0xfffffff00881ae18: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00881ae1c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00881ae20: 880e8052  mov	w8, #0x74
0xfffffff00881ae24: 2050ffb0  adrp	x0, #0xfffffff00721f000
0xfffffff00881ae28: 00481b91  add	x0, x0, #0x6d2
0xfffffff00881ae2c: 3b000014  b	#0xfffffff00881af18
0xfffffff00881ae30: df640294  bl	#0xfffffff0088b41ac
0xfffffff00881ae34: f90300aa  mov	x25, x0
0xfffffff00881ae38: 80008052  mov	w0, #4
0xfffffff00881ae3c: 85820194  bl	#0xfffffff00887b850
0xfffffff00881ae40: e80318aa  mov	x8, x24
0xfffffff00881ae44: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff00881ae48: f7a305a9  stp	x23, x8, [sp, #0x58]
0xfffffff00881ae4c: e80316aa  mov	x8, x22
0xfffffff00881ae50: e8d704a9  stp	x8, x21, [sp, #0x48]
0xfffffff00881ae54: e9d303a9  stp	x9, x20, [sp, #0x38]
0xfffffff00881ae58: a84fffd0  adrp	x8, #0xfffffff007210000
0xfffffff00881ae5c: 08b92791  add	x8, x8, #0x9ee
0xfffffff00881ae60: a9408152  mov	w9, #0xa05
0xfffffff00881ae64: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00881ae68: 2850ffb0  adrp	x8, #0xfffffff00721f000
0xfffffff00881ae6c: 08911491  add	x8, x8, #0x524
0xfffffff00881ae70: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00881ae74: 880e8052  mov	w8, #0x74
0xfffffff00881ae78: 6351fff0  adrp	x3, #0xfffffff007249000
0xfffffff00881ae7c: 63a41991  add	x3, x3, #0x669
0xfffffff00881ae80: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00881ae84: f90300f9  str	x25, [sp]
0xfffffff00881ae88: 604efff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00881ae8c: 00003a91  add	x0, x0, #0xe80
0xfffffff00881ae90: 618fffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00881ae94: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881ae98: 02008052  mov	w2, #0
0xfffffff00881ae9c: a560ec97  bl	#0xfffffff008333130
0xfffffff00881aea0: 87fcff17  b	#0xfffffff00881a0bc
0xfffffff00881aea4: f80300aa  mov	x24, x0
0xfffffff00881aea8: 800e8052  mov	w0, #0x74
0xfffffff00881aeac: 81008052  mov	w1, #4
0xfffffff00881aeb0: 48820194  bl	#0xfffffff00887b7d0
0xfffffff00881aeb4: 4090ff34  cbz	w0, #0xfffffff00881a0bc
0xfffffff00881aeb8: 800e8052  mov	w0, #0x74
0xfffffff00881aebc: 57820194  bl	#0xfffffff00887b818
0xfffffff00881aec0: fa0300aa  mov	x26, x0
0xfffffff00881aec4: ba640294  bl	#0xfffffff0088b41ac
0xfffffff00881aec8: f90300aa  mov	x25, x0
0xfffffff00881aecc: 80008052  mov	w0, #4
0xfffffff00881aed0: 60820194  bl	#0xfffffff00887b850
0xfffffff00881aed4: da110034  cbz	w26, #0xfffffff00881b10c
0xfffffff00881aed8: 686a7bb8  ldr	w8, [x19, x27]
0xfffffff00881aedc: e90318aa  mov	x9, x24
0xfffffff00881aee0: 6a5a40b9  ldr	w10, [x19, #0x58]
0xfffffff00881aee4: e8a704a9  stp	x8, x9, [sp, #0x48]
0xfffffff00881aee8: f3ab03a9  stp	x19, x10, [sp, #0x38]
0xfffffff00881aeec: a84fffd0  adrp	x8, #0xfffffff007210000
0xfffffff00881aef0: 08b92791  add	x8, x8, #0x9ee
0xfffffff00881aef4: a9418152  mov	w9, #0xa0d
0xfffffff00881aef8: e8f302a9  stp	x8, x28, [sp, #0x28]
0xfffffff00881aefc: 2850ffb0  adrp	x8, #0xfffffff00721f000
0xfffffff00881af00: 08911491  add	x8, x8, #0x524
0xfffffff00881af04: e8a701a9  stp	x8, x9, [sp, #0x18]
