; Candidate 9961
; ADRP+ADD at VM 0xfffffff008bd4b7c (fileoff 0x1bd0b7c): page=0x1fe761000 add_imm=0xce7

0xfffffff008bd4afc: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff008bd4b00: fc6f43a9  ldp	x28, x27, [sp, #0x30]
0xfffffff008bd4b04: ff430291  add	sp, sp, #0x90
0xfffffff008bd4b08: ff0f5fd6  retab	
0xfffffff008bd4b0c: 16008052  mov	w22, #0
0xfffffff008bd4b10: f903184b  neg	w25, w24
0xfffffff008bd4b14: d7fcff35  cbnz	w23, #0xfffffff008bd4aac
0xfffffff008bd4b18: e8ffff17  b	#0xfffffff008bd4ab8
0xfffffff008bd4b1c: 7f2303d5  pacibsp	
0xfffffff008bd4b20: ff4301d1  sub	sp, sp, #0x50
0xfffffff008bd4b24: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff008bd4b28: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff008bd4b2c: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff008bd4b30: fd030191  add	x29, sp, #0x40
0xfffffff008bd4b34: f30301aa  mov	x19, x1
0xfffffff008bd4b38: f40300aa  mov	x20, x0
0xfffffff008bd4b3c: 221c0012  and	w2, w1, #0xff
0xfffffff008bd4b40: 01008052  mov	w1, #0
0xfffffff008bd4b44: 7dffff97  bl	#0xfffffff008bd4938
0xfffffff008bd4b48: f50300aa  mov	x21, x0
0xfffffff008bd4b4c: c0000035  cbnz	w0, #0xfffffff008bd4b64
0xfffffff008bd4b50: 627e0853  lsr	w2, w19, #8
0xfffffff008bd4b54: e00314aa  mov	x0, x20
0xfffffff008bd4b58: 21008052  mov	w1, #1
0xfffffff008bd4b5c: 77ffff97  bl	#0xfffffff008bd4938
0xfffffff008bd4b60: f50300aa  mov	x21, x0
0xfffffff008bd4b64: 88424539  ldrb	w8, [x20, #0x150]
0xfffffff008bd4b68: 08011036  tbz	w8, #2, #0xfffffff008bd4b88
0xfffffff008bd4b6c: 083bffb0  adrp	x8, #0xfffffff007335000
0xfffffff008bd4b70: 08593491  add	x8, x8, #0xd16
0xfffffff008bd4b74: f3d700a9  stp	x19, x21, [sp, #8]
0xfffffff008bd4b78: e80300f9  str	x8, [sp]
0xfffffff008bd4b7c: 003bffb0  adrp	x0, #0xfffffff007335000
0xfffffff008bd4b80: 009c3391  add	x0, x0, #0xce7
0xfffffff008bd4b84: 2709de97  bl	#0xfffffff008357020
0xfffffff008bd4b88: e00315aa  mov	x0, x21
0xfffffff008bd4b8c: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff008bd4b90: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff008bd4b94: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff008bd4b98: ff430191  add	sp, sp, #0x50
0xfffffff008bd4b9c: ff0f5fd6  retab	
0xfffffff008bd4ba0: 7f2303d5  pacibsp	
0xfffffff008bd4ba4: ff4301d1  sub	sp, sp, #0x50
0xfffffff008bd4ba8: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff008bd4bac: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff008bd4bb0: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff008bd4bb4: fd030191  add	x29, sp, #0x40
0xfffffff008bd4bb8: f50302aa  mov	x21, x2
0xfffffff008bd4bbc: f30301aa  mov	x19, x1
0xfffffff008bd4bc0: f60300aa  mov	x22, x0
0xfffffff008bd4bc4: d6ffff97  bl	#0xfffffff008bd4b1c
0xfffffff008bd4bc8: f40300aa  mov	x20, x0
0xfffffff008bd4bcc: c0000035  cbnz	w0, #0xfffffff008bd4be4
0xfffffff008bd4bd0: e00316aa  mov	x0, x22
0xfffffff008bd4bd4: 01008052  mov	w1, #0
0xfffffff008bd4bd8: e20315aa  mov	x2, x21
0xfffffff008bd4bdc: 77ffff97  bl	#0xfffffff008bd49b8
0xfffffff008bd4be0: f40300aa  mov	x20, x0
0xfffffff008bd4be4: c8424539  ldrb	w8, [x22, #0x150]
0xfffffff008bd4be8: 48011036  tbz	w8, #2, #0xfffffff008bd4c10
0xfffffff008bd4bec: a8024079  ldrh	w8, [x21]
0xfffffff008bd4bf0: e85301a9  stp	x8, x20, [sp, #0x10]
0xfffffff008bd4bf4: 083bffb0  adrp	x8, #0xfffffff007335000
0xfffffff008bd4bf8: 08953491  add	x8, x8, #0xd25
