; Candidate 6620
; ADRP+ADD at VM 0xfffffff00883611c (fileoff 0x183211c): page=0x1fe9b3000 add_imm=0xe80

0xfffffff00883609c: c1008052  mov	w1, #6
0xfffffff0088360a0: cc150194  bl	#0xfffffff00887b7d0
0xfffffff0088360a4: c0040034  cbz	w0, #0xfffffff00883613c
0xfffffff0088360a8: 200f8052  mov	w0, #0x79
0xfffffff0088360ac: db150194  bl	#0xfffffff00887b818
0xfffffff0088360b0: f60300aa  mov	x22, x0
0xfffffff0088360b4: 3ef80194  bl	#0xfffffff0088b41ac
0xfffffff0088360b8: f50300aa  mov	x21, x0
0xfffffff0088360bc: c0008052  mov	w0, #6
0xfffffff0088360c0: e4150194  bl	#0xfffffff00887b850
0xfffffff0088360c4: 76010034  cbz	w22, #0xfffffff0088360f0
0xfffffff0088360c8: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0088360cc: 684fffb0  adrp	x8, #0xfffffff007223000
0xfffffff0088360d0: 08510891  add	x8, x8, #0x214
0xfffffff0088360d4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088360d8: 280f8052  mov	w8, #0x79
0xfffffff0088360dc: f52300a9  stp	x21, x8, [sp]
0xfffffff0088360e0: e04efff0  adrp	x0, #0xfffffff007215000
0xfffffff0088360e4: 00a81591  add	x0, x0, #0x56a
0xfffffff0088360e8: de04d697  bl	#0xfffffff007db7460
0xfffffff0088360ec: 14000014  b	#0xfffffff00883613c
0xfffffff0088360f0: 2ff80194  bl	#0xfffffff0088b41ac
0xfffffff0088360f4: f50300aa  mov	x21, x0
0xfffffff0088360f8: c0008052  mov	w0, #6
0xfffffff0088360fc: d5150194  bl	#0xfffffff00887b850
0xfffffff008836100: e80314aa  mov	x8, x20
0xfffffff008836104: f32302a9  stp	x19, x8, [sp, #0x20]
0xfffffff008836108: 684fffb0  adrp	x8, #0xfffffff007223000
0xfffffff00883610c: 08510891  add	x8, x8, #0x214
0xfffffff008836110: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008836114: 280f8052  mov	w8, #0x79
0xfffffff008836118: f52300a9  stp	x21, x8, [sp]
0xfffffff00883611c: 804dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008836120: 00003a91  add	x0, x0, #0xe80
0xfffffff008836124: 818effd0  adrp	x1, #0xfffffff007a08000
0xfffffff008836128: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00883612c: c350ff90  adrp	x3, #0xfffffff00724e000
0xfffffff008836130: 63c80291  add	x3, x3, #0xb2
0xfffffff008836134: 02008052  mov	w2, #0
0xfffffff008836138: fef3eb97  bl	#0xfffffff008333130
0xfffffff00883613c: e00314aa  mov	x0, x20
0xfffffff008836140: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff008836144: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff008836148: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff00883614c: ff030291  add	sp, sp, #0x80
0xfffffff008836150: ff0f5fd6  retab	
0xfffffff008836154: 75d240b9  ldr	w21, [x19, #0xd0]
0xfffffff008836158: 60e20091  add	x0, x19, #0x38
0xfffffff00883615c: 634fffb0  adrp	x3, #0xfffffff007223000
0xfffffff008836160: 63500891  add	x3, x3, #0x214
0xfffffff008836164: 210f8052  mov	w1, #0x79
0xfffffff008836168: e2008052  mov	w2, #7
0xfffffff00883616c: c4628052  mov	w4, #0x316
0xfffffff008836170: 2a420194  bl	#0xfffffff008886a18
0xfffffff008836174: e00313aa  mov	x0, x19
0xfffffff008836178: 4df7ff97  bl	#0xfffffff008833eac
0xfffffff00883617c: f40300aa  mov	x20, x0
0xfffffff008836180: c0f8ff35  cbnz	w0, #0xfffffff008836098
0xfffffff008836184: 61d240b9  ldr	w1, [x19, #0xd0]
0xfffffff008836188: bf02016b  cmp	w21, w1
0xfffffff00883618c: 60e8ff54  b.eq	#0xfffffff008835e98
0xfffffff008836190: 600a40f9  ldr	x0, [x19, #0x10]
0xfffffff008836194: 9dfeff97  bl	#0xfffffff008835c08
0xfffffff008836198: f40300aa  mov	x20, x0
