; Candidate 16888
; ADRP+ADD at VM 0xfffffff009fd4e58 (fileoff 0x2fd0e58): page=0x402000 add_imm=0xd70

0xfffffff009fd4dd8: 00002891  add	x0, x0, #0xa00
0xfffffff009fd4ddc: a3198897  bl	#0xfffffff0081db468
0xfffffff009fd4de0: 002000d0  adrp	x0, #0xfffffff00a3d6000
0xfffffff009fd4de4: 00402991  add	x0, x0, #0xa50
0xfffffff009fd4de8: a0198897  bl	#0xfffffff0081db468
0xfffffff009fd4dec: 002000d0  adrp	x0, #0xfffffff00a3d6000
0xfffffff009fd4df0: 00802a91  add	x0, x0, #0xaa0
0xfffffff009fd4df4: 9d198897  bl	#0xfffffff0081db468
0xfffffff009fd4df8: 002000d0  adrp	x0, #0xfffffff00a3d6000
0xfffffff009fd4dfc: 00c02b91  add	x0, x0, #0xaf0
0xfffffff009fd4e00: 9a198897  bl	#0xfffffff0081db468
0xfffffff009fd4e04: 002000d0  adrp	x0, #0xfffffff00a3d6000
0xfffffff009fd4e08: 00002d91  add	x0, x0, #0xb40
0xfffffff009fd4e0c: 97198897  bl	#0xfffffff0081db468
0xfffffff009fd4e10: 002000d0  adrp	x0, #0xfffffff00a3d6000
0xfffffff009fd4e14: 00402e91  add	x0, x0, #0xb90
0xfffffff009fd4e18: 94198897  bl	#0xfffffff0081db468
0xfffffff009fd4e1c: 002000d0  adrp	x0, #0xfffffff00a3d6000
0xfffffff009fd4e20: 00802f91  add	x0, x0, #0xbe0
0xfffffff009fd4e24: 91198897  bl	#0xfffffff0081db468
0xfffffff009fd4e28: 002000d0  adrp	x0, #0xfffffff00a3d6000
0xfffffff009fd4e2c: 00c03091  add	x0, x0, #0xc30
0xfffffff009fd4e30: 8e198897  bl	#0xfffffff0081db468
0xfffffff009fd4e34: 002000d0  adrp	x0, #0xfffffff00a3d6000
0xfffffff009fd4e38: 00003291  add	x0, x0, #0xc80
0xfffffff009fd4e3c: 8b198897  bl	#0xfffffff0081db468
0xfffffff009fd4e40: 002000d0  adrp	x0, #0xfffffff00a3d6000
0xfffffff009fd4e44: 00403391  add	x0, x0, #0xcd0
0xfffffff009fd4e48: 88198897  bl	#0xfffffff0081db468
0xfffffff009fd4e4c: 002000d0  adrp	x0, #0xfffffff00a3d6000
0xfffffff009fd4e50: 00803491  add	x0, x0, #0xd20
0xfffffff009fd4e54: 85198897  bl	#0xfffffff0081db468
0xfffffff009fd4e58: 002000d0  adrp	x0, #0xfffffff00a3d6000
0xfffffff009fd4e5c: 00c03591  add	x0, x0, #0xd70
0xfffffff009fd4e60: 82198897  bl	#0xfffffff0081db468
0xfffffff009fd4e64: 002000d0  adrp	x0, #0xfffffff00a3d6000
0xfffffff009fd4e68: 00003791  add	x0, x0, #0xdc0
0xfffffff009fd4e6c: 7f198897  bl	#0xfffffff0081db468
0xfffffff009fd4e70: 002000d0  adrp	x0, #0xfffffff00a3d6000
0xfffffff009fd4e74: 00403891  add	x0, x0, #0xe10
0xfffffff009fd4e78: 7c198897  bl	#0xfffffff0081db468
0xfffffff009fd4e7c: 002000d0  adrp	x0, #0xfffffff00a3d6000
0xfffffff009fd4e80: 00803991  add	x0, x0, #0xe60
0xfffffff009fd4e84: 79198897  bl	#0xfffffff0081db468
0xfffffff009fd4e88: 002000d0  adrp	x0, #0xfffffff00a3d6000
0xfffffff009fd4e8c: 00c03a91  add	x0, x0, #0xeb0
0xfffffff009fd4e90: 76198897  bl	#0xfffffff0081db468
0xfffffff009fd4e94: 002000d0  adrp	x0, #0xfffffff00a3d6000
0xfffffff009fd4e98: 00003c91  add	x0, x0, #0xf00
0xfffffff009fd4e9c: 73198897  bl	#0xfffffff0081db468
0xfffffff009fd4ea0: 002000d0  adrp	x0, #0xfffffff00a3d6000
0xfffffff009fd4ea4: 00403d91  add	x0, x0, #0xf50
0xfffffff009fd4ea8: 70198897  bl	#0xfffffff0081db468
0xfffffff009fd4eac: 002000d0  adrp	x0, #0xfffffff00a3d6000
0xfffffff009fd4eb0: 00803e91  add	x0, x0, #0xfa0
0xfffffff009fd4eb4: 6d198897  bl	#0xfffffff0081db468
0xfffffff009fd4eb8: 002000d0  adrp	x0, #0xfffffff00a3d6000
0xfffffff009fd4ebc: 00c03f91  add	x0, x0, #0xff0
0xfffffff009fd4ec0: 6a198897  bl	#0xfffffff0081db468
0xfffffff009fd4ec4: 002000f0  adrp	x0, #0xfffffff00a3d7000
0xfffffff009fd4ec8: 00000191  add	x0, x0, #0x40
0xfffffff009fd4ecc: 67198897  bl	#0xfffffff0081db468
0xfffffff009fd4ed0: 002000f0  adrp	x0, #0xfffffff00a3d7000
0xfffffff009fd4ed4: 00400291  add	x0, x0, #0x90
