; Candidate 11374
; ADRP+ADD at VM 0xfffffff008efe7a4 (fileoff 0x1efa7a4): page=0x1fe505000 add_imm=0xd10

0xfffffff008efe724: 081840f9  ldr	x8, [x0, #0x30]
0xfffffff008efe728: 000140f9  ldr	x0, [x8]
0xfffffff008efe72c: 081040f9  ldr	x8, [x0, #0x20]
0xfffffff008efe730: 6928ffb0  adrp	x9, #0xfffffff00740b000
0xfffffff008efe734: 29613d91  add	x9, x9, #0xf58
0xfffffff008efe738: 6a28ffb0  adrp	x10, #0xfffffff00740b000
0xfffffff008efe73c: 4af53c91  add	x10, x10, #0xf3d
0xfffffff008efe740: ea2700a9  stp	x10, x9, [sp]
0xfffffff008efe744: 6128ffb0  adrp	x1, #0xfffffff00740b000
0xfffffff008efe748: 21cc3c91  add	x1, x1, #0xf33
0xfffffff008efe74c: f17f8dd2  mov	x17, #0x6bff
0xfffffff008efe750: 11093fd7  blraa	x8, x17
0xfffffff008efe754: 20a32ad4  brk	#0x5519
0xfffffff008efe758: 7f2303d5  pacibsp	
0xfffffff008efe75c: ff8300d1  sub	sp, sp, #0x20
0xfffffff008efe760: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008efe764: fd430091  add	x29, sp, #0x10
0xfffffff008efe768: 2828ffb0  adrp	x8, #0xfffffff007403000
0xfffffff008efe76c: 08a52b91  add	x8, x8, #0xae9
0xfffffff008efe770: c9018052  mov	w9, #0xe
0xfffffff008efe774: e82700a9  stp	x8, x9, [sp]
0xfffffff008efe778: 2028ffb0  adrp	x0, #0xfffffff007403000
0xfffffff008efe77c: 00c42a91  add	x0, x0, #0xab1
0xfffffff008efe780: 6357d697  bl	#0xfffffff00849450c
0xfffffff008efe784: 7f2303d5  pacibsp	
0xfffffff008efe788: ff8300d1  sub	sp, sp, #0x20
0xfffffff008efe78c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008efe790: fd430091  add	x29, sp, #0x10
0xfffffff008efe794: 2828ffb0  adrp	x8, #0xfffffff007403000
0xfffffff008efe798: 081d3591  add	x8, x8, #0xd47
0xfffffff008efe79c: e9048052  mov	w9, #0x27
0xfffffff008efe7a0: e82700a9  stp	x8, x9, [sp]
0xfffffff008efe7a4: 2028ffb0  adrp	x0, #0xfffffff007403000
0xfffffff008efe7a8: 00403491  add	x0, x0, #0xd10
0xfffffff008efe7ac: 5857d697  bl	#0xfffffff00849450c
0xfffffff008efe7b0: 7f2303d5  pacibsp	
0xfffffff008efe7b4: ff8300d1  sub	sp, sp, #0x20
0xfffffff008efe7b8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008efe7bc: fd430091  add	x29, sp, #0x10
0xfffffff008efe7c0: 2828ffb0  adrp	x8, #0xfffffff007403000
0xfffffff008efe7c4: 081d3591  add	x8, x8, #0xd47
0xfffffff008efe7c8: c90b8052  mov	w9, #0x5e
0xfffffff008efe7cc: e82700a9  stp	x8, x9, [sp]
0xfffffff008efe7d0: 2028ffb0  adrp	x0, #0xfffffff007403000
0xfffffff008efe7d4: 003c3791  add	x0, x0, #0xdcf
0xfffffff008efe7d8: 4d57d697  bl	#0xfffffff00849450c
0xfffffff008efe7dc: 7f2303d5  pacibsp	
0xfffffff008efe7e0: ff8300d1  sub	sp, sp, #0x20
0xfffffff008efe7e4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008efe7e8: fd430091  add	x29, sp, #0x10
0xfffffff008efe7ec: 2828ffb0  adrp	x8, #0xfffffff007403000
0xfffffff008efe7f0: 081d3591  add	x8, x8, #0xd47
0xfffffff008efe7f4: 690c8052  mov	w9, #0x63
0xfffffff008efe7f8: e82700a9  stp	x8, x9, [sp]
0xfffffff008efe7fc: 2028ffb0  adrp	x0, #0xfffffff007403000
0xfffffff008efe800: 00403891  add	x0, x0, #0xe10
0xfffffff008efe804: 4257d697  bl	#0xfffffff00849450c
0xfffffff008efe808: 7f2303d5  pacibsp	
0xfffffff008efe80c: ffc300d1  sub	sp, sp, #0x30
0xfffffff008efe810: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008efe814: fd830091  add	x29, sp, #0x20
0xfffffff008efe818: 100040f9  ldr	x16, [x0]
0xfffffff008efe81c: 3018c1da  autda	x16, x1
0xfffffff008efe820: 080e4af8  ldr	x8, [x16, #0xa0]!
