; Candidate 1470
; ADRP+ADD at VM 0xfffffff00842b180 (fileoff 0x1427180): page=0x1ff555000 add_imm=0xcf0

0xfffffff00842b100: 68a240f9  ldr	x8, [x19, #0x140]
0xfffffff00842b104: 890240f9  ldr	x9, [x20]
0xfffffff00842b108: 1f0109eb  cmp	x8, x9
0xfffffff00842b10c: 60000054  b.eq	#0xfffffff00842b118
0xfffffff00842b110: 00008052  mov	w0, #0
0xfffffff00842b114: 06000014  b	#0xfffffff00842b12c
0xfffffff00842b118: 800640f9  ldr	x0, [x20, #8]
0xfffffff00842b11c: 76baf897  bl	#0xfffffff008259af4
0xfffffff00842b120: 880640f9  ldr	x8, [x20, #8]
0xfffffff00842b124: 68a600f9  str	x8, [x19, #0x148]
0xfffffff00842b128: 20008052  mov	w0, #1
0xfffffff00842b12c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00842b130: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00842b134: ff0f5fd6  retab	
0xfffffff00842b138: 7f2303d5  pacibsp	
0xfffffff00842b13c: fc6fbaa9  stp	x28, x27, [sp, #-0x60]!
0xfffffff00842b140: fa6701a9  stp	x26, x25, [sp, #0x10]
0xfffffff00842b144: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff00842b148: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff00842b14c: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff00842b150: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff00842b154: fd430191  add	x29, sp, #0x50
0xfffffff00842b158: ffc310d1  sub	sp, sp, #0x430
0xfffffff00842b15c: f40301aa  mov	x20, x1
0xfffffff00842b160: f30300aa  mov	x19, x0
0xfffffff00842b164: e8ec0090  adrp	x8, #0xfffffff00a1c7000
0xfffffff00842b168: 08010091  add	x8, x8, #0
0xfffffff00842b16c: 080140f9  ldr	x8, [x8]
0xfffffff00842b170: a8031af8  stur	x8, [x29, #-0x60]
0xfffffff00842b174: e0830091  add	x0, sp, #0x20
0xfffffff00842b178: 01808052  mov	w1, #0x400
0xfffffff00842b17c: 7186e497  bl	#0xfffffff007d4cb40
0xfffffff00842b180: a0aaffb0  adrp	x0, #0xfffffff007980000
0xfffffff00842b184: 00c03391  add	x0, x0, #0xcf0
0xfffffff00842b188: 082840b9  ldr	w8, [x0, #0x28]
0xfffffff00842b18c: 1f011c72  tst	w8, #0x10
0xfffffff00842b190: 88008052  mov	w8, #4
0xfffffff00842b194: 89009052  mov	w9, #0x8004
0xfffffff00842b198: 2101881a  csel	w1, w9, w8, eq
0xfffffff00842b19c: 09eee597  bl	#0xfffffff007da69c0
0xfffffff00842b1a0: f50300aa  mov	x21, x0
0xfffffff00842b1a4: 881640f9  ldr	x8, [x20, #0x28]
0xfffffff00842b1a8: 001500f9  str	x0, [x8, #0x28]
0xfffffff00842b1ac: 130000f9  str	x19, [x0]
0xfffffff00842b1b0: 700240f9  ldr	x16, [x19]
0xfffffff00842b1b4: f10313aa  mov	x17, x19
0xfffffff00842b1b8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00842b1bc: 301ac1da  autda	x16, x17
0xfffffff00842b1c0: 080e42f8  ldr	x8, [x16, #0x20]!
0xfffffff00842b1c4: e90310aa  mov	x9, x16
0xfffffff00842b1c8: e00313aa  mov	x0, x19
0xfffffff00842b1cc: f10309aa  mov	x17, x9
0xfffffff00842b1d0: 51c9e5f2  movk	x17, #0x2e4a, lsl #48
0xfffffff00842b1d4: 11093fd7  blraa	x8, x17
0xfffffff00842b1d8: 18b1fc97  bl	#0xfffffff008357638
0xfffffff00842b1dc: 080080d2  mov	x8, #0
0xfffffff00842b1e0: a02600f9  str	x0, [x21, #0x48]
0xfffffff00842b1e4: 606e40f9  ldr	x0, [x19, #0xd8]
0xfffffff00842b1e8: 95d038d5  mrs	x21, tpidr_el1
0xfffffff00842b1ec: a91a44b9  ldr	w9, [x21, #0x418]
0xfffffff00842b1f0: 0a200091  add	x10, x0, #8
0xfffffff00842b1f4: 497de8c8  casa	x8, x9, [x10]
0xfffffff00842b1f8: 1f0100f1  cmp	x8, #0
0xfffffff00842b1fc: 01420054  b.ne	#0xfffffff00842ba3c
