; Candidate 5863
; ADRP+ADD at VM 0xfffffff00880983c (fileoff 0x180583c): page=0x1fe9e0000 add_imm=0xe80

0xfffffff0088097bc: 2850fff0  adrp	x8, #0xfffffff007210000
0xfffffff0088097c0: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088097c4: 698f8052  mov	w9, #0x47b
0xfffffff0088097c8: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0088097cc: 8850ffb0  adrp	x8, #0xfffffff00721a000
0xfffffff0088097d0: 085d2e91  add	x8, x8, #0xb97
0xfffffff0088097d4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088097d8: 880e8052  mov	w8, #0x74
0xfffffff0088097dc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088097e0: f40300f9  str	x20, [sp]
0xfffffff0088097e4: 004fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088097e8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088097ec: e18ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088097f0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088097f4: e351ff90  adrp	x3, #0xfffffff007245000
0xfffffff0088097f8: 63f43191  add	x3, x3, #0xc7d
0xfffffff0088097fc: 02008052  mov	w2, #0
0xfffffff008809800: 4ca6ec97  bl	#0xfffffff008333130
0xfffffff008809804: 6b000014  b	#0xfffffff0088099b0
0xfffffff008809808: 69aa0294  bl	#0xfffffff0088b41ac
0xfffffff00880980c: f30300aa  mov	x19, x0
0xfffffff008809810: 80008052  mov	w0, #4
0xfffffff008809814: 0fc80194  bl	#0xfffffff00887b850
0xfffffff008809818: 8850ffb0  adrp	x8, #0xfffffff00721a000
0xfffffff00880981c: 081d3191  add	x8, x8, #0xc47
0xfffffff008809820: 898e8052  mov	w9, #0x474
0xfffffff008809824: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008809828: 8850ffb0  adrp	x8, #0xfffffff00721a000
0xfffffff00880982c: 085d2e91  add	x8, x8, #0xb97
0xfffffff008809830: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008809834: 880e8052  mov	w8, #0x74
0xfffffff008809838: f32300a9  stp	x19, x8, [sp]
0xfffffff00880983c: 004fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008809840: 00003a91  add	x0, x0, #0xe80
0xfffffff008809844: e18ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff008809848: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00880984c: e351ff90  adrp	x3, #0xfffffff007245000
0xfffffff008809850: 63243191  add	x3, x3, #0xc49
0xfffffff008809854: 02008052  mov	w2, #0
0xfffffff008809858: 36a6ec97  bl	#0xfffffff008333130
0xfffffff00880985c: 55000014  b	#0xfffffff0088099b0
0xfffffff008809860: 800e8052  mov	w0, #0x74
0xfffffff008809864: 01018052  mov	w1, #8
0xfffffff008809868: dac70194  bl	#0xfffffff00887b7d0
0xfffffff00880986c: 00e7ff34  cbz	w0, #0xfffffff00880954c
0xfffffff008809870: 800e8052  mov	w0, #0x74
0xfffffff008809874: e9c70194  bl	#0xfffffff00887b818
0xfffffff008809878: f50300aa  mov	x21, x0
0xfffffff00880987c: 4caa0294  bl	#0xfffffff0088b41ac
0xfffffff008809880: f40300aa  mov	x20, x0
0xfffffff008809884: 00018052  mov	w0, #8
0xfffffff008809888: f2c70194  bl	#0xfffffff00887b850
0xfffffff00880988c: 550a0034  cbz	w21, #0xfffffff0088099d4
0xfffffff008809890: 68c640b9  ldr	w8, [x19, #0xc4]
0xfffffff008809894: e9de46b9  ldr	w9, [x23, #0x6dc]
0xfffffff008809898: 6a2a41b9  ldr	w10, [x19, #0x128]
0xfffffff00880989c: eb8342b9  ldr	w11, [sp, #0x280]
0xfffffff0088098a0: ec9342b9  ldr	w12, [sp, #0x290]
0xfffffff0088098a4: ed9742b9  ldr	w13, [sp, #0x294]
0xfffffff0088098a8: ee9b42b9  ldr	w14, [sp, #0x298]
0xfffffff0088098ac: ef0b43b9  ldr	w15, [sp, #0x308]
0xfffffff0088098b0: f01b43b9  ldr	w16, [sp, #0x318]
0xfffffff0088098b4: f11f43b9  ldr	w17, [sp, #0x31c]
0xfffffff0088098b8: e12343b9  ldr	w1, [sp, #0x320]
