; Candidate 1776
; ADRP+ADD at VM 0xfffffff0085090c4 (fileoff 0x15050c4): page=0x1febd1000 add_imm=0xdc8

0xfffffff008509044: 01c1c13d  ldr	q1, [x8, #0x700]
0xfffffff008509048: 815e8a3d  str	q1, [x20, #0x2970]
0xfffffff00850904c: 806e8a3d  str	q0, [x20, #0x29b0]
0xfffffff008509050: 685eff90  adrp	x8, #0xfffffff0070d5000
0xfffffff008509054: 01c5c13d  ldr	q1, [x8, #0x710]
0xfffffff008509058: 81628a3d  str	q1, [x20, #0x2980]
0xfffffff00850905c: 80728a3d  str	q0, [x20, #0x29c0]
0xfffffff008509060: 685eff90  adrp	x8, #0xfffffff0070d5000
0xfffffff008509064: 01c9c13d  ldr	q1, [x8, #0x720]
0xfffffff008509068: 81668a3d  str	q1, [x20, #0x2990]
0xfffffff00850906c: 80768a3d  str	q0, [x20, #0x29d0]
0xfffffff008509070: 68420e91  add	x8, x19, #0x390
0xfffffff008509074: e90b40f9  ldr	x9, [sp, #0x10]
0xfffffff008509078: 69ca01f9  str	x9, [x19, #0x390]
0xfffffff00850907c: e91b40b9  ldr	w9, [sp, #0x18]
0xfffffff008509080: 699a03b9  str	w9, [x19, #0x398]
0xfffffff008509084: c00640ad  ldp	q0, q1, [x22]
0xfffffff008509088: 00c1803c  stur	q0, [x8, #0xc]
0xfffffff00850908c: 01c1813c  stur	q1, [x8, #0x1c]
0xfffffff008509090: c00ac03d  ldr	q0, [x22, #0x20]
0xfffffff008509094: 00c1823c  stur	q0, [x8, #0x2c]
0xfffffff008509098: c0c2c23c  ldur	q0, [x22, #0x2c]
0xfffffff00850909c: 0081833c  stur	q0, [x8, #0x38]
0xfffffff0085090a0: e083c53c  ldur	q0, [sp, #0x58]
0xfffffff0085090a4: e183c63c  ldur	q1, [sp, #0x68]
0xfffffff0085090a8: 800600ad  stp	q0, q1, [x20]
0xfffffff0085090ac: a80240f9  ldr	x8, [x21]
0xfffffff0085090b0: a90a40b9  ldr	w9, [x21, #8]
0xfffffff0085090b4: 690204b9  str	w9, [x19, #0x400]
0xfffffff0085090b8: 00e28452  mov	w0, #0x2710
0xfffffff0085090bc: 68fe01f9  str	x8, [x19, #0x3f8]
0xfffffff0085090c0: 3effff17  b	#0xfffffff008508db8
0xfffffff0085090c4: 805effb0  adrp	x0, #0xfffffff0070da000
0xfffffff0085090c8: 00203791  add	x0, x0, #0xdc8
0xfffffff0085090cc: 44000094  bl	#0xfffffff0085091dc
0xfffffff0085090d0: 805effb0  adrp	x0, #0xfffffff0070da000
0xfffffff0085090d4: 00483891  add	x0, x0, #0xe12
0xfffffff0085090d8: 41000094  bl	#0xfffffff0085091dc
0xfffffff0085090dc: 5c53e197  bl	#0xfffffff007d5de4c
0xfffffff0085090e0: 7f2303d5  pacibsp	
0xfffffff0085090e4: ff4301d1  sub	sp, sp, #0x50
0xfffffff0085090e8: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff0085090ec: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff0085090f0: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0085090f4: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0085090f8: fd030191  add	x29, sp, #0x40
0xfffffff0085090fc: f50302aa  mov	x21, x2
0xfffffff008509100: f30301aa  mov	x19, x1
0xfffffff008509104: f70300aa  mov	x23, x0
0xfffffff008509108: f403022a  mov	w20, w2
0xfffffff00850910c: 68a4fff0  adrp	x8, #0xfffffff007998000
0xfffffff008509110: 08410091  add	x8, x8, #0x10
0xfffffff008509114: 09284029  ldp	w9, w10, [x0]
0xfffffff008509118: 087969f8  ldr	x8, [x8, x9, lsl #3]
0xfffffff00850911c: 69a4fff0  adrp	x9, #0xfffffff007998000
0xfffffff008509120: 29810291  add	x9, x9, #0xa0
0xfffffff008509124: 29796af8  ldr	x9, [x9, x10, lsl #3]
0xfffffff008509128: e82700a9  stp	x8, x9, [sp]
0xfffffff00850912c: 825effb0  adrp	x2, #0xfffffff0070da000
0xfffffff008509130: 42c43991  add	x2, x2, #0xe71
0xfffffff008509134: e00301aa  mov	x0, x1
0xfffffff008509138: e10314aa  mov	x1, x20
0xfffffff00850913c: 08c7f397  bl	#0xfffffff0081fad5c
0xfffffff008509140: f60300aa  mov	x22, x0
