; Candidate 12491
; ADRP+ADD at VM 0xfffffff0090a839c (fileoff 0x20a439c): page=0x1fe3b1000 add_imm=0xe24

0xfffffff0090a831c: e10315aa  mov	x1, x21
0xfffffff0090a8320: e40314aa  mov	x4, x20
0xfffffff0090a8324: e50313aa  mov	x5, x19
0xfffffff0090a8328: 3d010094  bl	#0xfffffff0090a881c
0xfffffff0090a832c: f90300aa  mov	x25, x0
0xfffffff0090a8330: 20090035  cbnz	w0, #0xfffffff0090a8454
0xfffffff0090a8334: 48018052  mov	w8, #0xa
0xfffffff0090a8338: 10000014  b	#0xfffffff0090a8378
0xfffffff0090a833c: a8508052  mov	w8, #0x285
0xfffffff0090a8340: c91dfff0  adrp	x9, #0xfffffff007463000
0xfffffff0090a8344: 29193d91  add	x9, x9, #0xf46
0xfffffff0090a8348: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0090a834c: c81dffb0  adrp	x8, #0xfffffff007461000
0xfffffff0090a8350: 08313491  add	x8, x8, #0xd0c
0xfffffff0090a8354: 8a1dffd0  adrp	x10, #0xfffffff00745a000
0xfffffff0090a8358: 4a713791  add	x10, x10, #0xddc
0xfffffff0090a835c: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff0090a8360: ea0300f9  str	x10, [sp]
0xfffffff0090a8364: 801dffb0  adrp	x0, #0xfffffff007459000
0xfffffff0090a8368: 00d42c91  add	x0, x0, #0xb35
0xfffffff0090a836c: 2dbbca97  bl	#0xfffffff008357020
0xfffffff0090a8370: c8088052  mov	w8, #0x46
0xfffffff0090a8374: 19008012  mov	w25, #-1
0xfffffff0090a8378: 69034039  ldrb	w9, [x27]
0xfffffff0090a837c: 1f01096b  cmp	w8, w9
0xfffffff0090a8380: 43010054  b.lo	#0xfffffff0090a83a8
0xfffffff0090a8384: e80319aa  mov	x8, x25
0xfffffff0090a8388: 087d4093  sxtw	x8, w8
0xfffffff0090a838c: e91dff90  adrp	x9, #0xfffffff007464000
0xfffffff0090a8390: 298d0491  add	x9, x9, #0x123
0xfffffff0090a8394: fc2700a9  stp	x28, x9, [sp]
0xfffffff0090a8398: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090a839c: 801dffb0  adrp	x0, #0xfffffff007459000
0xfffffff0090a83a0: 00903891  add	x0, x0, #0xe24
0xfffffff0090a83a4: 1fbbca97  bl	#0xfffffff008357020
0xfffffff0090a83a8: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff0090a83ac: 0955ffb0  adrp	x9, #0xfffffff007b49000
0xfffffff0090a83b0: 29a541f9  ldr	x9, [x9, #0x348]
0xfffffff0090a83b4: 290140f9  ldr	x9, [x9]
0xfffffff0090a83b8: 3f0108eb  cmp	x9, x8
0xfffffff0090a83bc: c1080054  b.ne	#0xfffffff0090a84d4
0xfffffff0090a83c0: e00319aa  mov	x0, x25
0xfffffff0090a83c4: fd7b4ea9  ldp	x29, x30, [sp, #0xe0]
0xfffffff0090a83c8: f44f4da9  ldp	x20, x19, [sp, #0xd0]
0xfffffff0090a83cc: f6574ca9  ldp	x22, x21, [sp, #0xc0]
0xfffffff0090a83d0: f85f4ba9  ldp	x24, x23, [sp, #0xb0]
0xfffffff0090a83d4: fa674aa9  ldp	x26, x25, [sp, #0xa0]
0xfffffff0090a83d8: fc6f49a9  ldp	x28, x27, [sp, #0x90]
0xfffffff0090a83dc: ffc30391  add	sp, sp, #0xf0
0xfffffff0090a83e0: ff0f5fd6  retab	
0xfffffff0090a83e4: f90300aa  mov	x25, x0
0xfffffff0090a83e8: 287f4093  sxtw	x8, w25
0xfffffff0090a83ec: c94d8052  mov	w9, #0x26e
0xfffffff0090a83f0: ca1dfff0  adrp	x10, #0xfffffff007463000
0xfffffff0090a83f4: 4a193d91  add	x10, x10, #0xf46
0xfffffff0090a83f8: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff0090a83fc: 891dffb0  adrp	x9, #0xfffffff007459000
0xfffffff0090a8400: 29b92d91  add	x9, x9, #0xb6e
0xfffffff0090a8404: 8b1dffd0  adrp	x11, #0xfffffff00745a000
0xfffffff0090a8408: 6b290291  add	x11, x11, #0x8a
0xfffffff0090a840c: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff0090a8410: eb0300f9  str	x11, [sp]
0xfffffff0090a8414: 801dffb0  adrp	x0, #0xfffffff007459000
0xfffffff0090a8418: 00d42c91  add	x0, x0, #0xb35
