; Candidate 1585
; ADRP+ADD at VM 0xfffffff0084aaf88 (fileoff 0x14a6f88): page=0x1febaa000 add_imm=0xd48

0xfffffff0084aaf08: e00315aa  mov	x0, x21
0xfffffff0084aaf0c: 01018052  mov	w1, #8
0xfffffff0084aaf10: 1c2ee897  bl	#0xfffffff007eb6780
0xfffffff0084aaf14: 68824039  ldrb	w8, [x19, #0x20]
0xfffffff0084aaf18: 68000034  cbz	w8, #0xfffffff0084aaf24
0xfffffff0084aaf1c: e00314aa  mov	x0, x20
0xfffffff0084aaf20: 04000014  b	#0xfffffff0084aaf30
0xfffffff0084aaf24: e00314aa  mov	x0, x20
0xfffffff0084aaf28: 3437e897  bl	#0xfffffff007eb8bf8
0xfffffff0084aaf2c: d469e897  bl	#0xfffffff007ec567c
0xfffffff0084aaf30: 480bc05a  rev	w8, w26
0xfffffff0084aaf34: 290bc05a  rev	w9, w25
0xfffffff0084aaf38: 09a00029  stp	w9, w8, [x0, #4]
0xfffffff0084aaf3c: 1f0c00b9  str	wzr, [x0, #0xc]
0xfffffff0084aaf40: 68824039  ldrb	w8, [x19, #0x20]
0xfffffff0084aaf44: 28010035  cbnz	w8, #0xfffffff0084aaf68
0xfffffff0084aaf48: 2803148b  add	x8, x25, x20
0xfffffff0084aaf4c: 00c57292  and	x0, x8, #0xffffffffffffc000
0xfffffff0084aaf50: 2a37e897  bl	#0xfffffff007eb8bf8
0xfffffff0084aaf54: ca69e897  bl	#0xfffffff007ec567c
0xfffffff0084aaf58: 610319cb  sub	x1, x27, x25
0xfffffff0084aaf5c: 28374092  and	x8, x25, #0x3fff
0xfffffff0084aaf60: 0000088b  add	x0, x0, x8
0xfffffff0084aaf64: f786e297  bl	#0xfffffff007d4cb40
0xfffffff0084aaf68: 17008052  mov	w23, #0
0xfffffff0084aaf6c: 28008052  mov	w8, #1
0xfffffff0084aaf70: 68620939  strb	w8, [x19, #0x258]
0xfffffff0084aaf74: bdffff17  b	#0xfffffff0084aae68
0xfffffff0084aaf78: 285dffd0  adrp	x8, #0xfffffff007050000
0xfffffff0084aaf7c: 08cd3c91  add	x8, x8, #0xf33
0xfffffff0084aaf80: a9318a52  mov	w9, #0x518d
0xfffffff0084aaf84: e82700a9  stp	x8, x9, [sp]
0xfffffff0084aaf88: 405dffd0  adrp	x0, #0xfffffff007054000
0xfffffff0084aaf8c: 00203591  add	x0, x0, #0xd48
0xfffffff0084aaf90: 5fa5ff97  bl	#0xfffffff00849450c
0xfffffff0084aaf94: 285dffd0  adrp	x8, #0xfffffff007050000
0xfffffff0084aaf98: 08cd3c91  add	x8, x8, #0xf33
0xfffffff0084aaf9c: e9318a52  mov	w9, #0x518f
0xfffffff0084aafa0: e82700a9  stp	x8, x9, [sp]
0xfffffff0084aafa4: 405dffd0  adrp	x0, #0xfffffff007054000
0xfffffff0084aafa8: 000c3691  add	x0, x0, #0xd83
0xfffffff0084aafac: 58a5ff97  bl	#0xfffffff00849450c
0xfffffff0084aafb0: 68218152  mov	w8, #0x90b
0xfffffff0084aafb4: e95cff90  adrp	x9, #0xfffffff007046000
0xfffffff0084aafb8: 29d92791  add	x9, x9, #0x9f6
0xfffffff0084aafbc: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0084aafc0: f30300a9  stp	x19, x0, [sp]
0xfffffff0084aafc4: e05cff90  adrp	x0, #0xfffffff007046000
0xfffffff0084aafc8: 00c42b91  add	x0, x0, #0xaf1
0xfffffff0084aafcc: 50a5ff97  bl	#0xfffffff00849450c
0xfffffff0084aafd0: 285dffd0  adrp	x8, #0xfffffff007050000
0xfffffff0084aafd4: 08cd3c91  add	x8, x8, #0xf33
0xfffffff0084aafd8: c94b8a52  mov	w9, #0x525e
0xfffffff0084aafdc: e82700a9  stp	x8, x9, [sp]
0xfffffff0084aafe0: 405dffd0  adrp	x0, #0xfffffff007054000
0xfffffff0084aafe4: 00c43791  add	x0, x0, #0xdf1
0xfffffff0084aafe8: 49a5ff97  bl	#0xfffffff00849450c
0xfffffff0084aafec: 285dffd0  adrp	x8, #0xfffffff007050000
0xfffffff0084aaff0: 08cd3c91  add	x8, x8, #0xf33
0xfffffff0084aaff4: c94d8a52  mov	w9, #0x526e
0xfffffff0084aaff8: e82700a9  stp	x8, x9, [sp]
0xfffffff0084aaffc: 405dffd0  adrp	x0, #0xfffffff007054000
0xfffffff0084ab000: 002c3991  add	x0, x0, #0xe4b
0xfffffff0084ab004: 42a5ff97  bl	#0xfffffff00849450c
