; Candidate 2986
; ADRP+ADD at VM 0xfffffff0086fe5d0 (fileoff 0x16fa5d0): page=0x1fea33000 add_imm=0xd90

0xfffffff0086fe550: 150080d2  mov	x21, #0
0xfffffff0086fe554: ea2f40f9  ldr	x10, [sp, #0x58]
0xfffffff0086fe558: ea1f00f9  str	x10, [sp, #0x38]
0xfffffff0086fe55c: ab0d40f9  ldr	x11, [x13, #0x18]
0xfffffff0086fe560: 77595cf9  ldr	x23, [x11, #0x38b0]
0xfffffff0086fe564: ea02168b  add	x10, x23, x22
0xfffffff0086fe568: 4c694039  ldrb	w12, [x10, #0x1a]
0xfffffff0086fe56c: 4c0e0035  cbnz	w12, #0xfffffff0086fe734
0xfffffff0086fe570: 1a0b0079  strh	w26, [x24, #4]
0xfffffff0086fe574: 1f0f0079  strh	wzr, [x24, #6]
0xfffffff0086fe578: 1c170079  strh	w28, [x24, #0xa]
0xfffffff0086fe57c: c8b88752  mov	w8, #0x3dc6
0xfffffff0086fe580: 68696838  ldrb	w8, [x11, x8]
0xfffffff0086fe584: 88000034  cbz	w8, #0xfffffff0086fe594
0xfffffff0086fe588: 74e55ef9  ldr	x20, [x11, #0x3dc8]
0xfffffff0086fe58c: 88220091  add	x8, x20, #8
0xfffffff0086fe590: 04000014  b	#0xfffffff0086fe5a0
0xfffffff0086fe594: 680d42f9  ldr	x8, [x11, #0x418]
0xfffffff0086fe598: 14210091  add	x20, x8, #8
0xfffffff0086fe59c: 08410091  add	x8, x8, #0x10
0xfffffff0086fe5a0: 491540b9  ldr	w9, [x10, #0x14]
0xfffffff0086fe5a4: ea2b40f9  ldr	x10, [sp, #0x50]
0xfffffff0086fe5a8: 4901098b  add	x9, x10, x9
0xfffffff0086fe5ac: 080140f9  ldr	x8, [x8]
0xfffffff0086fe5b0: 390108cb  sub	x25, x9, x8
0xfffffff0086fe5b4: 930a40f9  ldr	x19, [x20, #0x10]
0xfffffff0086fe5b8: 3bff60d3  lsr	x27, x25, #0x20
0xfffffff0086fe5bc: bb0100b4  cbz	x27, #0xfffffff0086fe5f0
0xfffffff0086fe5c0: 49828052  mov	w9, #0x412
0xfffffff0086fe5c4: 8852ffb0  adrp	x8, #0xfffffff00714f000
0xfffffff0086fe5c8: 08b90a91  add	x8, x8, #0x2ae
0xfffffff0086fe5cc: e82700a9  stp	x8, x9, [sp]
0xfffffff0086fe5d0: 8051fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086fe5d4: 00403691  add	x0, x0, #0xd90
0xfffffff0086fe5d8: e197fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086fe5dc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086fe5e0: 02008052  mov	w2, #0
0xfffffff0086fe5e4: c351ff90  adrp	x3, #0xfffffff007136000
0xfffffff0086fe5e8: 63d00d91  add	x3, x3, #0x374
0xfffffff0086fe5ec: d1d2f097  bl	#0xfffffff008333130
0xfffffff0086fe5f0: 684239ab  adds	x8, x19, w25, uxtw
0xfffffff0086fe5f4: a20b0054  b.hs	#0xfffffff0086fe768
0xfffffff0086fe5f8: 088d60d3  ubfx	x8, x8, #0x20, #4
0xfffffff0086fe5fc: 08270079  strh	w8, [x24, #0x12]
0xfffffff0086fe600: 930a40f9  ldr	x19, [x20, #0x10]
0xfffffff0086fe604: bb0100b4  cbz	x27, #0xfffffff0086fe638
0xfffffff0086fe608: 69828052  mov	w9, #0x413
0xfffffff0086fe60c: 8852ffb0  adrp	x8, #0xfffffff00714f000
0xfffffff0086fe610: 08b90a91  add	x8, x8, #0x2ae
0xfffffff0086fe614: e82700a9  stp	x8, x9, [sp]
0xfffffff0086fe618: 8051fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086fe61c: 00403691  add	x0, x0, #0xd90
0xfffffff0086fe620: e197fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086fe624: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086fe628: 02008052  mov	w2, #0
0xfffffff0086fe62c: c351ff90  adrp	x3, #0xfffffff007136000
0xfffffff0086fe630: 63a00e91  add	x3, x3, #0x3a8
0xfffffff0086fe634: bfd2f097  bl	#0xfffffff008333130
0xfffffff0086fe638: 287f4092  and	x8, x25, #0xffffffff
0xfffffff0086fe63c: 680208ab  adds	x8, x19, x8
0xfffffff0086fe640: 42090054  b.hs	#0xfffffff0086fe768
0xfffffff0086fe644: 081700b9  str	w8, [x24, #0x14]
0xfffffff0086fe648: 08274079  ldrh	w8, [x24, #0x12]
0xfffffff0086fe64c: 28020034  cbz	w8, #0xfffffff0086fe690
