; Candidate 3122
; ADRP+ADD at VM 0xfffffff008714094 (fileoff 0x1710094): page=0x1fea1d000 add_imm=0xd90

0xfffffff008714014: 5a070091  add	x26, x26, #1
0xfffffff008714018: 5f1f00f1  cmp	x26, #7
0xfffffff00871401c: 41fdff54  b.ne	#0xfffffff008713fc4
0xfffffff008714020: 2cffff17  b	#0xfffffff008713cd0
0xfffffff008714024: 68ea4139  ldrb	w8, [x19, #0x7a]
0xfffffff008714028: 28e50736  tbz	w8, #0, #0xfffffff008713ccc
0xfffffff00871402c: f8ab00a9  stp	x24, x10, [sp, #8]
0xfffffff008714030: c851fff0  adrp	x8, #0xfffffff00714f000
0xfffffff008714034: 08350691  add	x8, x8, #0x18d
0xfffffff008714038: e80300f9  str	x8, [sp]
0xfffffff00871403c: e050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008714040: 00403691  add	x0, x0, #0xd90
0xfffffff008714044: 4197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008714048: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871404c: 2351ff90  adrp	x3, #0xfffffff007138000
0xfffffff008714050: 63580391  add	x3, x3, #0xd6
0xfffffff008714054: 02008052  mov	w2, #0
0xfffffff008714058: 367cf097  bl	#0xfffffff008333130
0xfffffff00871405c: 1cffff17  b	#0xfffffff008713ccc
0xfffffff008714060: ec030aaa  mov	x12, x10
0xfffffff008714064: 68ea4139  ldrb	w8, [x19, #0x7a]
0xfffffff008714068: 28e30736  tbz	w8, #0, #0xfffffff008713ccc
0xfffffff00871406c: 681147b9  ldr	w8, [x11, #0x710]
0xfffffff008714070: a91247b9  ldr	w9, [x21, #0x710]
0xfffffff008714074: 6b1547b9  ldr	w11, [x11, #0x714]
0xfffffff008714078: ad1647b9  ldr	w13, [x21, #0x714]
0xfffffff00871407c: ebb702a9  stp	x11, x13, [sp, #0x28]
0xfffffff008714080: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008714084: eab300a9  stp	x10, x12, [sp, #8]
0xfffffff008714088: c851fff0  adrp	x8, #0xfffffff00714f000
0xfffffff00871408c: 08350691  add	x8, x8, #0x18d
0xfffffff008714090: e80300f9  str	x8, [sp]
0xfffffff008714094: e050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008714098: 00403691  add	x0, x0, #0xd90
0xfffffff00871409c: 4197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087140a0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087140a4: 2351ff90  adrp	x3, #0xfffffff007138000
0xfffffff0087140a8: 63e80491  add	x3, x3, #0x13a
0xfffffff0087140ac: 02008052  mov	w2, #0
0xfffffff0087140b0: 207cf097  bl	#0xfffffff008333130
0xfffffff0087140b4: 06ffff17  b	#0xfffffff008713ccc
0xfffffff0087140b8: 68ea4139  ldrb	w8, [x19, #0x7a]
0xfffffff0087140bc: 88e00736  tbz	w8, #0, #0xfffffff008713ccc
0xfffffff0087140c0: c851fff0  adrp	x8, #0xfffffff00714f000
0xfffffff0087140c4: 08350691  add	x8, x8, #0x18d
0xfffffff0087140c8: e80300f9  str	x8, [sp]
0xfffffff0087140cc: e050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087140d0: 00403691  add	x0, x0, #0xd90
0xfffffff0087140d4: 4197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087140d8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087140dc: 2351ff90  adrp	x3, #0xfffffff007138000
0xfffffff0087140e0: 63200691  add	x3, x3, #0x188
0xfffffff0087140e4: 02008052  mov	w2, #0
0xfffffff0087140e8: 127cf097  bl	#0xfffffff008333130
0xfffffff0087140ec: f8feff17  b	#0xfffffff008713ccc
0xfffffff0087140f0: 5f2403d5  bti	c
0xfffffff0087140f4: 00200091  add	x0, x0, #8
0xfffffff0087140f8: c0035fd6  ret	
0xfffffff0087140fc: 5f2403d5  bti	c
0xfffffff008714100: 1f7000b9  str	wzr, [x0, #0x70]
0xfffffff008714104: 000040f9  ldr	x0, [x0]
0xfffffff008714108: c0035fd6  ret	
0xfffffff00871410c: 5f2403d5  bti	c
0xfffffff008714110: 481c0012  and	w8, w2, #0xff
