; Candidate 6957
; ADRP+ADD at VM 0xfffffff00884c8f4 (fileoff 0x18488f4): page=0x1fe9d9000 add_imm=0xe33

0xfffffff00884c874: 48008052  mov	w8, #2
0xfffffff00884c878: 880200b9  str	w8, [x20]
0xfffffff00884c87c: 950600f9  str	x21, [x20, #8]
0xfffffff00884c880: e84dffb0  adrp	x8, #0xfffffff007209000
0xfffffff00884c884: 00d1c33d  ldr	q0, [x8, #0xf40]
0xfffffff00884c888: 8006803d  str	q0, [x20, #0x10]
0xfffffff00884c88c: 9f2200b9  str	wzr, [x20, #0x20]
0xfffffff00884c890: 6002c03d  ldr	q0, [x19]
0xfffffff00884c894: 800e803d  str	q0, [x20, #0x30]
0xfffffff00884c898: 34000014  b	#0xfffffff00884c968
0xfffffff00884c89c: 800c8052  mov	w0, #0x64
0xfffffff00884c8a0: 81008052  mov	w1, #4
0xfffffff00884c8a4: cbbb0094  bl	#0xfffffff00887b7d0
0xfffffff00884c8a8: e0050034  cbz	w0, #0xfffffff00884c964
0xfffffff00884c8ac: 800c8052  mov	w0, #0x64
0xfffffff00884c8b0: dabb0094  bl	#0xfffffff00887b818
0xfffffff00884c8b4: f80300aa  mov	x24, x0
0xfffffff00884c8b8: 3d9e0194  bl	#0xfffffff0088b41ac
0xfffffff00884c8bc: f70300aa  mov	x23, x0
0xfffffff00884c8c0: 80008052  mov	w0, #4
0xfffffff00884c8c4: e3bb0094  bl	#0xfffffff00887b850
0xfffffff00884c8c8: 18020034  cbz	w24, #0xfffffff00884c908
0xfffffff00884c8cc: f35304a9  stp	x19, x20, [sp, #0x40]
0xfffffff00884c8d0: f55b03a9  stp	x21, x22, [sp, #0x30]
0xfffffff00884c8d4: c84effb0  adrp	x8, #0xfffffff007225000
0xfffffff00884c8d8: 08053a91  add	x8, x8, #0xe81
0xfffffff00884c8dc: 690b8052  mov	w9, #0x5b
0xfffffff00884c8e0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00884c8e4: c84effb0  adrp	x8, #0xfffffff007225000
0xfffffff00884c8e8: 08e13c91  add	x8, x8, #0xf38
0xfffffff00884c8ec: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00884c8f0: 880c8052  mov	w8, #0x64
0xfffffff00884c8f4: c04effb0  adrp	x0, #0xfffffff007225000
0xfffffff00884c8f8: 00cc3891  add	x0, x0, #0xe33
0xfffffff00884c8fc: f72300a9  stp	x23, x8, [sp]
0xfffffff00884c900: d8aad597  bl	#0xfffffff007db7460
0xfffffff00884c904: 18000014  b	#0xfffffff00884c964
0xfffffff00884c908: 299e0194  bl	#0xfffffff0088b41ac
0xfffffff00884c90c: f70300aa  mov	x23, x0
0xfffffff00884c910: 80008052  mov	w0, #4
0xfffffff00884c914: cfbb0094  bl	#0xfffffff00887b850
0xfffffff00884c918: f35304a9  stp	x19, x20, [sp, #0x40]
0xfffffff00884c91c: f55b03a9  stp	x21, x22, [sp, #0x30]
0xfffffff00884c920: c84effb0  adrp	x8, #0xfffffff007225000
0xfffffff00884c924: 08053a91  add	x8, x8, #0xe81
0xfffffff00884c928: 690b8052  mov	w9, #0x5b
0xfffffff00884c92c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00884c930: c84effb0  adrp	x8, #0xfffffff007225000
0xfffffff00884c934: 08e13c91  add	x8, x8, #0xf38
0xfffffff00884c938: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00884c93c: 880c8052  mov	w8, #0x64
0xfffffff00884c940: f72300a9  stp	x23, x8, [sp]
0xfffffff00884c944: e04cffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884c948: 00003a91  add	x0, x0, #0xe80
0xfffffff00884c94c: e18dff90  adrp	x1, #0xfffffff007a08000
0xfffffff00884c950: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884c954: 2350ffb0  adrp	x3, #0xfffffff007251000
0xfffffff00884c958: 63983891  add	x3, x3, #0xe26
0xfffffff00884c95c: 02008052  mov	w2, #0
0xfffffff00884c960: f499eb97  bl	#0xfffffff008333130
0xfffffff00884c964: 007d8012  mov	w0, #-0x3e9
0xfffffff00884c968: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff00884c96c: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff00884c970: f65746a9  ldp	x22, x21, [sp, #0x60]
