; Candidate 8217
; ADRP+ADD at VM 0xfffffff00889cd30 (fileoff 0x1898d30): page=0x1fe990000 add_imm=0xd84

0xfffffff00889ccb0: f85f06a9  stp	x24, x23, [sp, #0x60]
0xfffffff00889ccb4: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff00889ccb8: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff00889ccbc: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff00889ccc0: fd430291  add	x29, sp, #0x90
0xfffffff00889ccc4: f40301aa  mov	x20, x1
0xfffffff00889ccc8: f30300aa  mov	x19, x0
0xfffffff00889cccc: a00f8052  mov	w0, #0x7d
0xfffffff00889ccd0: 01018052  mov	w1, #8
0xfffffff00889ccd4: bf7aff97  bl	#0xfffffff00887b7d0
0xfffffff00889ccd8: 60070034  cbz	w0, #0xfffffff00889cdc4
0xfffffff00889ccdc: a00f8052  mov	w0, #0x7d
0xfffffff00889cce0: ce7aff97  bl	#0xfffffff00887b818
0xfffffff00889cce4: f70300aa  mov	x23, x0
0xfffffff00889cce8: 315d0094  bl	#0xfffffff0088b41ac
0xfffffff00889ccec: f50300aa  mov	x21, x0
0xfffffff00889ccf0: 00018052  mov	w0, #8
0xfffffff00889ccf4: d77aff97  bl	#0xfffffff00887b850
0xfffffff00889ccf8: 97020034  cbz	w23, #0xfffffff00889cd48
0xfffffff00889ccfc: f60300aa  mov	x22, x0
0xfffffff00889cd00: 08b78752  mov	w8, #0x3db8
0xfffffff00889cd04: 6002088b  add	x0, x19, x8
0xfffffff00889cd08: 770240b9  ldr	w23, [x19]
0xfffffff00889cd0c: 494afe97  bl	#0xfffffff00882f630
0xfffffff00889cd10: f48303a9  stp	x20, x0, [sp, #0x38]
0xfffffff00889cd14: f3df02a9  stp	x19, x23, [sp, #0x28]
0xfffffff00889cd18: a84cff90  adrp	x8, #0xfffffff007230000
0xfffffff00889cd1c: 09f11991  add	x9, x8, #0x67c
0xfffffff00889cd20: a84cffb0  adrp	x8, #0xfffffff007231000
0xfffffff00889cd24: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889cd28: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00889cd2c: a80f8052  mov	w8, #0x7d
0xfffffff00889cd30: 804cff90  adrp	x0, #0xfffffff00722c000
0xfffffff00889cd34: 00103691  add	x0, x0, #0xd84
0xfffffff00889cd38: e8db00a9  stp	x8, x22, [sp, #8]
0xfffffff00889cd3c: f50300f9  str	x21, [sp]
0xfffffff00889cd40: c869d497  bl	#0xfffffff007db7460
0xfffffff00889cd44: 20000014  b	#0xfffffff00889cdc4
0xfffffff00889cd48: 08b78752  mov	w8, #0x3db8
0xfffffff00889cd4c: 7502088b  add	x21, x19, x8
0xfffffff00889cd50: e00315aa  mov	x0, x21
0xfffffff00889cd54: 374afe97  bl	#0xfffffff00882f630
0xfffffff00889cd58: 155d0094  bl	#0xfffffff0088b41ac
0xfffffff00889cd5c: f60300aa  mov	x22, x0
0xfffffff00889cd60: 00018052  mov	w0, #8
0xfffffff00889cd64: bb7aff97  bl	#0xfffffff00887b850
0xfffffff00889cd68: f70300aa  mov	x23, x0
0xfffffff00889cd6c: 780240b9  ldr	w24, [x19]
0xfffffff00889cd70: e00315aa  mov	x0, x21
0xfffffff00889cd74: 2f4afe97  bl	#0xfffffff00882f630
0xfffffff00889cd78: e80314aa  mov	x8, x20
0xfffffff00889cd7c: e88303a9  stp	x8, x0, [sp, #0x38]
0xfffffff00889cd80: f3e302a9  stp	x19, x24, [sp, #0x28]
0xfffffff00889cd84: a84cff90  adrp	x8, #0xfffffff007230000
0xfffffff00889cd88: 09f11991  add	x9, x8, #0x67c
0xfffffff00889cd8c: a84cffb0  adrp	x8, #0xfffffff007231000
0xfffffff00889cd90: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889cd94: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00889cd98: a80f8052  mov	w8, #0x7d
0xfffffff00889cd9c: e8df00a9  stp	x8, x23, [sp, #8]
0xfffffff00889cda0: f60300f9  str	x22, [sp]
0xfffffff00889cda4: 604affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889cda8: 00003a91  add	x0, x0, #0xe80
0xfffffff00889cdac: 618bff90  adrp	x1, #0xfffffff007a08000
