; Candidate 10981
; ADRP+ADD at VM 0xfffffff008df01ec (fileoff 0x1dec1ec): page=0x1fe5d4000 add_imm=0xd98

0xfffffff008df016c: b72eff90  adrp	x23, #0xfffffff0073c4000
0xfffffff008df0170: f7ca3491  add	x23, x23, #0xd32
0xfffffff008df0174: 1f290071  cmp	w8, #0xa
0xfffffff008df0178: a8000054  b.hi	#0xfffffff008df018c
0xfffffff008df017c: f75b00a9  stp	x23, x22, [sp]
0xfffffff008df0180: a02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008df0184: 00843491  add	x0, x0, #0xd21
0xfffffff008df0188: a69bd597  bl	#0xfffffff008357020
0xfffffff008df018c: 61a800f0  adrp	x1, #0xfffffff00a2ff000
0xfffffff008df0190: 21c03091  add	x1, x1, #0xc30
0xfffffff008df0194: 75a800f0  adrp	x21, #0xfffffff00a2ff000
0xfffffff008df0198: b5462c91  add	x21, x21, #0xb11
0xfffffff008df019c: 70ffffd0  adrp	x16, #0xfffffff008dde000
0xfffffff008df01a0: 10d20e91  add	x16, x16, #0x3b4
0xfffffff008df01a4: 519081d2  mov	x17, #0xc82
0xfffffff008df01a8: 3002c1da  pacia	x16, x17
0xfffffff008df01ac: e00310aa  mov	x0, x16
0xfffffff008df01b0: e20314aa  mov	x2, x20
0xfffffff008df01b4: e30313aa  mov	x3, x19
0xfffffff008df01b8: e40315aa  mov	x4, x21
0xfffffff008df01bc: 05008052  mov	w5, #0
0xfffffff008df01c0: 45bbff97  bl	#0xfffffff008ddeed4
0xfffffff008df01c4: f30300aa  mov	x19, x0
0xfffffff008df01c8: 1f0000f1  cmp	x0, #0
0xfffffff008df01cc: c8038052  mov	w8, #0x1e
0xfffffff008df01d0: c9088052  mov	w9, #0x46
0xfffffff008df01d4: 2801881a  csel	w8, w9, w8, eq
0xfffffff008df01d8: a9024039  ldrb	w9, [x21]
0xfffffff008df01dc: 1f01096b  cmp	w8, w9
0xfffffff008df01e0: c3000054  b.lo	#0xfffffff008df01f8
0xfffffff008df01e4: f6cf00a9  stp	x22, x19, [sp, #8]
0xfffffff008df01e8: f70300f9  str	x23, [sp]
0xfffffff008df01ec: a02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008df01f0: 00603691  add	x0, x0, #0xd98
0xfffffff008df01f4: 8b9bd597  bl	#0xfffffff008357020
0xfffffff008df01f8: e00313aa  mov	x0, x19
0xfffffff008df01fc: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008df0200: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008df0204: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008df0208: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff008df020c: ff830191  add	sp, sp, #0x60
0xfffffff008df0210: ff0f5fd6  retab	
0xfffffff008df0214: 7f2303d5  pacibsp	
0xfffffff008df0218: ff8301d1  sub	sp, sp, #0x60
0xfffffff008df021c: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff008df0220: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008df0224: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008df0228: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008df022c: fd430191  add	x29, sp, #0x50
0xfffffff008df0230: f30301aa  mov	x19, x1
0xfffffff008df0234: f40300aa  mov	x20, x0
0xfffffff008df0238: 77a800f0  adrp	x23, #0xfffffff00a2ff000
0xfffffff008df023c: e8466c39  ldrb	w8, [x23, #0xb11]
0xfffffff008df0240: b52eff90  adrp	x21, #0xfffffff0073c4000
0xfffffff008df0244: b5e63691  add	x21, x21, #0xdb9
0xfffffff008df0248: b62eff90  adrp	x22, #0xfffffff0073c4000
0xfffffff008df024c: d6ca3491  add	x22, x22, #0xd32
0xfffffff008df0250: 1f290071  cmp	w8, #0xa
0xfffffff008df0254: a8000054  b.hi	#0xfffffff008df0268
0xfffffff008df0258: f65700a9  stp	x22, x21, [sp]
0xfffffff008df025c: a02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008df0260: 00843491  add	x0, x0, #0xd21
0xfffffff008df0264: 6f9bd597  bl	#0xfffffff008357020
0xfffffff008df0268: 61a800f0  adrp	x1, #0xfffffff00a2ff000
