; Candidate 6149
; ADRP+ADD at VM 0xfffffff00881762c (fileoff 0x181362c): page=0x1fea07000 add_imm=0xddc

0xfffffff0088175ac: 43000014  b	#0xfffffff0088176b8
0xfffffff0088175b0: 800e8052  mov	w0, #0x74
0xfffffff0088175b4: 81008052  mov	w1, #4
0xfffffff0088175b8: 86900194  bl	#0xfffffff00887b7d0
0xfffffff0088175bc: e01e0034  cbz	w0, #0xfffffff008817998
0xfffffff0088175c0: 800e8052  mov	w0, #0x74
0xfffffff0088175c4: 95900194  bl	#0xfffffff00887b818
0xfffffff0088175c8: fc0300aa  mov	x28, x0
0xfffffff0088175cc: f8720294  bl	#0xfffffff0088b41ac
0xfffffff0088175d0: fb0300aa  mov	x27, x0
0xfffffff0088175d4: 80008052  mov	w0, #4
0xfffffff0088175d8: 9e900194  bl	#0xfffffff00887b850
0xfffffff0088175dc: fc190034  cbz	w28, #0xfffffff008817918
0xfffffff0088175e0: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff0088175e4: e84300f9  str	x8, [sp, #0x80]
0xfffffff0088175e8: a80359f8  ldur	x8, [x29, #-0x70]
0xfffffff0088175ec: e83f00f9  str	x8, [sp, #0x78]
0xfffffff0088175f0: a98359f8  ldur	x9, [x29, #-0x68]
0xfffffff0088175f4: e8031aaa  mov	x8, x26
0xfffffff0088175f8: e8a706a9  stp	x8, x9, [sp, #0x68]
0xfffffff0088175fc: f8e705a9  stp	x24, x25, [sp, #0x58]
0xfffffff008817600: f6df04a9  stp	x22, x23, [sp, #0x48]
0xfffffff008817604: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff008817608: 2850ffb0  adrp	x8, #0xfffffff00721c000
0xfffffff00881760c: 08450491  add	x8, x8, #0x111
0xfffffff008817610: 89008152  mov	w9, #0x804
0xfffffff008817614: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff008817618: 2850fff0  adrp	x8, #0xfffffff00721e000
0xfffffff00881761c: 080d3491  add	x8, x8, #0xd03
0xfffffff008817620: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008817624: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008817628: 880e8052  mov	w8, #0x74
0xfffffff00881762c: 2050fff0  adrp	x0, #0xfffffff00721e000
0xfffffff008817630: 00703791  add	x0, x0, #0xddc
0xfffffff008817634: fb2300a9  stp	x27, x8, [sp]
0xfffffff008817638: 8a7fd697  bl	#0xfffffff007db7460
0xfffffff00881763c: d7000014  b	#0xfffffff008817998
0xfffffff008817640: db720294  bl	#0xfffffff0088b41ac
0xfffffff008817644: fb0300aa  mov	x27, x0
0xfffffff008817648: 80008052  mov	w0, #4
0xfffffff00881764c: 81900194  bl	#0xfffffff00887b850
0xfffffff008817650: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff008817654: e83700f9  str	x8, [sp, #0x68]
0xfffffff008817658: a80359f8  ldur	x8, [x29, #-0x70]
0xfffffff00881765c: e83300f9  str	x8, [sp, #0x60]
0xfffffff008817660: e8031aaa  mov	x8, x26
0xfffffff008817664: a98359f8  ldur	x9, [x29, #-0x68]
0xfffffff008817668: e82705a9  stp	x8, x9, [sp, #0x50]
0xfffffff00881766c: f86704a9  stp	x24, x25, [sp, #0x40]
0xfffffff008817670: f65f03a9  stp	x22, x23, [sp, #0x30]
0xfffffff008817674: 2850fff0  adrp	x8, #0xfffffff00721e000
0xfffffff008817678: 08113691  add	x8, x8, #0xd84
0xfffffff00881767c: a9ff8052  mov	w9, #0x7fd
0xfffffff008817680: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008817684: 2850fff0  adrp	x8, #0xfffffff00721e000
0xfffffff008817688: 080d3491  add	x8, x8, #0xd03
0xfffffff00881768c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008817690: 880e8052  mov	w8, #0x74
0xfffffff008817694: 8351ffb0  adrp	x3, #0xfffffff007248000
0xfffffff008817698: 63a42c91  add	x3, x3, #0xb29
0xfffffff00881769c: fb2300a9  stp	x27, x8, [sp]
0xfffffff0088176a0: 804effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088176a4: 00003a91  add	x0, x0, #0xe80
0xfffffff0088176a8: 818fffb0  adrp	x1, #0xfffffff007a08000
