; Candidate 3468
; ADRP+ADD at VM 0xfffffff008740adc (fileoff 0x173cadc): page=0x1fe9f1000 add_imm=0xd90

0xfffffff008740a5c: 69008052  mov	w9, #3
0xfffffff008740a60: 3601881a  csel	w22, w9, w8, eq
0xfffffff008740a64: 14c0218b  add	x20, x0, w1, sxtw
0xfffffff008740a68: 888a4739  ldrb	w8, [x20, #0x1e2]
0xfffffff008740a6c: e8010034  cbz	w8, #0xfffffff008740aa8
0xfffffff008740a70: 94578052  mov	w20, #0x2bc
0xfffffff008740a74: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff008740a78: a850fff0  adrp	x8, #0xfffffff007157000
0xfffffff008740a7c: 08212c91  add	x8, x8, #0xb08
0xfffffff008740a80: e80300f9  str	x8, [sp]
0xfffffff008740a84: 804fffb0  adrp	x0, #0xfffffff007131000
0xfffffff008740a88: 00403691  add	x0, x0, #0xd90
0xfffffff008740a8c: e195ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008740a90: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008740a94: e34fff90  adrp	x3, #0xfffffff00713c000
0xfffffff008740a98: 63d43191  add	x3, x3, #0xc75
0xfffffff008740a9c: 02008052  mov	w2, #0
0xfffffff008740aa0: a4c9ef97  bl	#0xfffffff008333130
0xfffffff008740aa4: 54000014  b	#0xfffffff008740bf4
0xfffffff008740aa8: f30300aa  mov	x19, x0
0xfffffff008740aac: 357c4093  sxtw	x21, w1
0xfffffff008740ab0: 080c158b  add	x8, x0, x21, lsl #3
0xfffffff008740ab4: 00b940f9  ldr	x0, [x8, #0x170]
0xfffffff008740ab8: 800300b4  cbz	x0, #0xfffffff008740b28
0xfffffff008740abc: 6902158b  add	x9, x19, x21
0xfffffff008740ac0: 29014639  ldrb	w9, [x9, #0x180]
0xfffffff008740ac4: e9010035  cbnz	w9, #0xfffffff008740b00
0xfffffff008740ac8: 17c10591  add	x23, x8, #0x170
0xfffffff008740acc: a82e8152  mov	w8, #0x975
0xfffffff008740ad0: a950fff0  adrp	x9, #0xfffffff007157000
0xfffffff008740ad4: 29212c91  add	x9, x9, #0xb08
0xfffffff008740ad8: e92300a9  stp	x9, x8, [sp]
0xfffffff008740adc: 804fffb0  adrp	x0, #0xfffffff007131000
0xfffffff008740ae0: 00403691  add	x0, x0, #0xd90
0xfffffff008740ae4: e195ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008740ae8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008740aec: e34fff90  adrp	x3, #0xfffffff00713c000
0xfffffff008740af0: 63903291  add	x3, x3, #0xca4
0xfffffff008740af4: 02008052  mov	w2, #0
0xfffffff008740af8: 8ec9ef97  bl	#0xfffffff008333130
0xfffffff008740afc: e00240f9  ldr	x0, [x23]
0xfffffff008740b00: 61ea41b9  ldr	w1, [x19, #0x1e8]
0xfffffff008740b04: 100040f9  ldr	x16, [x0]
0xfffffff008740b08: f10300aa  mov	x17, x0
0xfffffff008740b0c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008740b10: 301ac1da  autda	x16, x17
0xfffffff008740b14: 080e4ff8  ldr	x8, [x16, #0xf0]!
0xfffffff008740b18: e90310aa  mov	x9, x16
0xfffffff008740b1c: f10309aa  mov	x17, x9
0xfffffff008740b20: d18de4f2  movk	x17, #0x246e, lsl #48
0xfffffff008740b24: 11093fd7  blraa	x8, x17
0xfffffff008740b28: c8dc00d0  adrp	x8, #0xfffffff00a2da000
0xfffffff008740b2c: 08d12891  add	x8, x8, #0xa34
0xfffffff008740b30: 087975b8  ldr	w8, [x8, x21, lsl #2]
0xfffffff008740b34: 1f01166b  cmp	w8, w22
0xfffffff008740b38: 6a000054  b.ge	#0xfffffff008740b44
0xfffffff008740b3c: 14008052  mov	w20, #0
0xfffffff008740b40: 2d000014  b	#0xfffffff008740bf4
0xfffffff008740b44: 968a0791  add	x22, x20, #0x1e2
0xfffffff008740b48: 69ea41b9  ldr	w9, [x19, #0x1e8]
0xfffffff008740b4c: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff008740b50: a850fff0  adrp	x8, #0xfffffff007157000
0xfffffff008740b54: 08212c91  add	x8, x8, #0xb08
0xfffffff008740b58: e80300f9  str	x8, [sp]
