; Candidate 6261
; ADRP+ADD at VM 0xfffffff00881dd28 (fileoff 0x1819d28): page=0x1fe9cc000 add_imm=0xe80

0xfffffff00881dca8: e82b00f9  str	x8, [sp, #0x50]
0xfffffff00881dcac: e80315aa  mov	x8, x21
0xfffffff00881dcb0: f42304a9  stp	x20, x8, [sp, #0x40]
0xfffffff00881dcb4: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff00881dcb8: 884ffff0  adrp	x8, #0xfffffff007210000
0xfffffff00881dcbc: 08b92791  add	x8, x8, #0x9ee
0xfffffff00881dcc0: 29748152  mov	w9, #0xba1
0xfffffff00881dcc4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00881dcc8: 0850ffd0  adrp	x8, #0xfffffff00721f000
0xfffffff00881dccc: 08bd3391  add	x8, x8, #0xcef
0xfffffff00881dcd0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00881dcd4: 880e8052  mov	w8, #0x74
0xfffffff00881dcd8: 0050ffd0  adrp	x0, #0xfffffff00721f000
0xfffffff00881dcdc: 00bc2a91  add	x0, x0, #0xaaf
0xfffffff00881dce0: d0feff17  b	#0xfffffff00881d820
0xfffffff00881dce4: 32590294  bl	#0xfffffff0088b41ac
0xfffffff00881dce8: f60300aa  mov	x22, x0
0xfffffff00881dcec: 80008052  mov	w0, #4
0xfffffff00881dcf0: d8760194  bl	#0xfffffff00887b850
0xfffffff00881dcf4: e80315aa  mov	x8, x21
0xfffffff00881dcf8: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff00881dcfc: f42304a9  stp	x20, x8, [sp, #0x40]
0xfffffff00881dd00: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff00881dd04: 0850ffd0  adrp	x8, #0xfffffff00721f000
0xfffffff00881dd08: 08b93491  add	x8, x8, #0xd2e
0xfffffff00881dd0c: a9728152  mov	w9, #0xb95
0xfffffff00881dd10: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00881dd14: 0850ffd0  adrp	x8, #0xfffffff00721f000
0xfffffff00881dd18: 08bd3391  add	x8, x8, #0xcef
0xfffffff00881dd1c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00881dd20: 880e8052  mov	w8, #0x74
0xfffffff00881dd24: f62300a9  stp	x22, x8, [sp]
0xfffffff00881dd28: 604eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00881dd2c: 00003a91  add	x0, x0, #0xe80
0xfffffff00881dd30: 418ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff00881dd34: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881dd38: 6351ffb0  adrp	x3, #0xfffffff00724a000
0xfffffff00881dd3c: 636c0691  add	x3, x3, #0x19b
0xfffffff00881dd40: 02008052  mov	w2, #0
0xfffffff00881dd44: fb54ec97  bl	#0xfffffff008333130
0xfffffff00881dd48: d67e8012  mov	w22, #-0x3f7
0xfffffff00881dd4c: 800e8052  mov	w0, #0x74
0xfffffff00881dd50: c1008052  mov	w1, #6
0xfffffff00881dd54: 9f760194  bl	#0xfffffff00887b7d0
0xfffffff00881dd58: 20050034  cbz	w0, #0xfffffff00881ddfc
0xfffffff00881dd5c: 800e8052  mov	w0, #0x74
0xfffffff00881dd60: ae760194  bl	#0xfffffff00887b818
0xfffffff00881dd64: f80300aa  mov	x24, x0
0xfffffff00881dd68: 11590294  bl	#0xfffffff0088b41ac
0xfffffff00881dd6c: f70300aa  mov	x23, x0
0xfffffff00881dd70: c0008052  mov	w0, #6
0xfffffff00881dd74: b7760194  bl	#0xfffffff00887b850
0xfffffff00881dd78: b8010034  cbz	w24, #0xfffffff00881ddac
0xfffffff00881dd7c: e80316aa  mov	x8, x22
0xfffffff00881dd80: f52303a9  stp	x21, x8, [sp, #0x30]
0xfffffff00881dd84: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff00881dd88: 0850ffd0  adrp	x8, #0xfffffff00721f000
0xfffffff00881dd8c: 08bd3391  add	x8, x8, #0xcef
0xfffffff00881dd90: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00881dd94: 880e8052  mov	w8, #0x74
0xfffffff00881dd98: c04fffb0  adrp	x0, #0xfffffff007216000
0xfffffff00881dd9c: 00ac3d91  add	x0, x0, #0xf6b
0xfffffff00881dda0: f72300a9  stp	x23, x8, [sp]
0xfffffff00881dda4: af65d697  bl	#0xfffffff007db7460
