; Candidate 1369
; ADRP+ADD at VM 0xfffffff00838becc (fileoff 0x1387ecc): page=0x1fed13000 add_imm=0xdbb

0xfffffff00838be4c: 881640f9  ldr	x8, [x20, #0x28]
0xfffffff00838be50: 09410091  add	x9, x8, #0x10
0xfffffff00838be54: 6a1a44b9  ldr	w10, [x19, #0x418]
0xfffffff00838be58: e2030aaa  mov	x2, x10
0xfffffff00838be5c: 3ffda288  casl	w2, wzr, [x9]
0xfffffff00838be60: 5f000a6b  cmp	w2, w10
0xfffffff00838be64: 00010054  b.eq	#0xfffffff00838be84
0xfffffff00838be68: 00210091  add	x0, x8, #8
0xfffffff00838be6c: e10313aa  mov	x1, x19
0xfffffff00838be70: 3d82e897  bl	#0xfffffff007dac764
0xfffffff00838be74: 00008052  mov	w0, #0
0xfffffff00838be78: 03000014  b	#0xfffffff00838be84
0xfffffff00838be7c: 40588052  mov	w0, #0x2c2
0xfffffff00838be80: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff00838be84: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff00838be88: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff00838be8c: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff00838be90: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff00838be94: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff00838be98: fc6f42a9  ldp	x28, x27, [sp, #0x20]
0xfffffff00838be9c: ff030291  add	sp, sp, #0x80
0xfffffff00838bea0: ff0f5fd6  retab	
0xfffffff00838bea4: 00210091  add	x0, x8, #8
0xfffffff00838bea8: e10313aa  mov	x1, x19
0xfffffff00838beac: 02008052  mov	w2, #0
0xfffffff00838beb0: 127fe897  bl	#0xfffffff007dabaf8
0xfffffff00838beb4: bdffff17  b	#0xfffffff00838bda8
0xfffffff00838beb8: a8568452  mov	w8, #0x22b5
0xfffffff00838bebc: 8968ffd0  adrp	x9, #0xfffffff00709d000
0xfffffff00838bec0: 29bd3a91  add	x9, x9, #0xeaf
0xfffffff00838bec4: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff00838bec8: f50300f9  str	x21, [sp]
0xfffffff00838becc: 8068fff0  adrp	x0, #0xfffffff00709e000
0xfffffff00838bed0: 00ec3691  add	x0, x0, #0xdbb
0xfffffff00838bed4: 8e210494  bl	#0xfffffff00849450c
0xfffffff00838bed8: 49588452  mov	w9, #0x22c2
0xfffffff00838bedc: 8868ffd0  adrp	x8, #0xfffffff00709d000
0xfffffff00838bee0: 08bd3a91  add	x8, x8, #0xeaf
0xfffffff00838bee4: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff00838bee8: f50300f9  str	x21, [sp]
0xfffffff00838beec: 8068fff0  adrp	x0, #0xfffffff00709e000
0xfffffff00838bef0: 00303891  add	x0, x0, #0xe0c
0xfffffff00838bef4: 86210494  bl	#0xfffffff00849450c
0xfffffff00838bef8: 5f2403d5  bti	c
0xfffffff00838befc: 60f400b0  adrp	x0, #0xfffffff00a218000
0xfffffff00838bf00: 00403591  add	x0, x0, #0xd50
0xfffffff00838bf04: c0035fd6  ret	
0xfffffff00838bf08: 5f2403d5  bti	c
0xfffffff00838bf0c: e10300aa  mov	x1, x0
0xfffffff00838bf10: 08008092  mov	x8, #-1
0xfffffff00838bf14: 080000f9  str	x8, [x0]
0xfffffff00838bf18: 80affff0  adrp	x0, #0xfffffff00797e000
0xfffffff00838bf1c: 00c03691  add	x0, x0, #0xdb0
0xfffffff00838bf20: 02048052  mov	w2, #0x20
0xfffffff00838bf24: de6dfd17  b	#0xfffffff0082e769c
0xfffffff00838bf28: 5f2403d5  bti	c
0xfffffff00838bf2c: 08008092  mov	x8, #-1
0xfffffff00838bf30: 080000f9  str	x8, [x0]
0xfffffff00838bf34: c0035fd6  ret	
0xfffffff00838bf38: 7f2303d5  pacibsp	
0xfffffff00838bf3c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00838bf40: fd030091  mov	x29, sp
0xfffffff00838bf44: 88affff0  adrp	x8, #0xfffffff00797e000
0xfffffff00838bf48: 08dd4db9  ldr	w8, [x8, #0xddc]
