; Candidate 5471
; ADRP+ADD at VM 0xfffffff0087f279c (fileoff 0x17ee79c): page=0x1fe9f7000 add_imm=0xe80

0xfffffff0087f271c: c1008052  mov	w1, #6
0xfffffff0087f2720: 2c240294  bl	#0xfffffff00887b7d0
0xfffffff0087f2724: c0040034  cbz	w0, #0xfffffff0087f27bc
0xfffffff0087f2728: e00e8052  mov	w0, #0x77
0xfffffff0087f272c: 3b240294  bl	#0xfffffff00887b818
0xfffffff0087f2730: f60300aa  mov	x22, x0
0xfffffff0087f2734: 9e060394  bl	#0xfffffff0088b41ac
0xfffffff0087f2738: f50300aa  mov	x21, x0
0xfffffff0087f273c: c0008052  mov	w0, #6
0xfffffff0087f2740: 44240294  bl	#0xfffffff00887b850
0xfffffff0087f2744: 76010034  cbz	w22, #0xfffffff0087f2770
0xfffffff0087f2748: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0087f274c: 0851fff0  adrp	x8, #0xfffffff007215000
0xfffffff0087f2750: 086d1491  add	x8, x8, #0x51b
0xfffffff0087f2754: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f2758: e80e8052  mov	w8, #0x77
0xfffffff0087f275c: f52300a9  stp	x21, x8, [sp]
0xfffffff0087f2760: 0051fff0  adrp	x0, #0xfffffff007215000
0xfffffff0087f2764: 00a81591  add	x0, x0, #0x56a
0xfffffff0087f2768: 3e13d797  bl	#0xfffffff007db7460
0xfffffff0087f276c: 14000014  b	#0xfffffff0087f27bc
0xfffffff0087f2770: 8f060394  bl	#0xfffffff0088b41ac
0xfffffff0087f2774: f50300aa  mov	x21, x0
0xfffffff0087f2778: c0008052  mov	w0, #6
0xfffffff0087f277c: 35240294  bl	#0xfffffff00887b850
0xfffffff0087f2780: e80314aa  mov	x8, x20
0xfffffff0087f2784: f32302a9  stp	x19, x8, [sp, #0x20]
0xfffffff0087f2788: 0851fff0  adrp	x8, #0xfffffff007215000
0xfffffff0087f278c: 086d1491  add	x8, x8, #0x51b
0xfffffff0087f2790: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f2794: e80e8052  mov	w8, #0x77
0xfffffff0087f2798: f52300a9  stp	x21, x8, [sp]
0xfffffff0087f279c: a04ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f27a0: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f27a4: a190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f27a8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f27ac: 6352ffd0  adrp	x3, #0xfffffff007240000
0xfffffff0087f27b0: 63240291  add	x3, x3, #0x89
0xfffffff0087f27b4: 02008052  mov	w2, #0
0xfffffff0087f27b8: 5e02ed97  bl	#0xfffffff008333130
0xfffffff0087f27bc: e00314aa  mov	x0, x20
0xfffffff0087f27c0: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0087f27c4: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0087f27c8: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0087f27cc: ffc30191  add	sp, sp, #0x70
0xfffffff0087f27d0: ff0f5fd6  retab	
0xfffffff0087f27d4: 7f2303d5  pacibsp	
0xfffffff0087f27d8: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff0087f27dc: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0087f27e0: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0087f27e4: fd830091  add	x29, sp, #0x20
0xfffffff0087f27e8: f30301aa  mov	x19, x1
0xfffffff0087f27ec: f40300aa  mov	x20, x0
0xfffffff0087f27f0: e6f50094  bl	#0xfffffff00882ff88
0xfffffff0087f27f4: f50300aa  mov	x21, x0
0xfffffff0087f27f8: e00314aa  mov	x0, x20
0xfffffff0087f27fc: f8f50094  bl	#0xfffffff00882ffdc
0xfffffff0087f2800: bf0200eb  cmp	x21, x0
0xfffffff0087f2804: 00010054  b.eq	#0xfffffff0087f2824
0xfffffff0087f2808: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff0087f280c: a90e40f9  ldr	x9, [x21, #0x18]
0xfffffff0087f2810: e00315aa  mov	x0, x21
0xfffffff0087f2814: 1f0109eb  cmp	x8, x9
0xfffffff0087f2818: e3000054  b.lo	#0xfffffff0087f2834
