; Candidate 16187
; ADRP+ADD at VM 0xfffffff009e2f4a4 (fileoff 0x2e2b4a4): page=0x1fd874000 add_imm=0xe00

0xfffffff009e2f424: 1801891a  csel	w24, w8, w9, eq
0xfffffff009e2f428: 18000014  b	#0xfffffff009e2f488
0xfffffff009e2f42c: e02740f9  ldr	x0, [sp, #0x48]
0xfffffff009e2f430: f1b67d97  bl	#0xfffffff007d9cff4
0xfffffff009e2f434: 17000014  b	#0xfffffff009e2f490
0xfffffff009e2f438: 78268012  mov	w24, #-0x134
0xfffffff009e2f43c: 13000014  b	#0xfffffff009e2f488
0xfffffff009e2f440: 98258012  mov	w24, #-0x12d
0xfffffff009e2f444: 11000014  b	#0xfffffff009e2f488
0xfffffff009e2f448: e95b40b9  ldr	w9, [sp, #0x58]
0xfffffff009e2f44c: 78258012  mov	w24, #-0x12c
0xfffffff009e2f450: 3f050071  cmp	w9, #1
0xfffffff009e2f454: a1010054  b.ne	#0xfffffff009e2f488
0xfffffff009e2f458: 1f010171  cmp	w8, #0x40
0xfffffff009e2f45c: 61010054  b.ne	#0xfffffff009e2f488
0xfffffff009e2f460: e82340f9  ldr	x8, [sp, #0x40]
0xfffffff009e2f464: 280100b5  cbnz	x8, #0xfffffff009e2f488
0xfffffff009e2f468: e89f4139  ldrb	w8, [sp, #0x67]
0xfffffff009e2f46c: 1f050071  cmp	w8, #1
0xfffffff009e2f470: a1000054  b.ne	#0xfffffff009e2f484
0xfffffff009e2f474: f86b40b9  ldr	w24, [sp, #0x68]
0xfffffff009e2f478: e87740b9  ldr	w8, [sp, #0x74]
0xfffffff009e2f47c: 1f03086b  cmp	w24, w8
0xfffffff009e2f480: 800a0054  b.eq	#0xfffffff009e2f5d0
0xfffffff009e2f484: 78258012  mov	w24, #-0x12c
0xfffffff009e2f488: e0e30091  add	x0, sp, #0x38
0xfffffff009e2f48c: 7eb67d97  bl	#0xfffffff007d9ce84
0xfffffff009e2f490: 087f1a53  lsr	w8, w24, #0x1a
0xfffffff009e2f494: 09670e53  ubfx	w9, w24, #0xe, #0xc
0xfffffff009e2f498: 0a370012  and	w10, w24, #0x3fff
0xfffffff009e2f49c: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff009e2f4a0: e80300f9  str	x8, [sp]
0xfffffff009e2f4a4: a0c3fe90  adrp	x0, #0xfffffff0076a3000
0xfffffff009e2f4a8: 00003891  add	x0, x0, #0xe00
0xfffffff009e2f4ac: c1f7fed0  adrp	x1, #0xfffffff007d29000
0xfffffff009e2f4b0: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e2f4b4: 02028052  mov	w2, #0x10
0xfffffff009e2f4b8: 83cffed0  adrp	x3, #0xfffffff007821000
0xfffffff009e2f4bc: 637c0891  add	x3, x3, #0x21f
0xfffffff009e2f4c0: 1c0f9497  bl	#0xfffffff008333130
0xfffffff009e2f4c4: 1fd30431  cmn	w24, #0x134
0xfffffff009e2f4c8: e8079f1a  cset	w8, ne
0xfffffff009e2f4cc: a802082a  orr	w8, w21, w8
0xfffffff009e2f4d0: 35008052  mov	w21, #1
0xfffffff009e2f4d4: 68ea0736  tbz	w8, #0, #0xfffffff009e2f220
0xfffffff009e2f4d8: 30000014  b	#0xfffffff009e2f598
0xfffffff009e2f4dc: 68cffef0  adrp	x8, #0xfffffff00781e000
0xfffffff009e2f4e0: 088d3b91  add	x8, x8, #0xee3
0xfffffff009e2f4e4: e80300f9  str	x8, [sp]
0xfffffff009e2f4e8: a0c3fe90  adrp	x0, #0xfffffff0076a3000
0xfffffff009e2f4ec: 00003891  add	x0, x0, #0xe00
0xfffffff009e2f4f0: c1f7fed0  adrp	x1, #0xfffffff007d29000
0xfffffff009e2f4f4: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e2f4f8: 83cffeb0  adrp	x3, #0xfffffff007820000
0xfffffff009e2f4fc: 63c43c91  add	x3, x3, #0xf31
0xfffffff009e2f500: 02028052  mov	w2, #0x10
0xfffffff009e2f504: 0b0f9497  bl	#0xfffffff008333130
0xfffffff009e2f508: 24000014  b	#0xfffffff009e2f598
0xfffffff009e2f50c: 68cffef0  adrp	x8, #0xfffffff00781e000
0xfffffff009e2f510: 088d3b91  add	x8, x8, #0xee3
0xfffffff009e2f514: e80300a9  stp	x8, x0, [sp]
0xfffffff009e2f518: a0c3fe90  adrp	x0, #0xfffffff0076a3000
0xfffffff009e2f51c: 00003891  add	x0, x0, #0xe00
0xfffffff009e2f520: c1f7fed0  adrp	x1, #0xfffffff007d29000
