; Candidate 6181
; ADRP+ADD at VM 0xfffffff008818ca4 (fileoff 0x1814ca4): page=0x1fe9d1000 add_imm=0xe80

0xfffffff008818c24: 69218152  mov	w9, #0x90b
0xfffffff008818c28: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff008818c2c: 2850fff0  adrp	x8, #0xfffffff00721f000
0xfffffff008818c30: 08210091  add	x8, x8, #8
0xfffffff008818c34: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008818c38: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008818c3c: 880e8052  mov	w8, #0x74
0xfffffff008818c40: 2050fff0  adrp	x0, #0xfffffff00721f000
0xfffffff008818c44: 00f80591  add	x0, x0, #0x17e
0xfffffff008818c48: b3010014  b	#0xfffffff008819314
0xfffffff008818c4c: 586d0294  bl	#0xfffffff0088b41ac
0xfffffff008818c50: f90300aa  mov	x25, x0
0xfffffff008818c54: 80008052  mov	w0, #4
0xfffffff008818c58: fe8a0194  bl	#0xfffffff00887b850
0xfffffff008818c5c: e80318aa  mov	x8, x24
0xfffffff008818c60: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff008818c64: f7a305a9  stp	x23, x8, [sp, #0x58]
0xfffffff008818c68: e80316aa  mov	x8, x22
0xfffffff008818c6c: e8d704a9  stp	x8, x21, [sp, #0x48]
0xfffffff008818c70: e9d303a9  stp	x9, x20, [sp, #0x38]
0xfffffff008818c74: c84fff90  adrp	x8, #0xfffffff007210000
0xfffffff008818c78: 08b92791  add	x8, x8, #0x9ee
0xfffffff008818c7c: c9208152  mov	w9, #0x906
0xfffffff008818c80: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff008818c84: 2850fff0  adrp	x8, #0xfffffff00721f000
0xfffffff008818c88: 08210091  add	x8, x8, #8
0xfffffff008818c8c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008818c90: 880e8052  mov	w8, #0x74
0xfffffff008818c94: 8351ff90  adrp	x3, #0xfffffff007248000
0xfffffff008818c98: 63dc3d91  add	x3, x3, #0xf77
0xfffffff008818c9c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008818ca0: f90300f9  str	x25, [sp]
0xfffffff008818ca4: 804effb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008818ca8: 00003a91  add	x0, x0, #0xe80
0xfffffff008818cac: 818fff90  adrp	x1, #0xfffffff007a08000
0xfffffff008818cb0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008818cb4: 02008052  mov	w2, #0
0xfffffff008818cb8: 1e69ec97  bl	#0xfffffff008333130
0xfffffff008818cbc: 1fffff17  b	#0xfffffff008818938
0xfffffff008818cc0: 68ca4391  add	x8, x19, #0xf2, lsl #12
0xfffffff008818cc4: 1ca10491  add	x28, x8, #0x128
0xfffffff008818cc8: e00313aa  mov	x0, x19
0xfffffff008818ccc: 01008052  mov	w1, #0
0xfffffff008818cd0: e6efff97  bl	#0xfffffff008814c68
0xfffffff008818cd4: 983f40b9  ldr	w24, [x28, #0x3c]
0xfffffff008818cd8: 68ca4391  add	x8, x19, #0xf2, lsl #12
0xfffffff008818cdc: 00410091  add	x0, x8, #0x10
0xfffffff008818ce0: e10318aa  mov	x1, x24
0xfffffff008818ce4: 02008052  mov	w2, #0
0xfffffff008818ce8: ccc10094  bl	#0xfffffff008849418
0xfffffff008818cec: fa0300aa  mov	x26, x0
0xfffffff008818cf0: 68ca4391  add	x8, x19, #0xf2, lsl #12
0xfffffff008818cf4: 00410191  add	x0, x8, #0x50
0xfffffff008818cf8: e10318aa  mov	x1, x24
0xfffffff008818cfc: 02008052  mov	w2, #0
0xfffffff008818d00: c6c10094  bl	#0xfffffff008849418
0xfffffff008818d04: 1a001a0b  add	w26, w0, w26
0xfffffff008818d08: 68ca4391  add	x8, x19, #0xf2, lsl #12
0xfffffff008818d0c: 00410291  add	x0, x8, #0x90
0xfffffff008818d10: e10318aa  mov	x1, x24
0xfffffff008818d14: 02008052  mov	w2, #0
0xfffffff008818d18: c0c10094  bl	#0xfffffff008849418
0xfffffff008818d1c: 5803002b  adds	w24, w26, w0
0xfffffff008818d20: 60070054  b.eq	#0xfffffff008818e0c
