; Candidate 6902
; ADRP+ADD at VM 0xfffffff008849158 (fileoff 0x1845158): page=0x1fe9a0000 add_imm=0xe80

0xfffffff0088490d8: 00050034  cbz	w0, #0xfffffff008849178
0xfffffff0088490dc: 20098052  mov	w0, #0x49
0xfffffff0088490e0: cec90094  bl	#0xfffffff00887b818
0xfffffff0088490e4: f80300aa  mov	x24, x0
0xfffffff0088490e8: 31ac0194  bl	#0xfffffff0088b41ac
0xfffffff0088490ec: f70300aa  mov	x23, x0
0xfffffff0088490f0: c0008052  mov	w0, #6
0xfffffff0088490f4: d7c90094  bl	#0xfffffff00887b850
0xfffffff0088490f8: 98010034  cbz	w24, #0xfffffff008849128
0xfffffff0088490fc: f55b03a9  stp	x21, x22, [sp, #0x30]
0xfffffff008849100: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff008849104: e84eff90  adrp	x8, #0xfffffff007225000
0xfffffff008849108: 08751391  add	x8, x8, #0x4dd
0xfffffff00884910c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008849110: 28098052  mov	w8, #0x49
0xfffffff008849114: e04eff90  adrp	x0, #0xfffffff007225000
0xfffffff008849118: 00201791  add	x0, x0, #0x5c8
0xfffffff00884911c: f72300a9  stp	x23, x8, [sp]
0xfffffff008849120: d0b8d597  bl	#0xfffffff007db7460
0xfffffff008849124: 15000014  b	#0xfffffff008849178
0xfffffff008849128: 21ac0194  bl	#0xfffffff0088b41ac
0xfffffff00884912c: f70300aa  mov	x23, x0
0xfffffff008849130: c0008052  mov	w0, #6
0xfffffff008849134: c7c90094  bl	#0xfffffff00887b850
0xfffffff008849138: e80316aa  mov	x8, x22
0xfffffff00884913c: f52303a9  stp	x21, x8, [sp, #0x30]
0xfffffff008849140: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff008849144: e84eff90  adrp	x8, #0xfffffff007225000
0xfffffff008849148: 08751391  add	x8, x8, #0x4dd
0xfffffff00884914c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008849150: 28098052  mov	w8, #0x49
0xfffffff008849154: f72300a9  stp	x23, x8, [sp]
0xfffffff008849158: 004dff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00884915c: 00003a91  add	x0, x0, #0xe80
0xfffffff008849160: e18dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008849164: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008849168: 4350ff90  adrp	x3, #0xfffffff007251000
0xfffffff00884916c: 63200d91  add	x3, x3, #0x348
0xfffffff008849170: 02008052  mov	w2, #0
0xfffffff008849174: efa7eb97  bl	#0xfffffff008333130
0xfffffff008849178: e00316aa  mov	x0, x22
0xfffffff00884917c: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff008849180: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff008849184: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff008849188: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff00884918c: ff430291  add	sp, sp, #0x90
0xfffffff008849190: ff0f5fd6  retab	
0xfffffff008849194: 7f2303d5  pacibsp	
0xfffffff008849198: ffc301d1  sub	sp, sp, #0x70
0xfffffff00884919c: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff0088491a0: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff0088491a4: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff0088491a8: fd830191  add	x29, sp, #0x60
0xfffffff0088491ac: f30300aa  mov	x19, x0
0xfffffff0088491b0: 20098052  mov	w0, #0x49
0xfffffff0088491b4: c1008052  mov	w1, #6
0xfffffff0088491b8: 86c90094  bl	#0xfffffff00887b7d0
0xfffffff0088491bc: 40020034  cbz	w0, #0xfffffff008849204
0xfffffff0088491c0: 20098052  mov	w0, #0x49
0xfffffff0088491c4: 95c90094  bl	#0xfffffff00887b818
0xfffffff0088491c8: f50300aa  mov	x21, x0
0xfffffff0088491cc: f8ab0194  bl	#0xfffffff0088b41ac
0xfffffff0088491d0: f40300aa  mov	x20, x0
0xfffffff0088491d4: c0008052  mov	w0, #6
