; Candidate 7449
; ADRP+ADD at VM 0xfffffff00886e260 (fileoff 0x186a260): page=0x1fe97b000 add_imm=0xe80

0xfffffff00886e1e0: e03700f9  str	x0, [sp, #0x68]
0xfffffff00886e1e4: e00318aa  mov	x0, x24
0xfffffff00886e1e8: 9a350094  bl	#0xfffffff00887b850
0xfffffff00886e1ec: e03300f9  str	x0, [sp, #0x60]
0xfffffff00886e1f0: b84240b9  ldr	w24, [x21, #0x40]
0xfffffff00886e1f4: e00319aa  mov	x0, x25
0xfffffff00886e1f8: 01fcbf12  mov	w1, #0x1fffff
0xfffffff00886e1fc: b034fe97  bl	#0xfffffff0087fb4bc
0xfffffff00886e200: fb0300aa  mov	x27, x0
0xfffffff00886e204: e00319aa  mov	x0, x25
0xfffffff00886e208: 01fcbf12  mov	w1, #0x1fffff
0xfffffff00886e20c: cc34fe97  bl	#0xfffffff0087fb53c
0xfffffff00886e210: fc0300aa  mov	x28, x0
0xfffffff00886e214: e00319aa  mov	x0, x25
0xfffffff00886e218: 01fcbf12  mov	w1, #0x1fffff
0xfffffff00886e21c: e834fe97  bl	#0xfffffff0087fb5bc
0xfffffff00886e220: fa0300aa  mov	x26, x0
0xfffffff00886e224: e00319aa  mov	x0, x25
0xfffffff00886e228: 01fcbf12  mov	w1, #0x1fffff
0xfffffff00886e22c: 0435fe97  bl	#0xfffffff0087fb63c
0xfffffff00886e230: e0df04a9  stp	x0, x23, [sp, #0x48]
0xfffffff00886e234: fceb03a9  stp	x28, x26, [sp, #0x38]
0xfffffff00886e238: f8ef02a9  stp	x24, x27, [sp, #0x28]
0xfffffff00886e23c: e8c30191  add	x8, sp, #0x70
0xfffffff00886e240: e8d701a9  stp	x8, x21, [sp, #0x18]
0xfffffff00886e244: e93340f9  ldr	x9, [sp, #0x60]
0xfffffff00886e248: e80314aa  mov	x8, x20
0xfffffff00886e24c: 434fffd0  adrp	x3, #0xfffffff007258000
0xfffffff00886e250: 63941a91  add	x3, x3, #0x6a5
0xfffffff00886e254: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff00886e258: e83740f9  ldr	x8, [sp, #0x68]
0xfffffff00886e25c: e80300f9  str	x8, [sp]
0xfffffff00886e260: c04bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00886e264: 00003a91  add	x0, x0, #0xe80
0xfffffff00886e268: c18cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00886e26c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00886e270: 02008052  mov	w2, #0
0xfffffff00886e274: af13eb97  bl	#0xfffffff008333130
0xfffffff00886e278: 2b000014  b	#0xfffffff00886e324
0xfffffff00886e27c: b8e20391  add	x24, x21, #0xf8
0xfffffff00886e280: e00318aa  mov	x0, x24
0xfffffff00886e284: 01fcbf12  mov	w1, #0x1fffff
0xfffffff00886e288: 8d34fe97  bl	#0xfffffff0087fb4bc
0xfffffff00886e28c: e00318aa  mov	x0, x24
0xfffffff00886e290: 01fcbf12  mov	w1, #0x1fffff
0xfffffff00886e294: aa34fe97  bl	#0xfffffff0087fb53c
0xfffffff00886e298: e00318aa  mov	x0, x24
0xfffffff00886e29c: 01fcbf12  mov	w1, #0x1fffff
0xfffffff00886e2a0: c734fe97  bl	#0xfffffff0087fb5bc
0xfffffff00886e2a4: e00318aa  mov	x0, x24
0xfffffff00886e2a8: 01fcbf12  mov	w1, #0x1fffff
0xfffffff00886e2ac: e434fe97  bl	#0xfffffff0087fb63c
0xfffffff00886e2b0: bc4240b9  ldr	w28, [x21, #0x40]
0xfffffff00886e2b4: e00318aa  mov	x0, x24
0xfffffff00886e2b8: 01fcbf12  mov	w1, #0x1fffff
0xfffffff00886e2bc: 8034fe97  bl	#0xfffffff0087fb4bc
0xfffffff00886e2c0: f90300aa  mov	x25, x0
0xfffffff00886e2c4: e00318aa  mov	x0, x24
0xfffffff00886e2c8: 01fcbf12  mov	w1, #0x1fffff
0xfffffff00886e2cc: 9c34fe97  bl	#0xfffffff0087fb53c
0xfffffff00886e2d0: fa0300aa  mov	x26, x0
0xfffffff00886e2d4: e00318aa  mov	x0, x24
0xfffffff00886e2d8: 01fcbf12  mov	w1, #0x1fffff
0xfffffff00886e2dc: b834fe97  bl	#0xfffffff0087fb5bc
