; Candidate 87
; ADRP+ADD at VM 0xfffffff007e189c4 (fileoff 0xe149c4): page=0x1ffb58000 add_imm=0xd70

0xfffffff007e18944: f30300aa  mov	x19, x0
0xfffffff007e18948: 080c4079  ldrh	w8, [x0, #6]
0xfffffff007e1894c: c8030036  tbz	w8, #0, #0xfffffff007e189c4
0xfffffff007e18950: 092101d0  adrp	x9, #0xfffffff00a23a000
0xfffffff007e18954: 29d947b9  ldr	w9, [x9, #0x7d8]
0xfffffff007e18958: 0a2101d0  adrp	x10, #0xfffffff00a23a000
0xfffffff007e1895c: 4a611f91  add	x10, x10, #0x7d8
0xfffffff007e18960: ebff9f52  mov	w11, #0xffff
0xfffffff007e18964: ec0309aa  mov	x12, x9
0xfffffff007e18968: 88000836  tbz	w8, #1, #0xfffffff007e18978
0xfffffff007e1896c: 3f3d0072  tst	w9, #0xffff
0xfffffff007e18970: 80040054  b.eq	#0xfffffff007e18a00
0xfffffff007e18974: 2c010b0b  add	w12, w9, w11
0xfffffff007e18978: 2d7d1053  lsr	w13, w9, #0x10
0xfffffff007e1897c: ad030034  cbz	w13, #0xfffffff007e189f0
0xfffffff007e18980: ad050051  sub	w13, w13, #1
0xfffffff007e18984: ac3d1033  bfi	w12, w13, #0x10, #0x10
0xfffffff007e18988: ee0309aa  mov	x14, x9
0xfffffff007e1898c: 4c7dae88  cas	w14, w12, [x10]
0xfffffff007e18990: df01096b  cmp	w14, w9
0xfffffff007e18994: e9030eaa  mov	x9, x14
0xfffffff007e18998: 61feff54  b.ne	#0xfffffff007e18964
0xfffffff007e1899c: a83d0012  and	w8, w13, #0xffff
0xfffffff007e189a0: e80300f9  str	x8, [sp]
0xfffffff007e189a4: a08fff90  adrp	x0, #0xfffffff00700c000
0xfffffff007e189a8: 00000091  add	x0, x0, #0
0xfffffff007e189ac: 012001d0  adrp	x1, #0xfffffff00a21a000
0xfffffff007e189b0: 21502f91  add	x1, x1, #0xbd4
0xfffffff007e189b4: 8394ffd0  adrp	x3, #0xfffffff0070aa000
0xfffffff007e189b8: 63503e91  add	x3, x3, #0xf94
0xfffffff007e189bc: 02008052  mov	w2, #0
0xfffffff007e189c0: dc691494  bl	#0xfffffff008333130
0xfffffff007e189c4: c0daff90  adrp	x0, #0xfffffff007970000
0xfffffff007e189c8: 00c03591  add	x0, x0, #0xd70
0xfffffff007e189cc: e10313aa  mov	x1, x19
0xfffffff007e189d0: 8fc4ff97  bl	#0xfffffff007e09c0c
0xfffffff007e189d4: 00008052  mov	w0, #0
0xfffffff007e189d8: 02000014  b	#0xfffffff007e189e0
0xfffffff007e189dc: 80008052  mov	w0, #4
0xfffffff007e189e0: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff007e189e4: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff007e189e8: ffc30091  add	sp, sp, #0x30
0xfffffff007e189ec: ff0f5fd6  retab	
0xfffffff007e189f0: 8891fff0  adrp	x8, #0xfffffff00704b000
0xfffffff007e189f4: 08ad2491  add	x8, x8, #0x92b
0xfffffff007e189f8: 29228052  mov	w9, #0x111
0xfffffff007e189fc: 04000014  b	#0xfffffff007e18a0c
0xfffffff007e18a00: 8891fff0  adrp	x8, #0xfffffff00704b000
0xfffffff007e18a04: 08ad2491  add	x8, x8, #0x92b
0xfffffff007e18a08: a9218052  mov	w9, #0x10d
0xfffffff007e18a0c: e82700a9  stp	x8, x9, [sp]
0xfffffff007e18a10: 8091fff0  adrp	x0, #0xfffffff00704b000
0xfffffff007e18a14: 00002491  add	x0, x0, #0x900
0xfffffff007e18a18: bdee1994  bl	#0xfffffff00849450c
0xfffffff007e18a1c: 7f2303d5  pacibsp	
0xfffffff007e18a20: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff007e18a24: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff007e18a28: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff007e18a2c: fd830091  add	x29, sp, #0x20
0xfffffff007e18a30: f40300aa  mov	x20, x0
0xfffffff007e18a34: 080080d2  mov	x8, #0
0xfffffff007e18a38: 93d038d5  mrs	x19, tpidr_el1
0xfffffff007e18a3c: 691a44b9  ldr	w9, [x19, #0x418]
0xfffffff007e18a40: b51d01b0  adrp	x21, #0xfffffff00a1cd000
