; Candidate 7352
; ADRP+ADD at VM 0xfffffff008869504 (fileoff 0x1865504): page=0x1fe980000 add_imm=0xe80

0xfffffff008869484: 18020034  cbz	w24, #0xfffffff0088694c4
0xfffffff008869488: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00886948c: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff008869490: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff008869494: 084eff90  adrp	x8, #0xfffffff007229000
0xfffffff008869498: 08893791  add	x8, x8, #0xde2
0xfffffff00886949c: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088694a0: e84dffd0  adrp	x8, #0xfffffff007227000
0xfffffff0088694a4: 08811191  add	x8, x8, #0x460
0xfffffff0088694a8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088694ac: 680c8052  mov	w8, #0x63
0xfffffff0088694b0: e04dffb0  adrp	x0, #0xfffffff007226000
0xfffffff0088694b4: 00380091  add	x0, x0, #0xe
0xfffffff0088694b8: f72300a9  stp	x23, x8, [sp]
0xfffffff0088694bc: e937d597  bl	#0xfffffff007db7460
0xfffffff0088694c0: 19000014  b	#0xfffffff008869524
0xfffffff0088694c4: 3a2b0194  bl	#0xfffffff0088b41ac
0xfffffff0088694c8: f70300aa  mov	x23, x0
0xfffffff0088694cc: e0008052  mov	w0, #7
0xfffffff0088694d0: e0480094  bl	#0xfffffff00887b850
0xfffffff0088694d4: e80316aa  mov	x8, x22
0xfffffff0088694d8: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff0088694dc: f52304a9  stp	x21, x8, [sp, #0x40]
0xfffffff0088694e0: e95303a9  stp	x9, x20, [sp, #0x30]
0xfffffff0088694e4: 084eff90  adrp	x8, #0xfffffff007229000
0xfffffff0088694e8: 08893791  add	x8, x8, #0xde2
0xfffffff0088694ec: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088694f0: e84dffd0  adrp	x8, #0xfffffff007227000
0xfffffff0088694f4: 08811191  add	x8, x8, #0x460
0xfffffff0088694f8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088694fc: 680c8052  mov	w8, #0x63
0xfffffff008869500: f72300a9  stp	x23, x8, [sp]
0xfffffff008869504: 004cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008869508: 00003a91  add	x0, x0, #0xe80
0xfffffff00886950c: e18cfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008869510: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008869514: 634fffd0  adrp	x3, #0xfffffff007257000
0xfffffff008869518: 63483f91  add	x3, x3, #0xfd2
0xfffffff00886951c: 02008052  mov	w2, #0
0xfffffff008869520: 0427eb97  bl	#0xfffffff008333130
0xfffffff008869524: e00316aa  mov	x0, x22
0xfffffff008869528: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff00886952c: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff008869530: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff008869534: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff008869538: ff830291  add	sp, sp, #0xa0
0xfffffff00886953c: ff0f5fd6  retab	
0xfffffff008869540: 7f2303d5  pacibsp	
0xfffffff008869544: ff4302d1  sub	sp, sp, #0x90
0xfffffff008869548: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff00886954c: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff008869550: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff008869554: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff008869558: fd030291  add	x29, sp, #0x80
0xfffffff00886955c: f40301aa  mov	x20, x1
0xfffffff008869560: f30300aa  mov	x19, x0
0xfffffff008869564: 600c8052  mov	w0, #0x63
0xfffffff008869568: c1008052  mov	w1, #6
0xfffffff00886956c: 99480094  bl	#0xfffffff00887b7d0
0xfffffff008869570: c0020034  cbz	w0, #0xfffffff0088695c8
0xfffffff008869574: 600c8052  mov	w0, #0x63
0xfffffff008869578: a8480094  bl	#0xfffffff00887b818
0xfffffff00886957c: f60300aa  mov	x22, x0
0xfffffff008869580: 0b2b0194  bl	#0xfffffff0088b41ac
