; Candidate 5008
; ADRP+ADD at VM 0xfffffff0087d1ab4 (fileoff 0x17cdab4): page=0x1fea18000 add_imm=0xe80

0xfffffff0087d1a34: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0087d1a38: 301ac1da  autda	x16, x17
0xfffffff0087d1a3c: 119180d2  mov	x17, #0x488
0xfffffff0087d1a40: 1002118b  add	x16, x16, x17
0xfffffff0087d1a44: 080240f9  ldr	x8, [x16]
0xfffffff0087d1a48: e90310aa  mov	x9, x16
0xfffffff0087d1a4c: e00313aa  mov	x0, x19
0xfffffff0087d1a50: f10309aa  mov	x17, x9
0xfffffff0087d1a54: 7168f4f2  movk	x17, #0xa343, lsl #48
0xfffffff0087d1a58: 11093fd7  blraa	x8, x17
0xfffffff0087d1a5c: 605e40f9  ldr	x0, [x19, #0xb8]
0xfffffff0087d1a60: f0530094  bl	#0xfffffff0087e6a20
0xfffffff0087d1a64: 605e40f9  ldr	x0, [x19, #0xb8]
0xfffffff0087d1a68: 68540094  bl	#0xfffffff0087e6c08
0xfffffff0087d1a6c: 1a000014  b	#0xfffffff0087d1ad4
0xfffffff0087d1a70: cf890394  bl	#0xfffffff0088b41ac
0xfffffff0087d1a74: f50300aa  mov	x21, x0
0xfffffff0087d1a78: 80008052  mov	w0, #4
0xfffffff0087d1a7c: 75a70294  bl	#0xfffffff00887b850
0xfffffff0087d1a80: f3d303a9  stp	x19, x20, [sp, #0x38]
0xfffffff0087d1a84: e851fff0  adrp	x8, #0xfffffff007210000
0xfffffff0087d1a88: 0ab92791  add	x10, x8, #0x9ee
0xfffffff0087d1a8c: 28308052  mov	w8, #0x181
0xfffffff0087d1a90: 0952ff90  adrp	x9, #0xfffffff007211000
0xfffffff0087d1a94: 29450991  add	x9, x9, #0x251
0xfffffff0087d1a98: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0087d1a9c: e851fff0  adrp	x8, #0xfffffff007210000
0xfffffff0087d1aa0: 08712591  add	x8, x8, #0x95c
0xfffffff0087d1aa4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087d1aa8: 080a8052  mov	w8, #0x50
0xfffffff0087d1aac: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087d1ab0: f50300f9  str	x21, [sp]
0xfffffff0087d1ab4: c050ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d1ab8: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d1abc: a191fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087d1ac0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d1ac4: 4353ffb0  adrp	x3, #0xfffffff00723a000
0xfffffff0087d1ac8: 63603591  add	x3, x3, #0xd58
0xfffffff0087d1acc: 02008052  mov	w2, #0
0xfffffff0087d1ad0: 9885ed97  bl	#0xfffffff008333130
0xfffffff0087d1ad4: a891fff0  adrp	x8, #0xfffffff007a08000
0xfffffff0087d1ad8: 082542f9  ldr	x8, [x8, #0x448]
0xfffffff0087d1adc: 09210b91  add	x9, x8, #0x2c8
0xfffffff0087d1ae0: 086541f9  ldr	x8, [x8, #0x2c8]
0xfffffff0087d1ae4: e00313aa  mov	x0, x19
0xfffffff0087d1ae8: e10314aa  mov	x1, x20
0xfffffff0087d1aec: f10309aa  mov	x17, x9
0xfffffff0087d1af0: b110f6f2  movk	x17, #0xb085, lsl #48
0xfffffff0087d1af4: 11093fd7  blraa	x8, x17
0xfffffff0087d1af8: 000a8052  mov	w0, #0x50
0xfffffff0087d1afc: e1008052  mov	w1, #7
0xfffffff0087d1b00: 34a70294  bl	#0xfffffff00887b7d0
0xfffffff0087d1b04: a0050034  cbz	w0, #0xfffffff0087d1bb8
0xfffffff0087d1b08: 000a8052  mov	w0, #0x50
0xfffffff0087d1b0c: 43a70294  bl	#0xfffffff00887b818
0xfffffff0087d1b10: f60300aa  mov	x22, x0
0xfffffff0087d1b14: a6890394  bl	#0xfffffff0088b41ac
0xfffffff0087d1b18: f50300aa  mov	x21, x0
0xfffffff0087d1b1c: e0008052  mov	w0, #7
0xfffffff0087d1b20: 4ca70294  bl	#0xfffffff00887b850
0xfffffff0087d1b24: f6010034  cbz	w22, #0xfffffff0087d1b60
0xfffffff0087d1b28: 68a240b9  ldr	w8, [x19, #0xa0]
0xfffffff0087d1b2c: f42303a9  stp	x20, x8, [sp, #0x30]
0xfffffff0087d1b30: 0852ff90  adrp	x8, #0xfffffff007211000
