; Candidate 4241
; ADRP+ADD at VM 0xfffffff00879850c (fileoff 0x179450c): page=0x1fe999000 add_imm=0xd90

0xfffffff00879848c: 891240b9  ldr	w9, [x20, #0x10]
0xfffffff008798490: 69c61bb9  str	w9, [x19, #0x1bc4]
0xfffffff008798494: 69c25bb9  ldr	w9, [x19, #0x1bc0]
0xfffffff008798498: 69ca1bb9  str	w9, [x19, #0x1bc8]
0xfffffff00879849c: 08711d12  and	w8, w8, #0xfffffff8
0xfffffff0087984a0: 1f410071  cmp	w8, #0x10
0xfffffff0087984a4: 41000054  b.ne	#0xfffffff0087984ac
0xfffffff0087984a8: 600e06f9  str	x0, [x19, #0xc18]
0xfffffff0087984ac: 600000b4  cbz	x0, #0xfffffff0087984b8
0xfffffff0087984b0: 002c40b9  ldr	w0, [x0, #0x2c]
0xfffffff0087984b4: 02000014  b	#0xfffffff0087984bc
0xfffffff0087984b8: 00028052  mov	w0, #0x10
0xfffffff0087984bc: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0087984c0: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0087984c4: ff0f5fd6  retab	
0xfffffff0087984c8: 7f2303d5  pacibsp	
0xfffffff0087984cc: ff8300d1  sub	sp, sp, #0x20
0xfffffff0087984d0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0087984d4: fd430091  add	x29, sp, #0x10
0xfffffff0087984d8: 09008052  mov	w9, #0
0xfffffff0087984dc: 080080d2  mov	x8, #0
0xfffffff0087984e0: 0a00088b  add	x10, x0, x8
0xfffffff0087984e4: 4b414039  ldrb	w11, [x10, #0x10]
0xfffffff0087984e8: 6b020034  cbz	w11, #0xfffffff008798534
0xfffffff0087984ec: 08010391  add	x8, x8, #0xc0
0xfffffff0087984f0: 29050011  add	w9, w9, #1
0xfffffff0087984f4: 1f0130f1  cmp	x8, #0xc00
0xfffffff0087984f8: 41ffff54  b.ne	#0xfffffff0087984e0
0xfffffff0087984fc: 88188052  mov	w8, #0xc4
0xfffffff008798500: 094efff0  adrp	x9, #0xfffffff00715b000
0xfffffff008798504: 29dd3d91  add	x9, x9, #0xf77
0xfffffff008798508: e92300a9  stp	x9, x8, [sp]
0xfffffff00879850c: c04cffb0  adrp	x0, #0xfffffff007131000
0xfffffff008798510: 00403691  add	x0, x0, #0xd90
0xfffffff008798514: 2193ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008798518: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879851c: 834dff90  adrp	x3, #0xfffffff007148000
0xfffffff008798520: 63443b91  add	x3, x3, #0xed1
0xfffffff008798524: 02008052  mov	w2, #0
0xfffffff008798528: 026bee97  bl	#0xfffffff008333130
0xfffffff00879852c: 080080d2  mov	x8, #0
0xfffffff008798530: 17000014  b	#0xfffffff00879858c
0xfffffff008798534: 48410091  add	x8, x10, #0x10
0xfffffff008798538: 210041ad  ldp	q1, q0, [x1, #0x20]
0xfffffff00879853c: 220c40ad  ldp	q2, q3, [x1]
0xfffffff008798540: 428d00ad  stp	q2, q3, [x10, #0x10]
0xfffffff008798544: 418101ad  stp	q1, q0, [x10, #0x30]
0xfffffff008798548: 200442ad  ldp	q0, q1, [x1, #0x40]
0xfffffff00879854c: 220c43ad  ldp	q2, q3, [x1, #0x60]
0xfffffff008798550: 428d03ad  stp	q2, q3, [x10, #0x70]
0xfffffff008798554: 408502ad  stp	q0, q1, [x10, #0x50]
0xfffffff008798558: 200444ad  ldp	q0, q1, [x1, #0x80]
0xfffffff00879855c: 220c45ad  ldp	q2, q3, [x1, #0xa0]
0xfffffff008798560: 428d05ad  stp	q2, q3, [x10, #0xb0]
0xfffffff008798564: 408504ad  stp	q0, q1, [x10, #0x90]
0xfffffff008798568: 6b4efff0  adrp	x11, #0xfffffff007167000
0xfffffff00879856c: 603547fd  ldr	d0, [x11, #0xe68]
0xfffffff008798570: 404102fc  stur	d0, [x10, #0x24]
0xfffffff008798574: 2b008052  mov	w11, #1
0xfffffff008798578: 4b410039  strb	w11, [x10, #0x10]
0xfffffff00879857c: 493d00b9  str	w9, [x10, #0x3c]
0xfffffff008798580: 09104cb9  ldr	w9, [x0, #0xc10]
0xfffffff008798584: 29050011  add	w9, w9, #1
0xfffffff008798588: 09100cb9  str	w9, [x0, #0xc10]
