; Candidate 16445
; ADRP+ADD at VM 0xfffffff009eab4a0 (fileoff 0x2ea74a0): page=0x1fd98d000 add_imm=0xd22

0xfffffff009eab420: 00803991  add	x0, x0, #0xe60
0xfffffff009eab424: 0f307c97  bl	#0xfffffff007db7460
0xfffffff009eab428: e01f40f9  ldr	x0, [sp, #0x38]
0xfffffff009eab42c: 402100b4  cbz	x0, #0xfffffff009eab854
0xfffffff009eab430: 1bdb0094  bl	#0xfffffff009ee209c
0xfffffff009eab434: e12340f9  ldr	x1, [sp, #0x40]
0xfffffff009eab438: 212000b4  cbz	x1, #0xfffffff009eab83c
0xfffffff009eab43c: e00313aa  mov	x0, x19
0xfffffff009eab440: 020080d2  mov	x2, #0
0xfffffff009eab444: c3310194  bl	#0xfffffff009ef7b50
0xfffffff009eab448: 615a4ff9  ldr	x1, [x19, #0x1eb0]
0xfffffff009eab44c: 010100b4  cbz	x1, #0xfffffff009eab46c
0xfffffff009eab450: e8128092  mov	x8, #-0x98
0xfffffff009eab454: 080328f8  ldadd	x8, x8, [x24]
0xfffffff009eab458: 7f5a0ff9  str	xzr, [x19, #0x1eb0]
0xfffffff009eab45c: 60f4fef0  adrp	x0, #0xfffffff007d3a000
0xfffffff009eab460: 00e00091  add	x0, x0, #0x38
0xfffffff009eab464: 02138052  mov	w2, #0x98
0xfffffff009eab468: 60ae9297  bl	#0xfffffff008356de8
0xfffffff009eab46c: 61564ff9  ldr	x1, [x19, #0x1ea8]
0xfffffff009eab470: e10000b4  cbz	x1, #0xfffffff009eab48c
0xfffffff009eab474: 7f560ff9  str	xzr, [x19, #0x1ea8]
0xfffffff009eab478: 40f4fef0  adrp	x0, #0xfffffff007d36000
0xfffffff009eab47c: 00603d91  add	x0, x0, #0xf58
0xfffffff009eab480: a3ac9297  bl	#0xfffffff00835670c
0xfffffff009eab484: e8038092  mov	x8, #-0x20
0xfffffff009eab488: 080328f8  ldadd	x8, x8, [x24]
0xfffffff009eab48c: 68ccfeb0  adrp	x8, #0xfffffff007838000
0xfffffff009eab490: 08f93491  add	x8, x8, #0xd3e
0xfffffff009eab494: e9c18b52  mov	w9, #0x5e0f
0xfffffff009eab498: e9db00a9  stp	x9, x22, [sp, #8]
0xfffffff009eab49c: e80300f9  str	x8, [sp]
0xfffffff009eab4a0: 60ccfeb0  adrp	x0, #0xfffffff007838000
0xfffffff009eab4a4: 00883491  add	x0, x0, #0xd22
0xfffffff009eab4a8: ee2f7c97  bl	#0xfffffff007db7460
0xfffffff009eab4ac: e82f40f9  ldr	x8, [sp, #0x58]
0xfffffff009eab4b0: 09f4fef0  adrp	x9, #0xfffffff007d2e000
0xfffffff009eab4b4: 29d147f9  ldr	x9, [x9, #0xfa0]
0xfffffff009eab4b8: 290140f9  ldr	x9, [x9]
0xfffffff009eab4bc: 3f0108eb  cmp	x9, x8
0xfffffff009eab4c0: c11b0054  b.ne	#0xfffffff009eab838
0xfffffff009eab4c4: fd7b4ba9  ldp	x29, x30, [sp, #0xb0]
0xfffffff009eab4c8: f44f4aa9  ldp	x20, x19, [sp, #0xa0]
0xfffffff009eab4cc: f65749a9  ldp	x22, x21, [sp, #0x90]
0xfffffff009eab4d0: f85f48a9  ldp	x24, x23, [sp, #0x80]
0xfffffff009eab4d4: fa6747a9  ldp	x26, x25, [sp, #0x70]
0xfffffff009eab4d8: fc6f46a9  ldp	x28, x27, [sp, #0x60]
0xfffffff009eab4dc: ff030391  add	sp, sp, #0xc0
0xfffffff009eab4e0: ff0f5fd6  retab	
0xfffffff009eab4e4: e82340f9  ldr	x8, [sp, #0x40]
0xfffffff009eab4e8: 68360ff9  str	x8, [x19, #0x1e68]
0xfffffff009eab4ec: e81f40f9  ldr	x8, [sp, #0x38]
0xfffffff009eab4f0: 68520ff9  str	x8, [x19, #0x1ea0]
0xfffffff009eab4f4: e81b40f9  ldr	x8, [sp, #0x30]
0xfffffff009eab4f8: 683a0ff9  str	x8, [x19, #0x1e70]
0xfffffff009eab4fc: a82240b9  ldr	w8, [x21, #0x20]
0xfffffff009eab500: 1f090071  cmp	w8, #2
0xfffffff009eab504: c1060054  b.ne	#0xfffffff009eab5dc
0xfffffff009eab508: 19008052  mov	w25, #0
0xfffffff009eab50c: ff7f04a9  stp	xzr, xzr, [sp, #0x40]
0xfffffff009eab510: 56f4feb0  adrp	x22, #0xfffffff007d34000
0xfffffff009eab514: d6623391  add	x22, x22, #0xcd8
0xfffffff009eab518: ff2b00f9  str	xzr, [sp, #0x50]
0xfffffff009eab51c: e00313aa  mov	x0, x19
