; Candidate 6048
; ADRP+ADD at VM 0xfffffff0088111cc (fileoff 0x180d1cc): page=0x1fea02000 add_imm=0xe0f

0xfffffff00881114c: fd430491  add	x29, sp, #0x110
0xfffffff008811150: f60301aa  mov	x22, x1
0xfffffff008811154: f30300aa  mov	x19, x0
0xfffffff008811158: a88ffff0  adrp	x8, #0xfffffff007a08000
0xfffffff00881115c: 082942f9  ldr	x8, [x8, #0x450]
0xfffffff008811160: 080140f9  ldr	x8, [x8]
0xfffffff008811164: a8831bf8  stur	x8, [x29, #-0x48]
0xfffffff008811168: 08bc4391  add	x8, x0, #0xef, lsl #12
0xfffffff00881116c: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008811170: e00305ad  stp	q0, q0, [sp, #0xa0]
0xfffffff008811174: 14813191  add	x20, x8, #0xc60
0xfffffff008811178: e00304ad  stp	q0, q0, [sp, #0x80]
0xfffffff00881117c: e00303ad  stp	q0, q0, [sp, #0x60]
0xfffffff008811180: e00302ad  stp	q0, q0, [sp, #0x40]
0xfffffff008811184: 800e8052  mov	w0, #0x74
0xfffffff008811188: e1008052  mov	w1, #7
0xfffffff00881118c: 91a90194  bl	#0xfffffff00887b7d0
0xfffffff008811190: a0040034  cbz	w0, #0xfffffff008811224
0xfffffff008811194: 800e8052  mov	w0, #0x74
0xfffffff008811198: a0a90194  bl	#0xfffffff00887b818
0xfffffff00881119c: f70300aa  mov	x23, x0
0xfffffff0088111a0: 038c0294  bl	#0xfffffff0088b41ac
0xfffffff0088111a4: f50300aa  mov	x21, x0
0xfffffff0088111a8: e0008052  mov	w0, #7
0xfffffff0088111ac: a9a90194  bl	#0xfffffff00887b850
0xfffffff0088111b0: 77010034  cbz	w23, #0xfffffff0088111dc
0xfffffff0088111b4: 6850ff90  adrp	x8, #0xfffffff00721d000
0xfffffff0088111b8: 08950a91  add	x8, x8, #0x2a5
0xfffffff0088111bc: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088111c0: 880e8052  mov	w8, #0x74
0xfffffff0088111c4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088111c8: f50300f9  str	x21, [sp]
0xfffffff0088111cc: 0050ffd0  adrp	x0, #0xfffffff007213000
0xfffffff0088111d0: 003c3891  add	x0, x0, #0xe0f
0xfffffff0088111d4: a398d697  bl	#0xfffffff007db7460
0xfffffff0088111d8: 13000014  b	#0xfffffff008811224
0xfffffff0088111dc: f48b0294  bl	#0xfffffff0088b41ac
0xfffffff0088111e0: f50300aa  mov	x21, x0
0xfffffff0088111e4: e0008052  mov	w0, #7
0xfffffff0088111e8: 9aa90194  bl	#0xfffffff00887b850
0xfffffff0088111ec: 6850ff90  adrp	x8, #0xfffffff00721d000
0xfffffff0088111f0: 08950a91  add	x8, x8, #0x2a5
0xfffffff0088111f4: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088111f8: 880e8052  mov	w8, #0x74
0xfffffff0088111fc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008811200: f50300f9  str	x21, [sp]
0xfffffff008811204: c04eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008811208: 00003a91  add	x0, x0, #0xe80
0xfffffff00881120c: a18ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff008811210: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008811214: a351ffd0  adrp	x3, #0xfffffff007247000
0xfffffff008811218: 63a42091  add	x3, x3, #0x829
0xfffffff00881121c: 02008052  mov	w2, #0
0xfffffff008811220: c487ec97  bl	#0xfffffff008333130
0xfffffff008811224: 20008052  mov	w0, #1
0xfffffff008811228: 63870294  bl	#0xfffffff0088b2fb4
0xfffffff00881122c: 085c40a9  ldp	x8, x23, [x0]
0xfffffff008811230: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff008811234: e82700a9  stp	x8, x9, [sp]
0xfffffff008811238: 6250ff90  adrp	x2, #0xfffffff00721d000
0xfffffff00881123c: 42fc0a91  add	x2, x2, #0x2bf
0xfffffff008811240: e0030191  add	x0, sp, #0x40
0xfffffff008811244: 01108052  mov	w1, #0x80
0xfffffff008811248: 9bd80194  bl	#0xfffffff0088874b4
