; Candidate 16681
; ADRP+ADD at VM 0xfffffff009f24e64 (fileoff 0x2f20e64): page=0x1fd934000 add_imm=0xd3a

0xfffffff009f24de4: 09410079  strh	w9, [x8, #0x20]
0xfffffff009f24de8: f6040034  cbz	w22, #0xfffffff009f24e84
0xfffffff009f24dec: e0c20291  add	x0, x23, #0xb0
0xfffffff009f24df0: 83267a97  bl	#0xfffffff007dae7fc
0xfffffff009f24df4: e00317aa  mov	x0, x23
0xfffffff009f24df8: 22000014  b	#0xfffffff009f24e80
0xfffffff009f24dfc: e00316aa  mov	x0, x22
0xfffffff009f24e00: e1031aaa  mov	x1, x26
0xfffffff009f24e04: 02008052  mov	w2, #0
0xfffffff009f24e08: e30313aa  mov	x3, x19
0xfffffff009f24e0c: 1af6ff97  bl	#0xfffffff009f22674
0xfffffff009f24e10: e00315aa  mov	x0, x21
0xfffffff009f24e14: e10313aa  mov	x1, x19
0xfffffff009f24e18: 1d540094  bl	#0xfffffff009f39e8c
0xfffffff009f24e1c: 888640f9  ldr	x8, [x20, #0x108]
0xfffffff009f24e20: 08810091  add	x8, x8, #0x20
0xfffffff009f24e24: 09008092  mov	x9, #-1
0xfffffff009f24e28: 080129f8  ldadd	x9, x8, [x8]
0xfffffff009f24e2c: e00314aa  mov	x0, x20
0xfffffff009f24e30: e10313aa  mov	x1, x19
0xfffffff009f24e34: 020080d2  mov	x2, #0
0xfffffff009f24e38: fd610094  bl	#0xfffffff009f3d62c
0xfffffff009f24e3c: 0d000014  b	#0xfffffff009f24e70
0xfffffff009f24e40: 880240f9  ldr	x8, [x20]
0xfffffff009f24e44: 08c140f9  ldr	x8, [x8, #0x180]
0xfffffff009f24e48: 086540f9  ldr	x8, [x8, #0xc8]
0xfffffff009f24e4c: 088942f9  ldr	x8, [x8, #0x510]
0xfffffff009f24e50: e80301a9  stp	x8, x0, [sp, #0x10]
0xfffffff009f24e54: a8c9feb0  adrp	x8, #0xfffffff007859000
0xfffffff009f24e58: 089d1d91  add	x8, x8, #0x767
0xfffffff009f24e5c: 89308252  mov	w9, #0x1184
0xfffffff009f24e60: e82700a9  stp	x8, x9, [sp]
0xfffffff009f24e64: a0c9fe90  adrp	x0, #0xfffffff007858000
0xfffffff009f24e68: 00e83491  add	x0, x0, #0xd3a
0xfffffff009f24e6c: 966afd97  bl	#0xfffffff009e7f8c4
0xfffffff009f24e70: f31f40f9  ldr	x19, [sp, #0x38]
0xfffffff009f24e74: 60c20291  add	x0, x19, #0xb0
0xfffffff009f24e78: 61267a97  bl	#0xfffffff007dae7fc
0xfffffff009f24e7c: e00313aa  mov	x0, x19
0xfffffff009f24e80: 70480094  bl	#0xfffffff009f37040
0xfffffff009f24e84: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff009f24e88: 49f0fed0  adrp	x9, #0xfffffff007d2e000
0xfffffff009f24e8c: 29d147f9  ldr	x9, [x9, #0xfa0]
0xfffffff009f24e90: 290140f9  ldr	x9, [x9]
0xfffffff009f24e94: 3f0108eb  cmp	x9, x8
0xfffffff009f24e98: 21010054  b.ne	#0xfffffff009f24ebc
0xfffffff009f24e9c: fd7b56a9  ldp	x29, x30, [sp, #0x160]
0xfffffff009f24ea0: f44f55a9  ldp	x20, x19, [sp, #0x150]
0xfffffff009f24ea4: f65754a9  ldp	x22, x21, [sp, #0x140]
0xfffffff009f24ea8: f85f53a9  ldp	x24, x23, [sp, #0x130]
0xfffffff009f24eac: fa6752a9  ldp	x26, x25, [sp, #0x120]
0xfffffff009f24eb0: fc6f51a9  ldp	x28, x27, [sp, #0x110]
0xfffffff009f24eb4: ffc30591  add	sp, sp, #0x170
0xfffffff009f24eb8: ff0f5fd6  retab	
0xfffffff009f24ebc: e4e37897  bl	#0xfffffff007d5de4c
0xfffffff009f24ec0: 7f2303d5  pacibsp	
0xfffffff009f24ec4: ffc301d1  sub	sp, sp, #0x70
0xfffffff009f24ec8: fc6f01a9  stp	x28, x27, [sp, #0x10]
0xfffffff009f24ecc: fa6702a9  stp	x26, x25, [sp, #0x20]
0xfffffff009f24ed0: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff009f24ed4: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff009f24ed8: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff009f24edc: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff009f24ee0: fd830191  add	x29, sp, #0x60
