; Candidate 7430
; ADRP+ADD at VM 0xfffffff00886d018 (fileoff 0x1869018): page=0x1fe97c000 add_imm=0xe80

0xfffffff00886cf98: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff00886cf9c: c84dff90  adrp	x8, #0xfffffff007224000
0xfffffff00886cfa0: 08d12491  add	x8, x8, #0x934
0xfffffff00886cfa4: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00886cfa8: c84dfff0  adrp	x8, #0xfffffff007227000
0xfffffff00886cfac: 08811191  add	x8, x8, #0x460
0xfffffff00886cfb0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00886cfb4: 680c8052  mov	w8, #0x63
0xfffffff00886cfb8: e04dffb0  adrp	x0, #0xfffffff007229000
0xfffffff00886cfbc: 002c3991  add	x0, x0, #0xe4b
0xfffffff00886cfc0: f92300a9  stp	x25, x8, [sp]
0xfffffff00886cfc4: 2729d597  bl	#0xfffffff007db7460
0xfffffff00886cfc8: 1a000014  b	#0xfffffff00886d030
0xfffffff00886cfcc: 781c0194  bl	#0xfffffff0088b41ac
0xfffffff00886cfd0: f90300aa  mov	x25, x0
0xfffffff00886cfd4: e0008052  mov	w0, #7
0xfffffff00886cfd8: 1e3a0094  bl	#0xfffffff00887b850
0xfffffff00886cfdc: e80318aa  mov	x8, x24
0xfffffff00886cfe0: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff00886cfe4: f72305a9  stp	x23, x8, [sp, #0x50]
0xfffffff00886cfe8: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff00886cfec: e95303a9  stp	x9, x20, [sp, #0x30]
0xfffffff00886cff0: c84dff90  adrp	x8, #0xfffffff007224000
0xfffffff00886cff4: 08d12491  add	x8, x8, #0x934
0xfffffff00886cff8: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00886cffc: c84dfff0  adrp	x8, #0xfffffff007227000
0xfffffff00886d000: 08811191  add	x8, x8, #0x460
0xfffffff00886d004: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00886d008: 680c8052  mov	w8, #0x63
0xfffffff00886d00c: 434ffff0  adrp	x3, #0xfffffff007258000
0xfffffff00886d010: 63d00091  add	x3, x3, #0x34
0xfffffff00886d014: f92300a9  stp	x25, x8, [sp]
0xfffffff00886d018: e04bff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00886d01c: 00003a91  add	x0, x0, #0xe80
0xfffffff00886d020: c18cfff0  adrp	x1, #0xfffffff007a08000
0xfffffff00886d024: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00886d028: 02008052  mov	w2, #0
0xfffffff00886d02c: 4118eb97  bl	#0xfffffff008333130
0xfffffff00886d030: e00318aa  mov	x0, x24
0xfffffff00886d034: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff00886d038: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff00886d03c: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff00886d040: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff00886d044: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff00886d048: ffc30291  add	sp, sp, #0xb0
0xfffffff00886d04c: ff0f5fd6  retab	
0xfffffff00886d050: 7f2303d5  pacibsp	
0xfffffff00886d054: ffc302d1  sub	sp, sp, #0xb0
0xfffffff00886d058: fa6706a9  stp	x26, x25, [sp, #0x60]
0xfffffff00886d05c: f85f07a9  stp	x24, x23, [sp, #0x70]
0xfffffff00886d060: f65708a9  stp	x22, x21, [sp, #0x80]
0xfffffff00886d064: f44f09a9  stp	x20, x19, [sp, #0x90]
0xfffffff00886d068: fd7b0aa9  stp	x29, x30, [sp, #0xa0]
0xfffffff00886d06c: fd830291  add	x29, sp, #0xa0
0xfffffff00886d070: f60303aa  mov	x22, x3
0xfffffff00886d074: f50302aa  mov	x21, x2
0xfffffff00886d078: f40301aa  mov	x20, x1
0xfffffff00886d07c: f30300aa  mov	x19, x0
0xfffffff00886d080: 600c8052  mov	w0, #0x63
0xfffffff00886d084: e1008052  mov	w1, #7
0xfffffff00886d088: d2390094  bl	#0xfffffff00887b7d0
0xfffffff00886d08c: 40060034  cbz	w0, #0xfffffff00886d154
0xfffffff00886d090: 600c8052  mov	w0, #0x63
0xfffffff00886d094: e1390094  bl	#0xfffffff00887b818
