; Candidate 2903
; ADRP+ADD at VM 0xfffffff0086f4980 (fileoff 0x16f0980): page=0x1fea3d000 add_imm=0xd90

0xfffffff0086f4900: 2a011f32  orr	w10, w9, #2
0xfffffff0086f4904: 5f0d0071  cmp	w10, #3
0xfffffff0086f4908: e1050054  b.ne	#0xfffffff0086f49c4
0xfffffff0086f490c: 88974039  ldrb	w8, [x28, #0x25]
0xfffffff0086f4910: ea0314aa  mov	x10, x20
0xfffffff0086f4914: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff0086f4918: f5a700a9  stp	x21, x9, [sp, #8]
0xfffffff0086f491c: fa0300f9  str	x26, [sp]
0xfffffff0086f4920: e051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086f4924: 00403691  add	x0, x0, #0xd90
0xfffffff0086f4928: 4198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f492c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f4930: 0352ff90  adrp	x3, #0xfffffff007134000
0xfffffff0086f4934: 631c3a91  add	x3, x3, #0xe87
0xfffffff0086f4938: 02008052  mov	w2, #0
0xfffffff0086f493c: fdf9f097  bl	#0xfffffff008333130
0xfffffff0086f4940: 08b34039  ldrb	w8, [x24, #0x2c]
0xfffffff0086f4944: a8000034  cbz	w8, #0xfffffff0086f4958
0xfffffff0086f4948: 08008052  mov	w8, #0
0xfffffff0086f494c: 1fb70039  strb	wzr, [x24, #0x2d]
0xfffffff0086f4950: 36268052  mov	w22, #0x131
0xfffffff0086f4954: 07000014  b	#0xfffffff0086f4970
0xfffffff0086f4958: 28008052  mov	w8, #1
0xfffffff0086f495c: 08b70039  strb	w8, [x24, #0x2d]
0xfffffff0086f4960: 60665cf9  ldr	x0, [x19, #0x38c8]
0xfffffff0086f4964: 5d89ff97  bl	#0xfffffff0086d6ed8
0xfffffff0086f4968: 08b74039  ldrb	w8, [x24, #0x2d]
0xfffffff0086f496c: 96278052  mov	w22, #0x13c
0xfffffff0086f4970: 89974039  ldrb	w9, [x28, #0x25]
0xfffffff0086f4974: e95302a9  stp	x9, x20, [sp, #0x20]
0xfffffff0086f4978: f62301a9  stp	x22, x8, [sp, #0x10]
0xfffffff0086f497c: fa5700a9  stp	x26, x21, [sp]
0xfffffff0086f4980: e051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086f4984: 00403691  add	x0, x0, #0xd90
0xfffffff0086f4988: 4198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f498c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f4990: 0352ffb0  adrp	x3, #0xfffffff007135000
0xfffffff0086f4994: 63b00891  add	x3, x3, #0x22c
0xfffffff0086f4998: 02008052  mov	w2, #0
0xfffffff0086f499c: e5f9f097  bl	#0xfffffff008333130
0xfffffff0086f49a0: e00316aa  mov	x0, x22
0xfffffff0086f49a4: fd7b4ba9  ldp	x29, x30, [sp, #0xb0]
0xfffffff0086f49a8: f44f4aa9  ldp	x20, x19, [sp, #0xa0]
0xfffffff0086f49ac: f65749a9  ldp	x22, x21, [sp, #0x90]
0xfffffff0086f49b0: f85f48a9  ldp	x24, x23, [sp, #0x80]
0xfffffff0086f49b4: fa6747a9  ldp	x26, x25, [sp, #0x70]
0xfffffff0086f49b8: fc6f46a9  ldp	x28, x27, [sp, #0x60]
0xfffffff0086f49bc: ff030391  add	sp, sp, #0xc0
0xfffffff0086f49c0: ff0f5fd6  retab	
0xfffffff0086f49c4: 09b74039  ldrb	w9, [x24, #0x2d]
0xfffffff0086f49c8: 89000034  cbz	w9, #0xfffffff0086f49d8
0xfffffff0086f49cc: 09954039  ldrb	w9, [x8, #0x25]
0xfffffff0086f49d0: 89fbff35  cbnz	w9, #0xfffffff0086f4940
0xfffffff0086f49d4: 1fb70039  strb	wzr, [x24, #0x2d]
0xfffffff0086f49d8: f92700f9  str	x25, [sp, #0x48]
0xfffffff0086f49dc: fb7e4093  sxtw	x27, w23
0xfffffff0086f49e0: 89af4039  ldrb	w9, [x28, #0x2b]
0xfffffff0086f49e4: 8ab34039  ldrb	w10, [x28, #0x2c]
0xfffffff0086f49e8: 4905098b  add	x9, x10, x9, lsl #1
0xfffffff0086f49ec: 8a53fff0  adrp	x10, #0xfffffff007167000
0xfffffff0086f49f0: 4a413b91  add	x10, x10, #0xed0
0xfffffff0086f49f4: 497969b8  ldr	w9, [x10, x9, lsl #2]
0xfffffff0086f49f8: 090500b9  str	w9, [x8, #4]
0xfffffff0086f49fc: 60665cf9  ldr	x0, [x19, #0x38c8]
