; Candidate 3973
; ADRP+ADD at VM 0xfffffff00877d464 (fileoff 0x1779464): page=0x1fe9b4000 add_imm=0xd90

0xfffffff00877d3e4: f70f00f9  str	x23, [sp, #0x18]
0xfffffff00877d3e8: 4a0d00b4  cbz	x10, #0xfffffff00877d590
0xfffffff00877d3ec: 150080d2  mov	x21, #0
0xfffffff00877d3f0: ab0d40f9  ldr	x11, [x13, #0x18]
0xfffffff00877d3f4: 7c595cf9  ldr	x28, [x11, #0x38b0]
0xfffffff00877d3f8: 8a03178b  add	x10, x28, x23
0xfffffff00877d3fc: 4c694039  ldrb	w12, [x10, #0x1a]
0xfffffff00877d400: ec0b0035  cbnz	w12, #0xfffffff00877d57c
0xfffffff00877d404: d90a0079  strh	w25, [x22, #4]
0xfffffff00877d408: df0e0079  strh	wzr, [x22, #6]
0xfffffff00877d40c: db160079  strh	w27, [x22, #0xa]
0xfffffff00877d410: c8b88752  mov	w8, #0x3dc6
0xfffffff00877d414: 68696838  ldrb	w8, [x11, x8]
0xfffffff00877d418: 88000034  cbz	w8, #0xfffffff00877d428
0xfffffff00877d41c: 74e55ef9  ldr	x20, [x11, #0x3dc8]
0xfffffff00877d420: 88220091  add	x8, x20, #8
0xfffffff00877d424: 04000014  b	#0xfffffff00877d434
0xfffffff00877d428: 680d42f9  ldr	x8, [x11, #0x418]
0xfffffff00877d42c: 14210091  add	x20, x8, #8
0xfffffff00877d430: 08410091  add	x8, x8, #0x10
0xfffffff00877d434: 491540b9  ldr	w9, [x10, #0x14]
0xfffffff00877d438: ea1b40f9  ldr	x10, [sp, #0x30]
0xfffffff00877d43c: 4901098b  add	x9, x10, x9
0xfffffff00877d440: 080140f9  ldr	x8, [x8]
0xfffffff00877d444: 3a0108cb  sub	x26, x9, x8
0xfffffff00877d448: 930a40f9  ldr	x19, [x20, #0x10]
0xfffffff00877d44c: 58ff60d3  lsr	x24, x26, #0x20
0xfffffff00877d450: b80100b4  cbz	x24, #0xfffffff00877d484
0xfffffff00877d454: c9898052  mov	w9, #0x44e
0xfffffff00877d458: 884effd0  adrp	x8, #0xfffffff00714f000
0xfffffff00877d45c: 08b90a91  add	x8, x8, #0x2ae
0xfffffff00877d460: e82700a9  stp	x8, x9, [sp]
0xfffffff00877d464: a04dff90  adrp	x0, #0xfffffff007131000
0xfffffff00877d468: 00403691  add	x0, x0, #0xd90
0xfffffff00877d46c: 0194ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00877d470: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00877d474: 02008052  mov	w2, #0
0xfffffff00877d478: 234efff0  adrp	x3, #0xfffffff007144000
0xfffffff00877d47c: 63603591  add	x3, x3, #0xd58
0xfffffff00877d480: 2cd7ee97  bl	#0xfffffff008333130
0xfffffff00877d484: 68423aab  adds	x8, x19, w26, uxtw
0xfffffff00877d488: 42090054  b.hs	#0xfffffff00877d5b0
0xfffffff00877d48c: 08a560d3  ubfx	x8, x8, #0x20, #0xa
0xfffffff00877d490: c8260079  strh	w8, [x22, #0x12]
0xfffffff00877d494: 930a40f9  ldr	x19, [x20, #0x10]
0xfffffff00877d498: b80100b4  cbz	x24, #0xfffffff00877d4cc
0xfffffff00877d49c: e9898052  mov	w9, #0x44f
0xfffffff00877d4a0: 884effd0  adrp	x8, #0xfffffff00714f000
0xfffffff00877d4a4: 08b90a91  add	x8, x8, #0x2ae
0xfffffff00877d4a8: e82700a9  stp	x8, x9, [sp]
0xfffffff00877d4ac: a04dff90  adrp	x0, #0xfffffff007131000
0xfffffff00877d4b0: 00403691  add	x0, x0, #0xd90
0xfffffff00877d4b4: 0194ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00877d4b8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00877d4bc: 02008052  mov	w2, #0
0xfffffff00877d4c0: 234efff0  adrp	x3, #0xfffffff007144000
0xfffffff00877d4c4: 63303691  add	x3, x3, #0xd8c
0xfffffff00877d4c8: 1ad7ee97  bl	#0xfffffff008333130
0xfffffff00877d4cc: 487f4092  and	x8, x26, #0xffffffff
0xfffffff00877d4d0: 680208ab  adds	x8, x19, x8
0xfffffff00877d4d4: e2060054  b.hs	#0xfffffff00877d5b0
0xfffffff00877d4d8: 8903178b  add	x9, x28, x23
0xfffffff00877d4dc: 2a1140b9  ldr	w10, [x9, #0x10]
0xfffffff00877d4e0: c8aa0229  stp	w8, w10, [x22, #0x14]
