; Candidate 10822
; ADRP+ADD at VM 0xfffffff008de81b8 (fileoff 0x1de41b8): page=0x1fe5dc000 add_imm=0xe15

0xfffffff008de8138: 4a553291  add	x10, x10, #0xc95
0xfffffff008de813c: 2b000014  b	#0xfffffff008de81e8
0xfffffff008de8140: 48378052  mov	w8, #0x1ba
0xfffffff008de8144: c92effd0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de8148: 29e92e91  add	x9, x9, #0xbba
0xfffffff008de814c: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de8150: e82eff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008de8154: 08493991  add	x8, x8, #0xe52
0xfffffff008de8158: ca2effd0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de815c: 4aad3291  add	x10, x10, #0xcab
0xfffffff008de8160: 22000014  b	#0xfffffff008de81e8
0xfffffff008de8164: 68378052  mov	w8, #0x1bb
0xfffffff008de8168: c92effd0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de816c: 29e92e91  add	x9, x9, #0xbba
0xfffffff008de8170: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de8174: e82eff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008de8178: 08493991  add	x8, x8, #0xe52
0xfffffff008de817c: ca2effd0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de8180: 4a713091  add	x10, x10, #0xc1c
0xfffffff008de8184: 19000014  b	#0xfffffff008de81e8
0xfffffff008de8188: fb0300aa  mov	x27, x0
0xfffffff008de818c: 687f4093  sxtw	x8, w27
0xfffffff008de8190: e9378052  mov	w9, #0x1bf
0xfffffff008de8194: ca2effd0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de8198: 4ae92e91  add	x10, x10, #0xbba
0xfffffff008de819c: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008de81a0: e92eff90  adrp	x9, #0xfffffff0073c4000
0xfffffff008de81a4: 29493991  add	x9, x9, #0xe52
0xfffffff008de81a8: eb2eff90  adrp	x11, #0xfffffff0073c4000
0xfffffff008de81ac: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008de81b0: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008de81b4: eb0300f9  str	x11, [sp]
0xfffffff008de81b8: e02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de81bc: 00543891  add	x0, x0, #0xe15
0xfffffff008de81c0: 98bbd597  bl	#0xfffffff008357020
0xfffffff008de81c4: bbffff17  b	#0xfffffff008de80b0
0xfffffff008de81c8: 08388052  mov	w8, #0x1c0
0xfffffff008de81cc: c92effd0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de81d0: 29e92e91  add	x9, x9, #0xbba
0xfffffff008de81d4: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de81d8: e82eff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008de81dc: 08493991  add	x8, x8, #0xe52
0xfffffff008de81e0: ca2effd0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de81e4: 4ad53291  add	x10, x10, #0xcb5
0xfffffff008de81e8: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008de81ec: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff008de81f0: e02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de81f4: 00543891  add	x0, x0, #0xe15
0xfffffff008de81f8: 8abbd597  bl	#0xfffffff008357020
0xfffffff008de81fc: 5b008012  mov	w27, #-3
0xfffffff008de8200: acffff17  b	#0xfffffff008de80b0
0xfffffff008de8204: 687f4093  sxtw	x8, w27
0xfffffff008de8208: a93c8052  mov	w9, #0x1e5
0xfffffff008de820c: ca2effd0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de8210: 4ae92e91  add	x10, x10, #0xbba
0xfffffff008de8214: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008de8218: e92eff90  adrp	x9, #0xfffffff0073c4000
0xfffffff008de821c: 29493991  add	x9, x9, #0xe52
0xfffffff008de8220: eb2eff90  adrp	x11, #0xfffffff0073c4000
0xfffffff008de8224: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008de8228: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008de822c: eb0300f9  str	x11, [sp]
0xfffffff008de8230: e02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de8234: 00543891  add	x0, x0, #0xe15
