; Candidate 15806
; ADRP+ADD at VM 0xfffffff009d33bfc (fileoff 0x2d2fbfc): page=0x1fd939000 add_imm=0xd5c

0xfffffff009d33b7c: 700000b4  cbz	x16, #0xfffffff009d33b88
0xfffffff009d33b80: d19f9cd2  mov	x17, #0xe4fe
0xfffffff009d33b84: 110a1fd7  braa	x16, x17
0xfffffff009d33b88: 00008052  mov	w0, #0
0xfffffff009d33b8c: c0035fd6  ret	
0xfffffff009d33b90: 7f2303d5  pacibsp	
0xfffffff009d33b94: ff4301d1  sub	sp, sp, #0x50
0xfffffff009d33b98: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff009d33b9c: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff009d33ba0: fd030191  add	x29, sp, #0x40
0xfffffff009d33ba4: f30301aa  mov	x19, x1
0xfffffff009d33ba8: 100040f9  ldr	x16, [x0]
0xfffffff009d33bac: f10300aa  mov	x17, x0
0xfffffff009d33bb0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009d33bb4: 301ac1da  autda	x16, x17
0xfffffff009d33bb8: 113d80d2  mov	x17, #0x1e8
0xfffffff009d33bbc: 1002118b  add	x16, x16, x17
0xfffffff009d33bc0: 080240f9  ldr	x8, [x16]
0xfffffff009d33bc4: e90310aa  mov	x9, x16
0xfffffff009d33bc8: 010080d2  mov	x1, #0
0xfffffff009d33bcc: f10309aa  mov	x17, x9
0xfffffff009d33bd0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009d33bd4: 11093fd7  blraa	x8, x17
0xfffffff009d33bd8: 680240b9  ldr	w8, [x19]
0xfffffff009d33bdc: cba58052  mov	w11, #0x52e
0xfffffff009d33be0: c9c9feb0  adrp	x9, #0xfffffff00766c000
0xfffffff009d33be4: 29d93691  add	x9, x9, #0xdb6
0xfffffff009d33be8: cac9feb0  adrp	x10, #0xfffffff00766c000
0xfffffff009d33bec: 4ac53691  add	x10, x10, #0xdb1
0xfffffff009d33bf0: e9af01a9  stp	x9, x11, [sp, #0x18]
0xfffffff009d33bf4: eaa300a9  stp	x10, x8, [sp, #8]
0xfffffff009d33bf8: e00300f9  str	x0, [sp]
0xfffffff009d33bfc: c0c9feb0  adrp	x0, #0xfffffff00766c000
0xfffffff009d33c00: 00703591  add	x0, x0, #0xd5c
0xfffffff009d33c04: 42829d97  bl	#0xfffffff00849450c
0xfffffff009d33c08: 7f2303d5  pacibsp	
0xfffffff009d33c0c: ffc300d1  sub	sp, sp, #0x30
0xfffffff009d33c10: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009d33c14: fd830091  add	x29, sp, #0x20
0xfffffff009d33c18: 100040f9  ldr	x16, [x0]
0xfffffff009d33c1c: f10300aa  mov	x17, x0
0xfffffff009d33c20: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009d33c24: 301ac1da  autda	x16, x17
0xfffffff009d33c28: 113d80d2  mov	x17, #0x1e8
0xfffffff009d33c2c: 1002118b  add	x16, x16, x17
0xfffffff009d33c30: 080240f9  ldr	x8, [x16]
0xfffffff009d33c34: e90310aa  mov	x9, x16
0xfffffff009d33c38: 010080d2  mov	x1, #0
0xfffffff009d33c3c: f10309aa  mov	x17, x9
0xfffffff009d33c40: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009d33c44: 11093fd7  blraa	x8, x17
0xfffffff009d33c48: 88888252  mov	w8, #0x1444
0xfffffff009d33c4c: c9c9feb0  adrp	x9, #0xfffffff00766c000
0xfffffff009d33c50: 29d93691  add	x9, x9, #0xdb6
0xfffffff009d33c54: cac9fed0  adrp	x10, #0xfffffff00766d000
0xfffffff009d33c58: 4a190f91  add	x10, x10, #0x3c6
0xfffffff009d33c5c: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009d33c60: e02b00a9  stp	x0, x10, [sp]
0xfffffff009d33c64: c0c9fed0  adrp	x0, #0xfffffff00766d000
0xfffffff009d33c68: 00f80d91  add	x0, x0, #0x37e
0xfffffff009d33c6c: 28829d97  bl	#0xfffffff00849450c
0xfffffff009d33c70: 7f2303d5  pacibsp	
0xfffffff009d33c74: ff4301d1  sub	sp, sp, #0x50
0xfffffff009d33c78: f44f03a9  stp	x20, x19, [sp, #0x30]
