; Candidate 6275
; ADRP+ADD at VM 0xfffffff00881ebfc (fileoff 0x181abfc): page=0x1fe9cb000 add_imm=0xe80

0xfffffff00881eb7c: 15730194  bl	#0xfffffff00887b7d0
0xfffffff00881eb80: e0040034  cbz	w0, #0xfffffff00881ec1c
0xfffffff00881eb84: a00e8052  mov	w0, #0x75
0xfffffff00881eb88: 24730194  bl	#0xfffffff00887b818
0xfffffff00881eb8c: f70300aa  mov	x23, x0
0xfffffff00881eb90: 87550294  bl	#0xfffffff0088b41ac
0xfffffff00881eb94: f60300aa  mov	x22, x0
0xfffffff00881eb98: 00018052  mov	w0, #8
0xfffffff00881eb9c: 2d730194  bl	#0xfffffff00887b850
0xfffffff00881eba0: 97010034  cbz	w23, #0xfffffff00881ebd0
0xfffffff00881eba4: f57f03a9  stp	x21, xzr, [sp, #0x30]
0xfffffff00881eba8: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff00881ebac: 0850ffd0  adrp	x8, #0xfffffff007220000
0xfffffff00881ebb0: 08ad0391  add	x8, x8, #0xeb
0xfffffff00881ebb4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00881ebb8: a80e8052  mov	w8, #0x75
0xfffffff00881ebbc: c04fff90  adrp	x0, #0xfffffff007216000
0xfffffff00881ebc0: 00ac3d91  add	x0, x0, #0xf6b
0xfffffff00881ebc4: f62300a9  stp	x22, x8, [sp]
0xfffffff00881ebc8: 2662d697  bl	#0xfffffff007db7460
0xfffffff00881ebcc: 14000014  b	#0xfffffff00881ec1c
0xfffffff00881ebd0: 77550294  bl	#0xfffffff0088b41ac
0xfffffff00881ebd4: f60300aa  mov	x22, x0
0xfffffff00881ebd8: 00018052  mov	w0, #8
0xfffffff00881ebdc: 1d730194  bl	#0xfffffff00887b850
0xfffffff00881ebe0: f57f03a9  stp	x21, xzr, [sp, #0x30]
0xfffffff00881ebe4: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff00881ebe8: 0850ffd0  adrp	x8, #0xfffffff007220000
0xfffffff00881ebec: 08ad0391  add	x8, x8, #0xeb
0xfffffff00881ebf0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00881ebf4: a80e8052  mov	w8, #0x75
0xfffffff00881ebf8: f62300a9  stp	x22, x8, [sp]
0xfffffff00881ebfc: 404efff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00881ec00: 00003a91  add	x0, x0, #0xe80
0xfffffff00881ec04: 418fffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00881ec08: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881ec0c: 6351ff90  adrp	x3, #0xfffffff00724a000
0xfffffff00881ec10: 63d41491  add	x3, x3, #0x535
0xfffffff00881ec14: 02008052  mov	w2, #0
0xfffffff00881ec18: 4651ec97  bl	#0xfffffff008333130
0xfffffff00881ec1c: 00008052  mov	w0, #0
0xfffffff00881ec20: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff00881ec24: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff00881ec28: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff00881ec2c: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff00881ec30: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff00881ec34: ff430291  add	sp, sp, #0x90
0xfffffff00881ec38: ff0f5fd6  retab	
0xfffffff00881ec3c: 7f2303d5  pacibsp	
0xfffffff00881ec40: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff00881ec44: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff00881ec48: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff00881ec4c: fd830091  add	x29, sp, #0x20
0xfffffff00881ec50: f30301aa  mov	x19, x1
0xfffffff00881ec54: f40300aa  mov	x20, x0
0xfffffff00881ec58: e00301aa  mov	x0, x1
0xfffffff00881ec5c: 35430094  bl	#0xfffffff00882f930
0xfffffff00881ec60: e00314aa  mov	x0, x20
0xfffffff00881ec64: f1440094  bl	#0xfffffff008830028
0xfffffff00881ec68: f50300aa  mov	x21, x0
0xfffffff00881ec6c: e00314aa  mov	x0, x20
0xfffffff00881ec70: 03450094  bl	#0xfffffff00883007c
0xfffffff00881ec74: bf0200eb  cmp	x21, x0
0xfffffff00881ec78: 00010054  b.eq	#0xfffffff00881ec98
