; Candidate 776
; ADRP+ADD at VM 0xfffffff00808bfc0 (fileoff 0x1087fc0): page=0x1fefe6000 add_imm=0xed7

0xfffffff00808bf40: af0140f9  ldr	x15, [x13]
0xfffffff00808bf44: ce512b8b  add	x14, x14, w11, uxtw #4
0xfffffff00808bf48: d00140f9  ldr	x16, [x14]
0xfffffff00808bf4c: ff0110eb  cmp	x15, x16
0xfffffff00808bf50: 04020054  b.mi	#0xfffffff00808bf90
0xfffffff00808bf54: c001c03d  ldr	q0, [x14]
0xfffffff00808bf58: e003803d  str	q0, [sp]
0xfffffff00808bf5c: a101c03d  ldr	q1, [x13]
0xfffffff00808bf60: c101803d  str	q1, [x14]
0xfffffff00808bf64: 0d0840f9  ldr	x13, [x0, #0x10]
0xfffffff00808bf68: a079aa3c  str	q0, [x13, x10, lsl #4]
0xfffffff00808bf6c: 0d0840b9  ldr	w13, [x0, #8]
0xfffffff00808bf70: bf050071  cmp	w13, #1
0xfffffff00808bf74: 8bfdff54  b.lt	#0xfffffff00808bf24
0xfffffff00808bf78: ee030b2a  mov	w14, w11
0xfffffff00808bf7c: 0f0840f9  ldr	x15, [x0, #0x10]
0xfffffff00808bf80: ee110e8b  add	x14, x15, x14, lsl #4
0xfffffff00808bf84: ce0540f9  ldr	x14, [x14, #8]
0xfffffff00808bf88: cb692db8  str	w11, [x14, x13]
0xfffffff00808bf8c: e6ffff17  b	#0xfffffff00808bf24
0xfffffff00808bf90: ea030baa  mov	x10, x11
0xfffffff00808bf94: 0b0840b9  ldr	w11, [x0, #8]
0xfffffff00808bf98: 7f050071  cmp	w11, #1
0xfffffff00808bf9c: 0bfbff54  b.lt	#0xfffffff00808befc
0xfffffff00808bfa0: 0c0840f9  ldr	x12, [x0, #0x10]
0xfffffff00808bfa4: 8cd12a8b  add	x12, x12, w10, sxtw #4
0xfffffff00808bfa8: 8c0540f9  ldr	x12, [x12, #8]
0xfffffff00808bfac: 8a692bb8  str	w10, [x12, x11]
0xfffffff00808bfb0: d3ffff17  b	#0xfffffff00808befc
0xfffffff00808bfb4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00808bfb8: ff830091  add	sp, sp, #0x20
0xfffffff00808bfbc: ff0f5fd6  retab	
0xfffffff00808bfc0: 207fffd0  adrp	x0, #0xfffffff007071000
0xfffffff00808bfc4: 005c3b91  add	x0, x0, #0xed7
0xfffffff00808bfc8: 217fffd0  adrp	x1, #0xfffffff007071000
0xfffffff00808bfcc: 21983b91  add	x1, x1, #0xee6
0xfffffff00808bfd0: a24a8052  mov	w2, #0x255
0xfffffff00808bfd4: 104e1094  bl	#0xfffffff00849f814
0xfffffff00808bfd8: 7f2303d5  pacibsp	
0xfffffff00808bfdc: ff8300d1  sub	sp, sp, #0x20
0xfffffff00808bfe0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00808bfe4: fd430091  add	x29, sp, #0x10
0xfffffff00808bfe8: 080440b9  ldr	w8, [x0, #4]
0xfffffff00808bfec: 1f050071  cmp	w8, #1
0xfffffff00808bff0: 6b080054  b.lt	#0xfffffff00808c0fc
0xfffffff00808bff4: 090840f9  ldr	x9, [x0, #0x10]
0xfffffff00808bff8: 2a210091  add	x10, x9, #8
0xfffffff00808bffc: eb0308aa  mov	x11, x8
0xfffffff00808c000: 4c0140f9  ldr	x12, [x10]
0xfffffff00808c004: 9f0101eb  cmp	x12, x1
0xfffffff00808c008: a0000054  b.eq	#0xfffffff00808c01c
0xfffffff00808c00c: 4a410091  add	x10, x10, #0x10
0xfffffff00808c010: 6b0500f1  subs	x11, x11, #1
0xfffffff00808c014: 61ffff54  b.ne	#0xfffffff00808c000
0xfffffff00808c018: 39000014  b	#0xfffffff00808c0fc
0xfffffff00808c01c: 08050051  sub	w8, w8, #1
0xfffffff00808c020: 080400b9  str	w8, [x0, #4]
0xfffffff00808c024: 2059e83c  ldr	q0, [x9, w8, uxtw #4]
0xfffffff00808c028: 40819f3c  stur	q0, [x10, #-8]
0xfffffff00808c02c: 080440b9  ldr	w8, [x0, #4]
0xfffffff00808c030: 1f050071  cmp	w8, #1
0xfffffff00808c034: 4b060054  b.lt	#0xfffffff00808c0fc
0xfffffff00808c038: 08008052  mov	w8, #0
0xfffffff00808c03c: 0900b012  mov	w9, #0x7fffffff
