; Candidate 6429
; ADRP+ADD at VM 0xfffffff00882ab3c (fileoff 0x1826b3c): page=0x1fe9bf000 add_imm=0xe80

0xfffffff00882aabc: 700240f9  ldr	x16, [x19]
0xfffffff00882aac0: f10313aa  mov	x17, x19
0xfffffff00882aac4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00882aac8: 301ac1da  autda	x16, x17
0xfffffff00882aacc: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00882aad0: e90310aa  mov	x9, x16
0xfffffff00882aad4: e00313aa  mov	x0, x19
0xfffffff00882aad8: f10309aa  mov	x17, x9
0xfffffff00882aadc: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00882aae0: 11093fd7  blraa	x8, x17
0xfffffff00882aae4: e00316aa  mov	x0, x22
0xfffffff00882aae8: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff00882aaec: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff00882aaf0: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff00882aaf4: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff00882aaf8: ff030291  add	sp, sp, #0x80
0xfffffff00882aafc: ff0f5fd6  retab	
0xfffffff00882ab00: ab250294  bl	#0xfffffff0088b41ac
0xfffffff00882ab04: f60300aa  mov	x22, x0
0xfffffff00882ab08: 80008052  mov	w0, #4
0xfffffff00882ab0c: 51430194  bl	#0xfffffff00887b850
0xfffffff00882ab10: e80315aa  mov	x8, x21
0xfffffff00882ab14: e81b00f9  str	x8, [sp, #0x30]
0xfffffff00882ab18: c84fff90  adrp	x8, #0xfffffff007222000
0xfffffff00882ab1c: 08cd0291  add	x8, x8, #0xb3
0xfffffff00882ab20: 69198052  mov	w9, #0xcb
0xfffffff00882ab24: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00882ab28: c84fff90  adrp	x8, #0xfffffff007222000
0xfffffff00882ab2c: 08c50191  add	x8, x8, #0x71
0xfffffff00882ab30: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00882ab34: a80a8052  mov	w8, #0x55
0xfffffff00882ab38: f62300a9  stp	x22, x8, [sp]
0xfffffff00882ab3c: e04dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882ab40: 00003a91  add	x0, x0, #0xe80
0xfffffff00882ab44: e18effd0  adrp	x1, #0xfffffff007a08000
0xfffffff00882ab48: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882ab4c: 0351ffd0  adrp	x3, #0xfffffff00724c000
0xfffffff00882ab50: 63400a91  add	x3, x3, #0x290
0xfffffff00882ab54: 02008052  mov	w2, #0
0xfffffff00882ab58: 7621ec97  bl	#0xfffffff008333130
0xfffffff00882ab5c: 160080d2  mov	x22, #0
0xfffffff00882ab60: b4faffb5  cbnz	x20, #0xfffffff00882aab4
0xfffffff00882ab64: d5ffff17  b	#0xfffffff00882aab8
0xfffffff00882ab68: 7f2303d5  pacibsp	
0xfffffff00882ab6c: ffc301d1  sub	sp, sp, #0x70
0xfffffff00882ab70: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff00882ab74: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff00882ab78: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff00882ab7c: fd830191  add	x29, sp, #0x60
0xfffffff00882ab80: 000700b4  cbz	x0, #0xfffffff00882ac60
0xfffffff00882ab84: f30300aa  mov	x19, x0
0xfffffff00882ab88: e88effd0  adrp	x8, #0xfffffff007a08000
0xfffffff00882ab8c: 083542f9  ldr	x8, [x8, #0x468]
0xfffffff00882ab90: 020140f9  ldr	x2, [x8]
0xfffffff00882ab94: 100040f9  ldr	x16, [x0]
0xfffffff00882ab98: f10300aa  mov	x17, x0
0xfffffff00882ab9c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00882aba0: 301ac1da  autda	x16, x17
0xfffffff00882aba4: 112680d2  mov	x17, #0x130
0xfffffff00882aba8: 1002118b  add	x16, x16, x17
0xfffffff00882abac: 080240f9  ldr	x8, [x16]
0xfffffff00882abb0: e90310aa  mov	x9, x16
0xfffffff00882abb4: a14ffff0  adrp	x1, #0xfffffff007221000
0xfffffff00882abb8: 21243d91  add	x1, x1, #0xf49
