; Candidate 14947
; ADRP+ADD at VM 0xfffffff009a08234 (fileoff 0x2a04234): page=0x9ae000 add_imm=0xce8

0xfffffff009a081b4: 900240f9  ldr	x16, [x20]
0xfffffff009a081b8: f10314aa  mov	x17, x20
0xfffffff009a081bc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a081c0: 301ac1da  autda	x16, x17
0xfffffff009a081c4: 117580d2  mov	x17, #0x3a8
0xfffffff009a081c8: 1002118b  add	x16, x16, x17
0xfffffff009a081cc: 080240f9  ldr	x8, [x16]
0xfffffff009a081d0: e90310aa  mov	x9, x16
0xfffffff009a081d4: e4b30091  add	x4, sp, #0x2c
0xfffffff009a081d8: e00314aa  mov	x0, x20
0xfffffff009a081dc: 02008052  mov	w2, #0
0xfffffff009a081e0: e30313aa  mov	x3, x19
0xfffffff009a081e4: 25008052  mov	w5, #1
0xfffffff009a081e8: 060080d2  mov	x6, #0
0xfffffff009a081ec: f10309aa  mov	x17, x9
0xfffffff009a081f0: 1131e1f2  movk	x17, #0x988, lsl #48
0xfffffff009a081f4: 11093fd7  blraa	x8, x17
0xfffffff009a081f8: 16008052  mov	w22, #0
0xfffffff009a081fc: e00316aa  mov	x0, x22
0xfffffff009a08200: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff009a08204: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff009a08208: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff009a0820c: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff009a08210: ffc30191  add	sp, sp, #0x70
0xfffffff009a08214: ff0f5fd6  retab	
0xfffffff009a08218: 7f2303d5  pacibsp	
0xfffffff009a0821c: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff009a08220: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff009a08224: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009a08228: fd830091  add	x29, sp, #0x20
0xfffffff009a0822c: f50301aa  mov	x21, x1
0xfffffff009a08230: f40300aa  mov	x20, x0
0xfffffff009a08234: 604d00d0  adrp	x0, #0xfffffff00a3b6000
0xfffffff009a08238: 00a03391  add	x0, x0, #0xce8
0xfffffff009a0823c: 100040f9  ldr	x16, [x0]
0xfffffff009a08240: f10300aa  mov	x17, x0
0xfffffff009a08244: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a08248: 301ac1da  autda	x16, x17
0xfffffff009a0824c: 088e46f8  ldr	x8, [x16, #0x68]!
0xfffffff009a08250: e90310aa  mov	x9, x16
0xfffffff009a08254: f10309aa  mov	x17, x9
0xfffffff009a08258: 31c0e2f2  movk	x17, #0x1601, lsl #48
0xfffffff009a0825c: 11093fd7  blraa	x8, x17
0xfffffff009a08260: f30300aa  mov	x19, x0
0xfffffff009a08264: c00500b4  cbz	x0, #0xfffffff009a0831c
0xfffffff009a08268: b50100b4  cbz	x21, #0xfffffff009a0829c
0xfffffff009a0826c: f00315aa  mov	x16, x21
0xfffffff009a08270: 110283d2  mov	x17, #0x1810
0xfffffff009a08274: 3012c1da  autia	x16, x17
0xfffffff009a08278: f10310aa  mov	x17, x16
0xfffffff009a0827c: f143c1da  xpaci	x17
0xfffffff009a08280: 1f0211eb  cmp	x16, x17
0xfffffff009a08284: 40000054  b.eq	#0xfffffff009a0828c
0xfffffff009a08288: 008e38d4  brk	#0xc470
0xfffffff009a0828c: 31828fd2  mov	x17, #0x7c11
0xfffffff009a08290: 3002c1da  pacia	x16, x17
0xfffffff009a08294: e20310aa  mov	x2, x16
0xfffffff009a08298: 02000014  b	#0xfffffff009a082a0
0xfffffff009a0829c: 020080d2  mov	x2, #0
0xfffffff009a082a0: 700240f9  ldr	x16, [x19]
0xfffffff009a082a4: f10313aa  mov	x17, x19
0xfffffff009a082a8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a082ac: 301ac1da  autda	x16, x17
0xfffffff009a082b0: 088e47f8  ldr	x8, [x16, #0x78]!
