; Candidate 7856
; ADRP+ADD at VM 0xfffffff008883860 (fileoff 0x187f860): page=0x1fe98f000 add_imm=0xd12

0xfffffff0088837e0: 56feff97  bl	#0xfffffff008883138
0xfffffff0088837e4: f70300aa  mov	x23, x0
0xfffffff0088837e8: c0000035  cbnz	w0, #0xfffffff008883800
0xfffffff0088837ec: e00313aa  mov	x0, x19
0xfffffff0088837f0: e10314aa  mov	x1, x20
0xfffffff0088837f4: e20315aa  mov	x2, x21
0xfffffff0088837f8: eff7ff97  bl	#0xfffffff0088817b4
0xfffffff0088837fc: f70300aa  mov	x23, x0
0xfffffff008883800: 800b8052  mov	w0, #0x5c
0xfffffff008883804: e1008052  mov	w1, #7
0xfffffff008883808: f2dfff97  bl	#0xfffffff00887b7d0
0xfffffff00888380c: 80060034  cbz	w0, #0xfffffff0088838dc
0xfffffff008883810: 800b8052  mov	w0, #0x5c
0xfffffff008883814: 01e0ff97  bl	#0xfffffff00887b818
0xfffffff008883818: f90300aa  mov	x25, x0
0xfffffff00888381c: 64c20094  bl	#0xfffffff0088b41ac
0xfffffff008883820: f80300aa  mov	x24, x0
0xfffffff008883824: e0008052  mov	w0, #7
0xfffffff008883828: 0ae0ff97  bl	#0xfffffff00887b850
0xfffffff00888382c: 59020034  cbz	w25, #0xfffffff008883874
0xfffffff008883830: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff008883834: e903162a  mov	w9, w22
0xfffffff008883838: e9df04a9  stp	x9, x23, [sp, #0x48]
0xfffffff00888383c: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff008883840: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff008883844: 484dffd0  adrp	x8, #0xfffffff00722d000
0xfffffff008883848: 09cd0691  add	x9, x8, #0x1b3
0xfffffff00888384c: 484dffd0  adrp	x8, #0xfffffff00722d000
0xfffffff008883850: 08fd0891  add	x8, x8, #0x23f
0xfffffff008883854: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008883858: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00888385c: 880b8052  mov	w8, #0x5c
0xfffffff008883860: 604cfff0  adrp	x0, #0xfffffff007212000
0xfffffff008883864: 00483491  add	x0, x0, #0xd12
0xfffffff008883868: f82300a9  stp	x24, x8, [sp]
0xfffffff00888386c: fdced497  bl	#0xfffffff007db7460
0xfffffff008883870: 1b000014  b	#0xfffffff0088838dc
0xfffffff008883874: 4ec20094  bl	#0xfffffff0088b41ac
0xfffffff008883878: f80300aa  mov	x24, x0
0xfffffff00888387c: e0008052  mov	w0, #7
0xfffffff008883880: f4dfff97  bl	#0xfffffff00887b850
0xfffffff008883884: e80317aa  mov	x8, x23
0xfffffff008883888: 691a40b9  ldr	w9, [x19, #0x18]
0xfffffff00888388c: e82b00f9  str	x8, [sp, #0x50]
0xfffffff008883890: e803162a  mov	w8, w22
0xfffffff008883894: f52304a9  stp	x21, x8, [sp, #0x40]
0xfffffff008883898: e95303a9  stp	x9, x20, [sp, #0x30]
0xfffffff00888389c: 484dffd0  adrp	x8, #0xfffffff00722d000
0xfffffff0088838a0: 08cd0691  add	x8, x8, #0x1b3
0xfffffff0088838a4: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088838a8: 484dffd0  adrp	x8, #0xfffffff00722d000
0xfffffff0088838ac: 08fd0891  add	x8, x8, #0x23f
0xfffffff0088838b0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088838b4: 880b8052  mov	w8, #0x5c
0xfffffff0088838b8: c34effb0  adrp	x3, #0xfffffff00725c000
0xfffffff0088838bc: 63480391  add	x3, x3, #0xd2
0xfffffff0088838c0: f82300a9  stp	x24, x8, [sp]
0xfffffff0088838c4: 204bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088838c8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088838cc: 218cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088838d0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088838d4: 02008052  mov	w2, #0
0xfffffff0088838d8: 16beea97  bl	#0xfffffff008333130
0xfffffff0088838dc: e00317aa  mov	x0, x23
