; Candidate 3757
; ADRP+ADD at VM 0xfffffff00875976c (fileoff 0x175576c): page=0x1fe9d8000 add_imm=0xd90

0xfffffff0087596ec: 55ecdd97  bl	#0xfffffff007ed4840
0xfffffff0087596f0: f80f40f9  ldr	x24, [sp, #0x18]
0xfffffff0087596f4: c80240b9  ldr	w8, [x22]
0xfffffff0087596f8: 1f050031  cmn	w8, #1
0xfffffff0087596fc: 75000034  cbz	w21, #0xfffffff008759708
0xfffffff008759700: 81000054  b.ne	#0xfffffff008759710
0xfffffff008759704: 0b000014  b	#0xfffffff008759730
0xfffffff008759708: c0020054  b.eq	#0xfffffff008759760
0xfffffff00875970c: 14008052  mov	w20, #0
0xfffffff008759710: 09058052  mov	w9, #0x28
0xfffffff008759714: e94e099b  madd	x9, x23, x9, x19
0xfffffff008759718: 2a0540f9  ldr	x10, [x9, #8]
0xfffffff00875971c: 0a030acb  sub	x10, x24, x10
0xfffffff008759720: 280d088b  add	x8, x9, x8, lsl #3
0xfffffff008759724: 090940f9  ldr	x9, [x8, #0x10]
0xfffffff008759728: 4901098b  add	x9, x10, x9
0xfffffff00875972c: 090900f9  str	x9, [x8, #0x10]
0xfffffff008759730: d40200b9  str	w20, [x22]
0xfffffff008759734: 08058052  mov	w8, #0x28
0xfffffff008759738: e84e089b  madd	x8, x23, x8, x19
0xfffffff00875973c: 180500f9  str	x24, [x8, #8]
0xfffffff008759740: 606240f9  ldr	x0, [x19, #0xc0]
0xfffffff008759744: fe4bd997  bl	#0xfffffff007dac73c
0xfffffff008759748: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00875974c: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008759750: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008759754: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff008759758: ff830191  add	sp, sp, #0x60
0xfffffff00875975c: ff0f5fd6  retab	
0xfffffff008759760: 0850ff90  adrp	x8, #0xfffffff007159000
0xfffffff008759764: 08a92391  add	x8, x8, #0x8ea
0xfffffff008759768: e85300a9  stp	x8, x20, [sp]
0xfffffff00875976c: c04eff90  adrp	x0, #0xfffffff007131000
0xfffffff008759770: 00403691  add	x0, x0, #0xd90
0xfffffff008759774: 2195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008759778: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00875977c: 434fff90  adrp	x3, #0xfffffff007141000
0xfffffff008759780: 63c42491  add	x3, x3, #0x931
0xfffffff008759784: 02008052  mov	w2, #0
0xfffffff008759788: 6a66ef97  bl	#0xfffffff008333130
0xfffffff00875978c: 14008052  mov	w20, #0
0xfffffff008759790: e8ffff17  b	#0xfffffff008759730
0xfffffff008759794: 7f2303d5  pacibsp	
0xfffffff008759798: ff4303d1  sub	sp, sp, #0xd0
0xfffffff00875979c: f85f09a9  stp	x24, x23, [sp, #0x90]
0xfffffff0087597a0: f6570aa9  stp	x22, x21, [sp, #0xa0]
0xfffffff0087597a4: f44f0ba9  stp	x20, x19, [sp, #0xb0]
0xfffffff0087597a8: fd7b0ca9  stp	x29, x30, [sp, #0xc0]
0xfffffff0087597ac: fd030391  add	x29, sp, #0xc0
0xfffffff0087597b0: f30301aa  mov	x19, x1
0xfffffff0087597b4: f40300aa  mov	x20, x0
0xfffffff0087597b8: 2895ff90  adrp	x8, #0xfffffff0079fd000
0xfffffff0087597bc: 08d941f9  ldr	x8, [x8, #0x3b0]
0xfffffff0087597c0: 080140f9  ldr	x8, [x8]
0xfffffff0087597c4: a8831cf8  stur	x8, [x29, #-0x38]
0xfffffff0087597c8: f603012a  mov	w22, w1
0xfffffff0087597cc: 08058052  mov	w8, #0x28
0xfffffff0087597d0: bf7f3ba9  stp	xzr, xzr, [x29, #-0x50]
0xfffffff0087597d4: 3700a89b  umaddl	x23, w1, w8, x0
0xfffffff0087597d8: bf031cf8  stur	xzr, [x29, #-0x40]
0xfffffff0087597dc: ff6b00b9  str	wzr, [sp, #0x68]
0xfffffff0087597e0: ffff05a9  stp	xzr, xzr, [sp, #0x58]
0xfffffff0087597e4: ffff04a9  stp	xzr, xzr, [sp, #0x48]
0xfffffff0087597e8: ffff03a9  stp	xzr, xzr, [sp, #0x38]
