; Candidate 9566
; ADRP+ADD at VM 0xfffffff008a746a4 (fileoff 0x1a706a4): page=0x1fe83d000 add_imm=0xda5

0xfffffff008a74624: c8000054  b.hi	#0xfffffff008a7463c
0xfffffff008a74628: 081d4093  sxtb	x8, w8
0xfffffff008a7462c: e941fff0  adrp	x9, #0xfffffff0072b3000
0xfffffff008a74630: 29f10d91  add	x9, x9, #0x37c
0xfffffff008a74634: 287968b8  ldr	w8, [x9, x8, lsl #2]
0xfffffff008a74638: 02000014  b	#0xfffffff008a74640
0xfffffff008a7463c: 08008052  mov	w8, #0
0xfffffff008a74640: f60314aa  mov	x22, x20
0xfffffff008a74644: c80e0db8  str	w8, [x22, #0xd0]!
0xfffffff008a74648: e041ffb0  adrp	x0, #0xfffffff0072b1000
0xfffffff008a7464c: 00643691  add	x0, x0, #0xd99
0xfffffff008a74650: e10316aa  mov	x1, x22
0xfffffff008a74654: 82008052  mov	w2, #4
0xfffffff008a74658: 58e2e797  bl	#0xfffffff00846cfb8
0xfffffff008a7465c: 900240f9  ldr	x16, [x20]
0xfffffff008a74660: f10314aa  mov	x17, x20
0xfffffff008a74664: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a74668: 301ac1da  autda	x16, x17
0xfffffff008a7466c: f10310aa  mov	x17, x16
0xfffffff008a74670: f147c1da  xpacd	x17
0xfffffff008a74674: 1f0211eb  cmp	x16, x17
0xfffffff008a74678: 40000054  b.eq	#0xfffffff008a74680
0xfffffff008a7467c: 408e38d4  brk	#0xc472
0xfffffff008a74680: 08a20791  add	x8, x16, #0x1e8
0xfffffff008a74684: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008a74688: e00314aa  mov	x0, x20
0xfffffff008a7468c: 010080d2  mov	x1, #0
0xfffffff008a74690: f10308aa  mov	x17, x8
0xfffffff008a74694: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a74698: 31093fd7  blraa	x9, x17
0xfffffff008a7469c: c80240b9  ldr	w8, [x22]
0xfffffff008a746a0: e02300a9  stp	x0, x8, [sp]
0xfffffff008a746a4: e041ffb0  adrp	x0, #0xfffffff0072b1000
0xfffffff008a746a8: 00943691  add	x0, x0, #0xda5
0xfffffff008a746ac: 5d8ae397  bl	#0xfffffff008357020
0xfffffff008a746b0: 805a40f9  ldr	x0, [x20, #0xb0]
0xfffffff008a746b4: 100040f9  ldr	x16, [x0]
0xfffffff008a746b8: f10300aa  mov	x17, x0
0xfffffff008a746bc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a746c0: 301ac1da  autda	x16, x17
0xfffffff008a746c4: f10310aa  mov	x17, x16
0xfffffff008a746c8: f147c1da  xpacd	x17
0xfffffff008a746cc: 1f0211eb  cmp	x16, x17
0xfffffff008a746d0: 40000054  b.eq	#0xfffffff008a746d8
0xfffffff008a746d4: 408e38d4  brk	#0xc472
0xfffffff008a746d8: 08621891  add	x8, x16, #0x618
0xfffffff008a746dc: 090e43f9  ldr	x9, [x16, #0x618]
0xfffffff008a746e0: 41008052  mov	w1, #2
0xfffffff008a746e4: f10308aa  mov	x17, x8
0xfffffff008a746e8: 912ae1f2  movk	x17, #0x954, lsl #48
0xfffffff008a746ec: 31093fd7  blraa	x9, x17
0xfffffff008a746f0: 806200f9  str	x0, [x20, #0xc0]
0xfffffff008a746f4: 805a40f9  ldr	x0, [x20, #0xb0]
0xfffffff008a746f8: 100040f9  ldr	x16, [x0]
0xfffffff008a746fc: f10300aa  mov	x17, x0
0xfffffff008a74700: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a74704: 301ac1da  autda	x16, x17
0xfffffff008a74708: f10310aa  mov	x17, x16
0xfffffff008a7470c: f147c1da  xpacd	x17
0xfffffff008a74710: 1f0211eb  cmp	x16, x17
0xfffffff008a74714: 40000054  b.eq	#0xfffffff008a7471c
0xfffffff008a74718: 408e38d4  brk	#0xc472
0xfffffff008a7471c: 08621891  add	x8, x16, #0x618
0xfffffff008a74720: 090e43f9  ldr	x9, [x16, #0x618]
