; Candidate 8481
; ADRP+ADD at VM 0xfffffff0088ad5b4 (fileoff 0x18a95b4): page=0x1fe93c000 add_imm=0xe80

0xfffffff0088ad534: eaaf04a9  stp	x10, x11, [sp, #0x48]
0xfffffff0088ad538: e8a703a9  stp	x8, x9, [sp, #0x38]
0xfffffff0088ad53c: 084bfff0  adrp	x8, #0xfffffff007210000
0xfffffff0088ad540: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088ad544: 499e8052  mov	w9, #0x4f2
0xfffffff0088ad548: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0088ad54c: 284cffd0  adrp	x8, #0xfffffff007233000
0xfffffff0088ad550: 085d2f91  add	x8, x8, #0xbd7
0xfffffff0088ad554: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088ad558: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088ad55c: c80f8052  mov	w8, #0x7e
0xfffffff0088ad560: 204cffd0  adrp	x0, #0xfffffff007233000
0xfffffff0088ad564: 00e43391  add	x0, x0, #0xcf9
0xfffffff0088ad568: 97000014  b	#0xfffffff0088ad7c4
0xfffffff0088ad56c: 101b0094  bl	#0xfffffff0088b41ac
0xfffffff0088ad570: f60300aa  mov	x22, x0
0xfffffff0088ad574: 80008052  mov	w0, #4
0xfffffff0088ad578: b638ff97  bl	#0xfffffff00887b850
0xfffffff0088ad57c: fc031aaa  mov	x28, x26
0xfffffff0088ad580: e8031caa  mov	x8, x28
0xfffffff0088ad584: 690240b9  ldr	w9, [x19]
0xfffffff0088ad588: e9a303a9  stp	x9, x8, [sp, #0x38]
0xfffffff0088ad58c: 084bfff0  adrp	x8, #0xfffffff007210000
0xfffffff0088ad590: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088ad594: 699d8052  mov	w9, #0x4eb
0xfffffff0088ad598: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0088ad59c: 284cffd0  adrp	x8, #0xfffffff007233000
0xfffffff0088ad5a0: 085d2f91  add	x8, x8, #0xbd7
0xfffffff0088ad5a4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088ad5a8: c80f8052  mov	w8, #0x7e
0xfffffff0088ad5ac: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088ad5b0: f60300f9  str	x22, [sp]
0xfffffff0088ad5b4: e049ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088ad5b8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088ad5bc: c18afff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088ad5c0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088ad5c4: a34dffd0  adrp	x3, #0xfffffff007263000
0xfffffff0088ad5c8: 631c3191  add	x3, x3, #0xc47
0xfffffff0088ad5cc: 02008052  mov	w2, #0
0xfffffff0088ad5d0: d816ea97  bl	#0xfffffff008333130
0xfffffff0088ad5d4: b60359f8  ldur	x22, [x29, #-0x70]
0xfffffff0088ad5d8: fa031baa  mov	x26, x27
0xfffffff0088ad5dc: c00f8052  mov	w0, #0x7e
0xfffffff0088ad5e0: c1008052  mov	w1, #6
0xfffffff0088ad5e4: 7b38ff97  bl	#0xfffffff00887b7d0
0xfffffff0088ad5e8: a0090034  cbz	w0, #0xfffffff0088ad71c
0xfffffff0088ad5ec: fb0315aa  mov	x27, x21
0xfffffff0088ad5f0: f50317aa  mov	x21, x23
0xfffffff0088ad5f4: f70318aa  mov	x23, x24
0xfffffff0088ad5f8: f8031aaa  mov	x24, x26
0xfffffff0088ad5fc: fa031caa  mov	x26, x28
0xfffffff0088ad600: b40319f8  stur	x20, [x29, #-0x70]
0xfffffff0088ad604: f40316aa  mov	x20, x22
0xfffffff0088ad608: c00f8052  mov	w0, #0x7e
0xfffffff0088ad60c: 8338ff97  bl	#0xfffffff00887b818
0xfffffff0088ad610: f60300aa  mov	x22, x0
0xfffffff0088ad614: e61a0094  bl	#0xfffffff0088b41ac
0xfffffff0088ad618: fc0300aa  mov	x28, x0
0xfffffff0088ad61c: c0008052  mov	w0, #6
0xfffffff0088ad620: 8c38ff97  bl	#0xfffffff00887b850
0xfffffff0088ad624: 96030034  cbz	w22, #0xfffffff0088ad694
0xfffffff0088ad628: e9031aaa  mov	x9, x26
0xfffffff0088ad62c: e80309aa  mov	x8, x9
0xfffffff0088ad630: e83b00f9  str	x8, [sp, #0x70]
