; Candidate 12567
; ADRP+ADD at VM 0xfffffff0090be060 (fileoff 0x20ba060): page=0x1fe39b000 add_imm=0xe24

0xfffffff0090bdfe0: f7420c91  add	x23, x23, #0x310
0xfffffff0090bdfe4: e8024039  ldrb	w8, [x23]
0xfffffff0090bdfe8: 551dfff0  adrp	x21, #0xfffffff007468000
0xfffffff0090bdfec: b55e3091  add	x21, x21, #0xc17
0xfffffff0090bdff0: 161dff90  adrp	x22, #0xfffffff00745d000
0xfffffff0090bdff4: d6423c91  add	x22, x22, #0xf10
0xfffffff0090bdff8: 1f290071  cmp	w8, #0xa
0xfffffff0090bdffc: a8000054  b.hi	#0xfffffff0090be010
0xfffffff0090be000: f65700a9  stp	x22, x21, [sp]
0xfffffff0090be004: c01cfff0  adrp	x0, #0xfffffff007459000
0xfffffff0090be008: 00583191  add	x0, x0, #0xc56
0xfffffff0090be00c: 0564ca97  bl	#0xfffffff008357020
0xfffffff0090be010: d30300b4  cbz	x19, #0xfffffff0090be088
0xfffffff0090be014: e00314aa  mov	x0, x20
0xfffffff0090be018: 81038052  mov	w1, #0x1c
0xfffffff0090be01c: 02008052  mov	w2, #0
0xfffffff0090be020: 030080d2  mov	x3, #0
0xfffffff0090be024: 040080d2  mov	x4, #0
0xfffffff0090be028: 050080d2  mov	x5, #0
0xfffffff0090be02c: 060080d2  mov	x6, #0
0xfffffff0090be030: 519081d2  mov	x17, #0xc82
0xfffffff0090be034: 710a3fd7  blraa	x19, x17
0xfffffff0090be038: f30300aa  mov	x19, x0
0xfffffff0090be03c: 60040035  cbnz	w0, #0xfffffff0090be0c8
0xfffffff0090be040: 48018052  mov	w8, #0xa
0xfffffff0090be044: e9024039  ldrb	w9, [x23]
0xfffffff0090be048: 1f01096b  cmp	w8, w9
0xfffffff0090be04c: 03010054  b.lo	#0xfffffff0090be06c
0xfffffff0090be050: e80313aa  mov	x8, x19
0xfffffff0090be054: 087d4093  sxtw	x8, w8
0xfffffff0090be058: f65700a9  stp	x22, x21, [sp]
0xfffffff0090be05c: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090be060: c01cfff0  adrp	x0, #0xfffffff007459000
0xfffffff0090be064: 00903891  add	x0, x0, #0xe24
0xfffffff0090be068: ee63ca97  bl	#0xfffffff008357020
0xfffffff0090be06c: e00313aa  mov	x0, x19
0xfffffff0090be070: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0090be074: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0090be078: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0090be07c: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff0090be080: ffc30191  add	sp, sp, #0x70
0xfffffff0090be084: ff0f5fd6  retab	
0xfffffff0090be088: 28938052  mov	w8, #0x499
0xfffffff0090be08c: 491dffb0  adrp	x9, #0xfffffff007467000
0xfffffff0090be090: 29693f91  add	x9, x9, #0xfda
0xfffffff0090be094: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0090be098: c81cfff0  adrp	x8, #0xfffffff007459000
0xfffffff0090be09c: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090be0a0: 4a1dffd0  adrp	x10, #0xfffffff007468000
0xfffffff0090be0a4: 4ad50691  add	x10, x10, #0x1b5
0xfffffff0090be0a8: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff0090be0ac: ea0300f9  str	x10, [sp]
0xfffffff0090be0b0: c01cfff0  adrp	x0, #0xfffffff007459000
0xfffffff0090be0b4: 00d42c91  add	x0, x0, #0xb35
0xfffffff0090be0b8: da63ca97  bl	#0xfffffff008357020
0xfffffff0090be0bc: c8088052  mov	w8, #0x46
0xfffffff0090be0c0: 53008012  mov	w19, #-3
0xfffffff0090be0c4: e0ffff17  b	#0xfffffff0090be044
0xfffffff0090be0c8: 687e4093  sxtw	x8, w19
0xfffffff0090be0cc: 69938052  mov	w9, #0x49b
0xfffffff0090be0d0: 4a1dffb0  adrp	x10, #0xfffffff007467000
0xfffffff0090be0d4: 4a693f91  add	x10, x10, #0xfda
0xfffffff0090be0d8: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff0090be0dc: c91cfff0  adrp	x9, #0xfffffff007459000
