; Candidate 16759
; ADRP+ADD at VM 0xfffffff009f4cd88 (fileoff 0x2f48d88): page=0x1fd915000 add_imm=0xe6f

0xfffffff009f4cd08: f95740f9  ldr	x25, [sp, #0xa8]
0xfffffff009f4cd0c: e40319aa  mov	x4, x25
0xfffffff009f4cd10: e55341f9  ldr	x5, [sp, #0x2a0]
0xfffffff009f4cd14: 06008052  mov	w6, #0
0xfffffff009f4cd18: 95e4ff97  bl	#0xfffffff009f45f6c
0xfffffff009f4cd1c: f60300aa  mov	x22, x0
0xfffffff009f4cd20: e8e740f9  ldr	x8, [sp, #0x1c8]
0xfffffff009f4cd24: 000140f9  ldr	x0, [x8]
0xfffffff009f4cd28: e10315aa  mov	x1, x21
0xfffffff009f4cd2c: e20319aa  mov	x2, x25
0xfffffff009f4cd30: ab21ff97  bl	#0xfffffff009f153dc
0xfffffff009f4cd34: 561e0034  cbz	w22, #0xfffffff009f4d0fc
0xfffffff009f4cd38: e9f740f9  ldr	x9, [sp, #0x1e8]
0xfffffff009f4cd3c: 28494079  ldrh	w8, [x9, #0x24]
0xfffffff009f4cd40: 1f350071  cmp	w8, #0xd
0xfffffff009f4cd44: c1000054  b.ne	#0xfffffff009f4cd5c
0xfffffff009f4cd48: e85740f9  ldr	x8, [sp, #0xa8]
0xfffffff009f4cd4c: e85b02a9  stp	x8, x22, [sp, #0x20]
0xfffffff009f4cd50: fb0f00f9  str	x27, [sp, #0x18]
0xfffffff009f4cd54: e8a740f9  ldr	x8, [sp, #0x148]
0xfffffff009f4cd58: 07000014  b	#0xfffffff009f4cd74
0xfffffff009f4cd5c: 286540f9  ldr	x8, [x9, #0xc8]
0xfffffff009f4cd60: 088942f9  ldr	x8, [x8, #0x510]
0xfffffff009f4cd64: e90316aa  mov	x9, x22
0xfffffff009f4cd68: e91700f9  str	x9, [sp, #0x28]
0xfffffff009f4cd6c: e95740f9  ldr	x9, [sp, #0xa8]
0xfffffff009f4cd70: fba701a9  stp	x27, x9, [sp, #0x18]
0xfffffff009f4cd74: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009f4cd78: c9a38352  mov	w9, #0x1d1e
0xfffffff009f4cd7c: a8c8feb0  adrp	x8, #0xfffffff007861000
0xfffffff009f4cd80: 08793091  add	x8, x8, #0xc1e
0xfffffff009f4cd84: e82700a9  stp	x8, x9, [sp]
0xfffffff009f4cd88: a0c8feb0  adrp	x0, #0xfffffff007861000
0xfffffff009f4cd8c: 00bc3991  add	x0, x0, #0xe6f
0xfffffff009f4cd90: cdcafc97  bl	#0xfffffff009e7f8c4
0xfffffff009f4cd94: f44f41f9  ldr	x20, [sp, #0x298]
0xfffffff009f4cd98: e8bf41b9  ldr	w8, [sp, #0x1bc]
0xfffffff009f4cd9c: e8280034  cbz	w8, #0xfffffff009f4d2b8
0xfffffff009f4cda0: e8e740f9  ldr	x8, [sp, #0x1c8]
0xfffffff009f4cda4: 000140f9  ldr	x0, [x8]
0xfffffff009f4cda8: b119ff97  bl	#0xfffffff009f1346c
0xfffffff009f4cdac: 28008052  mov	w8, #1
0xfffffff009f4cdb0: eb5741f9  ldr	x11, [sp, #0x2a8]
0xfffffff009f4cdb4: e9df40b9  ldr	w9, [sp, #0xdc]
0xfffffff009f4cdb8: e51742b9  ldr	w5, [sp, #0x214]
0xfffffff009f4cdbc: ee1741f9  ldr	x14, [sp, #0x228]
0xfffffff009f4cdc0: 29a80636  tbz	w9, #0, #0xfffffff009f4a2c4
0xfffffff009f4cdc4: 03000014  b	#0xfffffff009f4cdd0
0xfffffff009f4cdc8: fa0308aa  mov	x26, x8
0xfffffff009f4cdcc: e51b42b9  ldr	w5, [sp, #0x218]
0xfffffff009f4cdd0: f80305aa  mov	x24, x5
0xfffffff009f4cdd4: a08353f8  ldur	x0, [x29, #-0xc8]
0xfffffff009f4cdd8: 400000b4  cbz	x0, #0xfffffff009f4cde0
0xfffffff009f4cddc: 99a8ff97  bl	#0xfffffff009f37040
0xfffffff009f4cde0: a00353f8  ldur	x0, [x29, #-0xd0]
0xfffffff009f4cde4: f3f740f9  ldr	x19, [sp, #0x1e8]
0xfffffff009f4cde8: f5a340f9  ldr	x21, [sp, #0x140]
0xfffffff009f4cdec: 400000b4  cbz	x0, #0xfffffff009f4cdf4
0xfffffff009f4cdf0: 94a8ff97  bl	#0xfffffff009f37040
0xfffffff009f4cdf4: a08352f8  ldur	x0, [x29, #-0xd8]
0xfffffff009f4cdf8: 400000b4  cbz	x0, #0xfffffff009f4ce00
0xfffffff009f4cdfc: 91a8ff97  bl	#0xfffffff009f37040
0xfffffff009f4ce00: e83f41b9  ldr	w8, [sp, #0x13c]
0xfffffff009f4ce04: 68000034  cbz	w8, #0xfffffff009f4ce10
