; Candidate 13718
; ADRP+ADD at VM 0xfffffff0093e99a0 (fileoff 0x23e59a0): page=0x1fe129000 add_imm=0xe7e

0xfffffff0093e9920: 100040f9  ldr	x16, [x0]
0xfffffff0093e9924: f10300aa  mov	x17, x0
0xfffffff0093e9928: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093e992c: 301ac1da  autda	x16, x17
0xfffffff0093e9930: 080e4af8  ldr	x8, [x16, #0xa0]!
0xfffffff0093e9934: e90310aa  mov	x9, x16
0xfffffff0093e9938: f10309aa  mov	x17, x9
0xfffffff0093e993c: 7173f7f2  movk	x17, #0xbb9b, lsl #48
0xfffffff0093e9940: 11093fd7  blraa	x8, x17
0xfffffff0093e9944: f70300aa  mov	x23, x0
0xfffffff0093e9948: d00240f9  ldr	x16, [x22]
0xfffffff0093e994c: f10316aa  mov	x17, x22
0xfffffff0093e9950: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093e9954: 301ac1da  autda	x16, x17
0xfffffff0093e9958: 080e4af8  ldr	x8, [x16, #0xa0]!
0xfffffff0093e995c: e90310aa  mov	x9, x16
0xfffffff0093e9960: e00316aa  mov	x0, x22
0xfffffff0093e9964: f10309aa  mov	x17, x9
0xfffffff0093e9968: 7173f7f2  movk	x17, #0xbb9b, lsl #48
0xfffffff0093e996c: 11093fd7  blraa	x8, x17
0xfffffff0093e9970: 1f4337eb  cmp	x24, w23, uxtw
0xfffffff0093e9974: 02040054  b.hs	#0xfffffff0093e99f4
0xfffffff0093e9978: a80240f9  ldr	x8, [x21]
0xfffffff0093e997c: e02300a9  stp	x0, x8, [sp]
0xfffffff0093e9980: 4009ffb0  adrp	x0, #0xfffffff007512000
0xfffffff0093e9984: 00203f91  add	x0, x0, #0xfc8
0xfffffff0093e9988: a6b5bd97  bl	#0xfffffff008357020
0xfffffff0093e998c: 28048052  mov	w8, #0x21
0xfffffff0093e9990: 09588052  mov	w9, #0x2c0
0xfffffff0093e9994: 0900bc72  movk	w9, #0xe000, lsl #16
0xfffffff0093e9998: 3401082a  orr	w20, w9, w8
0xfffffff0093e999c: 32000014  b	#0xfffffff0093e9a64
0xfffffff0093e99a0: 4009ffb0  adrp	x0, #0xfffffff007512000
0xfffffff0093e99a4: 00f83991  add	x0, x0, #0xe7e
0xfffffff0093e99a8: 9eb5bd97  bl	#0xfffffff008357020
0xfffffff0093e99ac: 08588052  mov	w8, #0x2c0
0xfffffff0093e99b0: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff0093e99b4: 14011f32  orr	w20, w8, #2
0xfffffff0093e99b8: 3f000014  b	#0xfffffff0093e9ab4
0xfffffff0093e99bc: 14588052  mov	w20, #0x2c0
0xfffffff0093e99c0: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff0093e99c4: 4009ffb0  adrp	x0, #0xfffffff007512000
0xfffffff0093e99c8: 007c3b91  add	x0, x0, #0xedf
0xfffffff0093e99cc: 95b5bd97  bl	#0xfffffff008357020
0xfffffff0093e99d0: 39000014  b	#0xfffffff0093e9ab4
0xfffffff0093e99d4: 4009ffb0  adrp	x0, #0xfffffff007512000
0xfffffff0093e99d8: 009c3d91  add	x0, x0, #0xf67
0xfffffff0093e99dc: 91b5bd97  bl	#0xfffffff008357020
0xfffffff0093e99e0: 28018052  mov	w8, #9
0xfffffff0093e99e4: 09588052  mov	w9, #0x2c0
0xfffffff0093e99e8: 0900bc72  movk	w9, #0xe000, lsl #16
0xfffffff0093e99ec: 3401082a  orr	w20, w9, w8
0xfffffff0093e99f0: 27000014  b	#0xfffffff0093e9a8c
0xfffffff0093e99f4: e803002a  mov	w8, w0
0xfffffff0093e99f8: a80200f9  str	x8, [x21]
0xfffffff0093e99fc: d00240f9  ldr	x16, [x22]
0xfffffff0093e9a00: f10316aa  mov	x17, x22
0xfffffff0093e9a04: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093e9a08: 301ac1da  autda	x16, x17
0xfffffff0093e9a0c: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff0093e9a10: e90310aa  mov	x9, x16
0xfffffff0093e9a14: e00316aa  mov	x0, x22
0xfffffff0093e9a18: f10309aa  mov	x17, x9
0xfffffff0093e9a1c: 1148faf2  movk	x17, #0xd240, lsl #48
