; Candidate 6319
; ADRP+ADD at VM 0xfffffff008823708 (fileoff 0x181f708): page=0x1fe9c6000 add_imm=0xe80

0xfffffff008823688: f40300aa  mov	x20, x0
0xfffffff00882368c: c8420294  bl	#0xfffffff0088b41ac
0xfffffff008823690: f30300aa  mov	x19, x0
0xfffffff008823694: 80008052  mov	w0, #4
0xfffffff008823698: 6e600194  bl	#0xfffffff00887b850
0xfffffff00882369c: d4010034  cbz	w20, #0xfffffff0088236d4
0xfffffff0088236a0: e84fffb0  adrp	x8, #0xfffffff007220000
0xfffffff0088236a4: 08e52e91  add	x8, x8, #0xbb9
0xfffffff0088236a8: 89138052  mov	w9, #0x9c
0xfffffff0088236ac: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088236b0: e84fffb0  adrp	x8, #0xfffffff007220000
0xfffffff0088236b4: 088d2e91  add	x8, x8, #0xba3
0xfffffff0088236b8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088236bc: e80a8052  mov	w8, #0x57
0xfffffff0088236c0: f32300a9  stp	x19, x8, [sp]
0xfffffff0088236c4: e04fffb0  adrp	x0, #0xfffffff007220000
0xfffffff0088236c8: 001c3091  add	x0, x0, #0xc07
0xfffffff0088236cc: 654fd697  bl	#0xfffffff007db7460
0xfffffff0088236d0: 16000014  b	#0xfffffff008823728
0xfffffff0088236d4: b6420294  bl	#0xfffffff0088b41ac
0xfffffff0088236d8: f30300aa  mov	x19, x0
0xfffffff0088236dc: 80008052  mov	w0, #4
0xfffffff0088236e0: 5c600194  bl	#0xfffffff00887b850
0xfffffff0088236e4: e84fffb0  adrp	x8, #0xfffffff007220000
0xfffffff0088236e8: 08e52e91  add	x8, x8, #0xbb9
0xfffffff0088236ec: 89138052  mov	w9, #0x9c
0xfffffff0088236f0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088236f4: e84fffb0  adrp	x8, #0xfffffff007220000
0xfffffff0088236f8: 088d2e91  add	x8, x8, #0xba3
0xfffffff0088236fc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008823700: e80a8052  mov	w8, #0x57
0xfffffff008823704: f32300a9  stp	x19, x8, [sp]
0xfffffff008823708: 204effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882370c: 00003a91  add	x0, x0, #0xe80
0xfffffff008823710: 218fffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008823714: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008823718: 2351fff0  adrp	x3, #0xfffffff00724a000
0xfffffff00882371c: 63683691  add	x3, x3, #0xd9a
0xfffffff008823720: 02008052  mov	w2, #0
0xfffffff008823724: 833eec97  bl	#0xfffffff008333130
0xfffffff008823728: e07d8012  mov	w0, #-0x3f0
0xfffffff00882372c: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff008823730: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff008823734: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff008823738: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff00882373c: ffc30191  add	sp, sp, #0x70
0xfffffff008823740: ff0f5fd6  retab	
0xfffffff008823744: 5f2403d5  bti	c
0xfffffff008823748: e80300aa  mov	x8, x0
0xfffffff00882374c: 00008052  mov	w0, #0
0xfffffff008823750: 680100b4  cbz	x8, #0xfffffff00882377c
0xfffffff008823754: 410100b4  cbz	x1, #0xfffffff00882377c
0xfffffff008823758: 090d40f9  ldr	x9, [x8, #0x18]
0xfffffff00882375c: 3f0101eb  cmp	x9, x1
0xfffffff008823760: 69000054  b.ls	#0xfffffff00882376c
0xfffffff008823764: 00008052  mov	w0, #0
0xfffffff008823768: c0035fd6  ret	
0xfffffff00882376c: 081180b9  ldrsw	x8, [x8, #0x10]
0xfffffff008823770: 2815088b  add	x8, x9, x8, lsl #5
0xfffffff008823774: 1f0101eb  cmp	x8, x1
0xfffffff008823778: e0979f1a  cset	w0, hi
0xfffffff00882377c: c0035fd6  ret	
0xfffffff008823780: 7f2303d5  pacibsp	
0xfffffff008823784: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
