; Candidate 4576
; ADRP+ADD at VM 0xfffffff0087bc1f8 (fileoff 0x17b81f8): page=0x1fe975000 add_imm=0xd90

0xfffffff0087bc178: 299d43f9  ldr	x9, [x9, #0x738]
0xfffffff0087bc17c: 290500b4  cbz	x9, #0xfffffff0087bc220
0xfffffff0087bc180: 359146b9  ldr	w21, [x9, #0x690]
0xfffffff0087bc184: 349946b9  ldr	w20, [x9, #0x698]
0xfffffff0087bc188: 29d11c91  add	x9, x9, #0x734
0xfffffff0087bc18c: 0a910591  add	x10, x8, #0x164
0xfffffff0087bc190: 200140fd  ldr	d0, [x9]
0xfffffff0087bc194: 400100fd  str	d0, [x10]
0xfffffff0087bc198: 156d01b9  str	w21, [x8, #0x16c]
0xfffffff0087bc19c: 147101b9  str	w20, [x8, #0x170]
0xfffffff0087bc1a0: 692e40f9  ldr	x9, [x19, #0x58]
0xfffffff0087bc1a4: 29094139  ldrb	w9, [x9, #0x42]
0xfffffff0087bc1a8: a90c0034  cbz	w9, #0xfffffff0087bc33c
0xfffffff0087bc1ac: 014dffd0  adrp	x1, #0xfffffff00715e000
0xfffffff0087bc1b0: 21402e91  add	x1, x1, #0xb90
0xfffffff0087bc1b4: e00313aa  mov	x0, x19
0xfffffff0087bc1b8: 22008052  mov	w2, #1
0xfffffff0087bc1bc: 41fcff97  bl	#0xfffffff0087bb2c0
0xfffffff0087bc1c0: 000a0034  cbz	w0, #0xfffffff0087bc300
0xfffffff0087bc1c4: 014dffd0  adrp	x1, #0xfffffff00715e000
0xfffffff0087bc1c8: 21742e91  add	x1, x1, #0xb9d
0xfffffff0087bc1cc: e00313aa  mov	x0, x19
0xfffffff0087bc1d0: 62008052  mov	w2, #3
0xfffffff0087bc1d4: 3bfcff97  bl	#0xfffffff0087bb2c0
0xfffffff0087bc1d8: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087bc1dc: 00d10539  strb	w0, [x8, #0x174]
0xfffffff0087bc1e0: 1f101d72  tst	w0, #0xf8
0xfffffff0087bc1e4: 60090054  b.eq	#0xfffffff0087bc310
0xfffffff0087bc1e8: 081c0012  and	w8, w0, #0xff
0xfffffff0087bc1ec: 094dffd0  adrp	x9, #0xfffffff00715e000
0xfffffff0087bc1f0: 29a52e91  add	x9, x9, #0xba9
0xfffffff0087bc1f4: e92300a9  stp	x9, x8, [sp]
0xfffffff0087bc1f8: a04bffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087bc1fc: 00403691  add	x0, x0, #0xd90
0xfffffff0087bc200: 0192ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bc204: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bc208: 834cffb0  adrp	x3, #0xfffffff00714d000
0xfffffff0087bc20c: 637c1491  add	x3, x3, #0x51f
0xfffffff0087bc210: 02008052  mov	w2, #0
0xfffffff0087bc214: c7dbed97  bl	#0xfffffff008333130
0xfffffff0087bc218: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087bc21c: 48000014  b	#0xfffffff0087bc33c
0xfffffff0087bc220: a8af8152  mov	w8, #0xd7d
0xfffffff0087bc224: 094dffd0  adrp	x9, #0xfffffff00715e000
0xfffffff0087bc228: 29c12f91  add	x9, x9, #0xbf0
0xfffffff0087bc22c: e92300a9  stp	x9, x8, [sp]
0xfffffff0087bc230: a04bffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087bc234: 00403691  add	x0, x0, #0xd90
0xfffffff0087bc238: 0192ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bc23c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bc240: 834cffb0  adrp	x3, #0xfffffff00714d000
0xfffffff0087bc244: 63441691  add	x3, x3, #0x591
0xfffffff0087bc248: 02008052  mov	w2, #0
0xfffffff0087bc24c: b9dbed97  bl	#0xfffffff008333130
0xfffffff0087bc250: 00008012  mov	w0, #-1
0xfffffff0087bc254: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0087bc258: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0087bc25c: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff0087bc260: ff430191  add	sp, sp, #0x50
0xfffffff0087bc264: ff0f5fd6  retab	
0xfffffff0087bc268: 014dffd0  adrp	x1, #0xfffffff00715e000
0xfffffff0087bc26c: 21ec2d91  add	x1, x1, #0xb7b
0xfffffff0087bc270: e00313aa  mov	x0, x19
0xfffffff0087bc274: e20315aa  mov	x2, x21
