; Candidate 14702
; ADRP+ADD at VM 0xfffffff009884fa4 (fileoff 0x2880fa4): page=0x1fe3e0000 add_imm=0xde0

0xfffffff009884f24: 300ac1da  pacda	x16, x17
0xfffffff009884f28: 100000f9  str	x16, [x0]
0xfffffff009884f2c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009884f30: ff0f5fd6  retab	
0xfffffff009884f34: 5f2403d5  bti	c
0xfffffff009884f38: 000080d2  mov	x0, #0
0xfffffff009884f3c: c0035fd6  ret	
0xfffffff009884f40: 5f2403d5  bti	c
0xfffffff009884f44: e10300aa  mov	x1, x0
0xfffffff009884f48: 001fff90  adrp	x0, #0xfffffff007c64000
0xfffffff009884f4c: 00400e91  add	x0, x0, #0x390
0xfffffff009884f50: ba89a917  b	#0xfffffff0082e7638
0xfffffff009884f54: 5f2403d5  bti	c
0xfffffff009884f58: e20301aa  mov	x2, x1
0xfffffff009884f5c: e10300aa  mov	x1, x0
0xfffffff009884f60: 001fff90  adrp	x0, #0xfffffff007c64000
0xfffffff009884f64: 00400e91  add	x0, x0, #0x390
0xfffffff009884f68: cd89a917  b	#0xfffffff0082e769c
0xfffffff009884f6c: 5f2403d5  bti	c
0xfffffff009884f70: e17da917  b	#0xfffffff0082e46f4
0xfffffff009884f74: 7f2303d5  pacibsp	
0xfffffff009884f78: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009884f7c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009884f80: fd430091  add	x29, sp, #0x10
0xfffffff009884f84: f30300aa  mov	x19, x0
0xfffffff009884f88: c81effb0  adrp	x8, #0xfffffff007c5d000
0xfffffff009884f8c: 08c144f9  ldr	x8, [x8, #0x980]
0xfffffff009884f90: 098d47f8  ldr	x9, [x8, #0x78]!
0xfffffff009884f94: f10308aa  mov	x17, x8
0xfffffff009884f98: 514de9f2  movk	x17, #0x4a6a, lsl #48
0xfffffff009884f9c: 31093fd7  blraa	x9, x17
0xfffffff009884fa0: 40010034  cbz	w0, #0xfffffff009884fc8
0xfffffff009884fa4: 001fff90  adrp	x0, #0xfffffff007c64000
0xfffffff009884fa8: 00803791  add	x0, x0, #0xde0
0xfffffff009884fac: 01108052  mov	w1, #0x80
0xfffffff009884fb0: 8847ab97  bl	#0xfffffff008356dd0
0xfffffff009884fb4: 600e00f9  str	x0, [x19, #0x18]
0xfffffff009884fb8: 800000b4  cbz	x0, #0xfffffff009884fc8
0xfffffff009884fbc: 08028052  mov	w8, #0x10
0xfffffff009884fc0: 681600f9  str	x8, [x19, #0x28]
0xfffffff009884fc4: 20008052  mov	w0, #1
0xfffffff009884fc8: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009884fcc: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009884fd0: ff0f5fd6  retab	
0xfffffff009884fd4: 5f2403d5  bti	c
0xfffffff009884fd8: c77da917  b	#0xfffffff0082e46f4
0xfffffff009884fdc: 5f2403d5  bti	c
0xfffffff009884fe0: c57da917  b	#0xfffffff0082e46f4
0xfffffff009884fe4: 7f2303d5  pacibsp	
0xfffffff009884fe8: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009884fec: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009884ff0: fd430091  add	x29, sp, #0x10
0xfffffff009884ff4: 93580090  adrp	x19, #0xfffffff00a394000
0xfffffff009884ff8: 73020191  add	x19, x19, #0x40
0xfffffff009884ffc: 21eafef0  adrp	x1, #0xfffffff0075cb000
0xfffffff009885000: 21c80e91  add	x1, x1, #0x3b2
0xfffffff009885004: d41eff90  adrp	x20, #0xfffffff007c5d000
0xfffffff009885008: 94ae44f9  ldr	x20, [x20, #0x958]
0xfffffff00988500c: e00313aa  mov	x0, x19
0xfffffff009885010: e20314aa  mov	x2, x20
0xfffffff009885014: 03068052  mov	w3, #0x30
0xfffffff009885018: c87aa997  bl	#0xfffffff0082e3b38
0xfffffff00988501c: f01eff90  adrp	x16, #0xfffffff007c61000
0xfffffff009885020: 10821f91  add	x16, x16, #0x7e0
